Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0TB9AAN,INSP-0164549,12/17/2025,Compliance (Annual),Cultivation Site,Establishment,00000129ESRG43839179,Complete
001t000000L0TB9AAN,INSP-0161957,10/22/2025,Compliance (Annual),Cultivation Off-site,Dispensary,00000110DCDE00541508,Complete
001t000000L0TB9AAN,INSP-0136084,7/14/2025,Compliance (Annual),Retail Site,Dispensary,00000110DCDE00541508,Complete
001t000000L0TB9AAN,INSP-0136081,7/14/2025,Compliance (Annual),Retail Site,Establishment,00000129ESRG43839179,Complete
001t000000L0TB9AAN,INSP-0052649,2/3/2025,Complaint,Cultivation Site,Establishment,00000129ESRG43839179,Complete
001t000000L0TB9AAN,INSP-0051632,12/30/2024,Compliance (Annual),Cultivation Site,Establishment,00000129ESRG43839179,Complete
001t000000L0TB9AAN,INSP-0050301,11/14/2024,Compliance (Annual),Cultivation Off-site,Dispensary,00000110DCDE00541508,Complete
001t000000L0TB9AAN,INSP-0046512,8/1/2024,Compliance (Annual),Retail Site,Establishment,00000129ESRG43839179,Complete
001t000000L0TB9AAN,INSP-0046513,8/1/2024,Compliance (Annual),Retail Site,Dispensary,00000110DCDE00541508,Complete
001t000000L0TB9AAN,INSP-0037012,1/23/2024,Compliance (Annual),Cultivation Site,Establishment,00000129ESRG43839179,Complete
001t000000L0TB9AAN,INSP-0035875,12/19/2023,Compliance (Annual),Cultivation Off-site,Dispensary,00000110DCDE00541508,Complete
001t000000L0TB9AAN,INSP-0033504,10/12/2023,Compliance (Annual),Retail Site,Dispensary,00000110DCDE00541508,Complete
001t000000L0TB9AAN,INSP-0033503,10/12/2023,Compliance (Annual),Retail Site,Establishment,00000129ESRG43839179,Complete
001t000000L0TB9AAN,INSP-0032973,9/28/2023,Compliance (Annual),Manufacture Site,Establishment,00000129ESRG43839179,Complete
