Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0T99AAF,INSP-0135531,7/9/2025,Complaint,Retail Site,Dispensary,00000009DCYP00763819,Complete
001t000000L0T99AAF,INSP-0135530,7/9/2025,Complaint,Retail Site,Establishment,00000110ESBL46708127,Complete
001t000000L0T99AAF,INSP-0130994,6/16/2025,Compliance (Annual),Retail Site,Dispensary,00000009DCYP00763819,Complete
001t000000L0T99AAF,INSP-0130993,6/16/2025,Compliance (Annual),Retail Site,Establishment,00000110ESBL46708127,Complete
001t000000L0T99AAF,INSP-0052442,3/18/2025,Compliance (Annual),Cultivation Site,Dispensary,00000009DCYP00763819,Complete
001t000000L0T99AAF,INSP-0052130,1/15/2025,Complaint,Retail Site,Dispensary,00000009DCYP00763819,Complete
001t000000L0T99AAF,INSP-0045721,8/19/2024,Compliance (Annual),Retail Site,Establishment,00000110ESBL46708127,Complete
001t000000L0T99AAF,INSP-0045722,8/19/2024,Compliance (Annual),Retail Site,Dispensary,00000009DCYP00763819,Complete
001t000000L0T99AAF,INSP-0043335,4/30/2024,Complaint,Retail Site,Establishment,00000110ESBL46708127,Complete
001t000000L0T99AAF,INSP-0043336,4/30/2024,Complaint,Retail Site,Dispensary,00000009DCYP00763819,Complete
001t000000L0T99AAF,INSP-0038971,4/18/2024,Compliance (Annual),Cultivation Site,Establishment,00000110ESBL46708127,Complete
001t000000L0T99AAF,INSP-0032623,10/25/2023,Compliance (Annual),Retail Site,Dispensary,00000009DCYP00763819,Complete
001t000000L0T99AAF,INSP-0032622,10/25/2023,Compliance (Annual),Retail Site,Establishment,00000110ESBL46708127,Complete
001t000000L0T99AAF,INSP-0030044,8/3/2023,Change of Service,Cultivation Site,Establishment,00000110ESBL46708127,Complete
001t000000L0T99AAF,INSP-0028900,7/17/2023,Compliance (Annual),Cultivation Site,Establishment,00000110ESBL46708127,Complete
