Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0T9OAAV,INSP-0135225,7/2/2025,Compliance (Annual),Retail Site,Establishment,00000111ESTX14447382,Complete
001t000000L0T9OAAV,INSP-0135226,7/2/2025,Compliance (Annual),Retail Site,Dispensary,00000012DCJT00224887,Complete
001t000000L0T9OAAV,INSP-0046913,8/12/2024,Compliance (Annual),Retail Site,Dispensary,00000012DCJT00224887,Complete
001t000000L0T9OAAV,INSP-0046912,8/12/2024,Compliance (Annual),Retail Site,Establishment,00000111ESTX14447382,Complete
001t000000L0T9OAAV,INSP-0043874,5/10/2024,Complaint,Retail Site,Dispensary,00000012DCJT00224887,Complete
001t000000L0T9OAAV,INSP-0043873,5/10/2024,Complaint,Retail Site,Establishment,00000111ESTX14447382,Complete
001t000000L0T9OAAV,INSP-0035030,11/27/2023,Initial Monitoring,Retail Site,Dispensary,00000012DCJT00224887,Complete
001t000000L0T9OAAV,INSP-0035029,11/27/2023,Initial Monitoring,Retail Site,Establishment,00000111ESTX14447382,Complete
001t000000L0T9OAAV,INSP-0033425,10/11/2023,Compliance (Annual),Cultivation Site,Establishment,00000111ESTX14447382,Complete
001t000000L0T9OAAV,INSP-0032740,9/22/2023,Compliance (Initial),Retail Site,Establishment,00000111ESTX14447382,Complete
001t000000L0T9OAAV,INSP-0032738,9/22/2023,Compliance (Initial),Dispensary,Dispensary,00000012DCJT00224887,Complete
001t000000L0T9OAAV,INSP-0027474,5/22/2023,Compliance (Annual),Retail Site,Establishment,00000111ESTX14447382,Complete
001t000000L0T9OAAV,INSP-0027475,5/22/2023,Compliance (Annual),Retail Site,Dispensary,00000012DCJT00224887,Complete
