Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0TBCAA3,INSP-0169276,3/5/2026,Compliance (Annual),Retail Site,Dispensary,00000112DCLK00614860,SOD
001t000000L0TBCAA3,INSP-0169275,3/5/2026,Compliance (Annual),Retail Site,Establishment,00000043ESPE02331128,SOD
001t000000L0TBCAA3,INSP-0157312,8/11/2025,Compliance (Annual),Cultivation Off-site,Dispensary,00000112DCLK00614860,Complete
001t000000L0TBCAA3,INSP-0100794,3/10/2025,Compliance (Annual),Retail Site,Establishment,00000043ESPE02331128,Complete
001t000000L0TBCAA3,INSP-0100796,3/10/2025,Compliance (Annual),Retail Site,Dispensary,00000112DCLK00614860,Complete
001t000000L0TBCAA3,INSP-0048189,9/16/2024,Compliance (Annual),Cultivation Off-site,Dispensary,00000112DCLK00614860,Complete
001t000000L0TBCAA3,INSP-0043257,4/26/2024,Compliance (Annual),Retail Site,Dispensary,00000112DCLK00614860,Complete
001t000000L0TBCAA3,INSP-0043256,4/26/2024,Compliance (Annual),Retail Site,Establishment,00000043ESPE02331128,Complete
001t000000L0TBCAA3,INSP-0033631,10/16/2023,Compliance (Annual),Cultivation Off-site,Dispensary,00000112DCLK00614860,Complete
001t000000L0TBCAA3,INSP-0027420,5/16/2023,Compliance (Annual),Retail Site,Dispensary,00000112DCLK00614860,Complete
001t000000L0TBCAA3,INSP-0027419,5/16/2023,Compliance (Annual),Retail Site,Establishment,00000043ESPE02331128,Complete
