Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0TBDAA3,INSP-0163488,11/17/2025,Compliance (Annual),Retail Site,Establishment,00000057ESJG92466754,Complete
001t000000L0TBDAA3,INSP-0163490,11/17/2025,Compliance (Annual),Manufacture Site,Establishment,00000057ESJG92466754,Complete
001t000000L0TBDAA3,INSP-0163489,11/17/2025,Compliance (Annual),Retail Site,Dispensary,00000113DCUX00454549,Complete
001t000000L0TBDAA3,INSP-0160795,9/30/2025,Complaint,Cultivation Off-site,Dispensary,00000113DCUX00454549,Complete
001t000000L0TBDAA3,INSP-0135735,7/9/2025,Complaint,Cultivation Off-site,Dispensary,00000113DCUX00454549,Complete
001t000000L0TBDAA3,INSP-0135738,7/8/2025,Complaint,Manufacture Site,Establishment,00000057ESJG92466754,Complete
001t000000L0TBDAA3,INSP-0129984,4/28/2025,Compliance (Annual),Cultivation Off-site,Dispensary,00000113DCUX00454549,Complete
001t000000L0TBDAA3,INSP-0052305,1/23/2025,Complaint,Retail Site,Dispensary,00000113DCUX00454549,Complete
001t000000L0TBDAA3,INSP-0052304,1/23/2025,Complaint,Retail Site,Establishment,00000057ESJG92466754,Complete
001t000000L0TBDAA3,INSP-0051198,12/23/2024,Compliance (Annual),Retail Site,Establishment,00000057ESJG92466754,Complete
001t000000L0TBDAA3,INSP-0051199,12/23/2024,Compliance (Annual),Retail Site,Dispensary,00000113DCUX00454549,Complete
001t000000L0TBDAA3,INSP-0051200,12/23/2024,Compliance (Annual),Manufacture Site,Establishment,00000057ESJG92466754,Complete
001t000000L0TBDAA3,INSP-0050674,11/26/2024,Complaint,Cultivation Off-site,Dispensary,00000113DCUX00454549,Complete
001t000000L0TBDAA3,INSP-0050673,11/26/2024,Complaint,Retail Site,Establishment,00000057ESJG92466754,Complete
001t000000L0TBDAA3,INSP-0043626,5/6/2024,Compliance (Annual),Cultivation Off-site,Dispensary,00000113DCUX00454549,Complete
001t000000L0TBDAA3,INSP-0039765,3/4/2024,Initial Monitoring,Manufacture Site,Establishment,00000057ESJG92466754,Complete
001t000000L0TBDAA3,INSP-0036980,1/22/2024,Compliance (Annual),Retail Site,Dispensary,00000113DCUX00454549,Complete
001t000000L0TBDAA3,INSP-0036979,1/22/2024,Compliance (Annual),Retail Site,Establishment,00000057ESJG92466754,Complete
001t000000L0TBDAA3,INSP-0036465,1/11/2024,Compliance (Initial),Manufacture Site,Establishment,00000057ESJG92466754,Complete
001t000000L0TBDAA3,INSP-0034526,11/8/2023,Complaint,Retail Site,Establishment,00000057ESJG92466754,Complete
001t000000L0TBDAA3,INSP-0034527,11/8/2023,Complaint,Retail Site,Dispensary,00000113DCUX00454549,Complete
001t000000L0TBDAA3,INSP-0034245,11/1/2023,Modification,Retail Site,Establishment,00000057ESJG92466754,Complete
001t000000L0TBDAA3,INSP-0034246,11/1/2023,Modification,Retail Site,Dispensary,00000113DCUX00454549,Complete
001t000000L0TBDAA3,INSP-0026951,5/8/2023,Compliance (Annual),Cultivation Off-site,Dispensary,00000113DCUX00454549,Complete
