Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0TAsAAN,INSP-0166905,1/27/2026,Compliance (Annual),Cultivation Off-site,Dispensary,00000116DCJL00597353,Complete
001t000000L0TAsAAN,INSP-0165593,12/31/2025,Complaint,Retail Site,Dispensary,00000116DCJL00597353,Complete
001t000000L0TAsAAN,INSP-0165592,12/31/2025,Complaint,Retail Site,Establishment,00000128ESJI00619914,Complete
001t000000L0TAsAAN,INSP-0159378,9/16/2025,Compliance (Annual),Retail Site,Establishment,00000128ESJI00619914,Complete
001t000000L0TAsAAN,INSP-0159379,9/16/2025,Compliance (Annual),Retail Site,Dispensary,00000116DCJL00597353,Complete
001t000000L0TAsAAN,INSP-0052462,2/4/2025,Compliance (Annual),Cultivation Off-site,Dispensary,00000116DCJL00597353,Complete
001t000000L0TAsAAN,INSP-0049416,10/21/2024,Compliance (Annual),Retail Site,Establishment,00000128ESJI00619914,Complete
001t000000L0TAsAAN,INSP-0049417,10/21/2024,Compliance (Annual),Retail Site,Dispensary,00000116DCJL00597353,Complete
001t000000L0TAsAAN,INSP-0045153,6/17/2024,Complaint,Cultivation Off-site,Dispensary,00000116DCJL00597353,Complete
001t000000L0TAsAAN,INSP-0043894,5/14/2024,Modification,Cultivation Off-site,Dispensary,00000116DCJL00597353,Complete
001t000000L0TAsAAN,INSP-0039344,2/22/2024,Compliance (Annual),Cultivation Off-site,Establishment,00000128ESJI00619914,Complete
001t000000L0TAsAAN,INSP-0035152,11/28/2023,Compliance (Annual),Retail Site,Dispensary,00000116DCJL00597353,Complete
001t000000L0TAsAAN,INSP-0035151,11/28/2023,Compliance (Annual),Retail Site,Establishment,00000128ESJI00619914,Complete
001t000000L0TAsAAN,INSP-0026252,4/24/2023,Compliance (Annual),Cultivation Site,Establishment,00000128ESJI00619914,Complete
