Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0TAeAAN,INSP-0168339,2/17/2026,Compliance (Annual),Retail Site,Dispensary,00000093DCBC00293679,Complete
001t000000L0TAeAAN,INSP-0168338,2/17/2026,Compliance (Annual),Retail Site,Establishment,00000118ESDH66162163,Complete
001t000000L0TAeAAN,INSP-0160146,9/25/2025,Modification,Dispensary,Establishment,00000093DCBC00293679,Complete
001t000000L0TAeAAN,INSP-0097208,3/21/2025,Compliance (Annual),Retail Site,Establishment,00000118ESDH66162163,Complete
001t000000L0TAeAAN,INSP-0097209,3/21/2025,Compliance (Annual),Retail Site,Dispensary,00000093DCBC00293679,Complete
001t000000L0TAeAAN,INSP-0050807,12/16/2024,Monitoring,Retail Site,Establishment,00000118ESDH66162163,Complete
001t000000L0TAeAAN,INSP-0050808,12/16/2024,Monitoring,Retail Site,Dispensary,00000093DCBC00293679,Complete
001t000000L0TAeAAN,INSP-0044327,6/12/2024,Compliance (Annual),Retail Site,Dispensary,00000093DCBC00293679,Complete
001t000000L0TAeAAN,INSP-0044326,6/12/2024,Compliance (Annual),Retail Site,Establishment,00000118ESDH66162163,Complete
001t000000L0TAeAAN,INSP-0041901,3/22/2024,Complaint,Retail Site,Dispensary,00000093DCBC00293679,Complete
001t000000L0TAeAAN,INSP-0041900,3/22/2024,Complaint,Retail Site,Establishment,00000118ESDH66162163,Complete
001t000000L0TAeAAN,INSP-0030137,8/14/2023,Compliance (Annual),Retail Site,Dispensary,00000093DCBC00293679,Complete
001t000000L0TAeAAN,INSP-0030136,8/14/2023,Compliance (Annual),Retail Site,Establishment,00000118ESDH66162163,Complete
