Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0TAqAAN,INSP-0171256,4/1/2026,Compliance (Annual),Manufacture Site,Establishment,00000119ESKK32735375,Complete
001t000000L0TAqAAN,INSP-0171258,4/1/2026,Complaint,Cultivation Off-site,Dispensary,00000111DCCI00384281,Complete
001t000000L0TAqAAN,INSP-0171139,3/30/2026,Compliance (Annual),Retail Site,Dispensary,00000111DCCI00384281,Complete
001t000000L0TAqAAN,INSP-0171138,3/30/2026,Compliance (Annual),Retail Site,Establishment,00000119ESKK32735375,Complete
001t000000L0TAqAAN,INSP-0163707,11/20/2025,Compliance (Annual),Cultivation Off-site,Dispensary,00000111DCCI00384281,Complete
001t000000L0TAqAAN,INSP-0134186,6/16/2025,Initial Monitoring,Manufacture Site,Establishment,00000119ESKK32735375,Complete
001t000000L0TAqAAN,INSP-0129863,4/22/2025,Compliance (Annual),Retail Site,Establishment,00000119ESKK32735375,Complete
001t000000L0TAqAAN,INSP-0129864,4/22/2025,Compliance (Annual),Retail Site,Dispensary,00000111DCCI00384281,Complete
001t000000L0TAqAAN,INSP-0124491,4/15/2025,Compliance (Initial),Manufacture Site,Establishment,00000119ESKK32735375,Complete
001t000000L0TAqAAN,INSP-0051100,12/9/2024,Compliance (Annual),Cultivation Off-site,Dispensary,00000111DCCI00384281,Complete
001t000000L0TAqAAN,INSP-0043482,5/1/2024,Compliance (Annual),Retail Site,Dispensary,00000111DCCI00384281,Complete
001t000000L0TAqAAN,INSP-0043481,5/1/2024,Compliance (Annual),Retail Site,Establishment,00000119ESKK32735375,Complete
001t000000L0TAqAAN,INSP-0042916,4/15/2024,Complaint,Retail Site,Dispensary,00000111DCCI00384281,Complete
001t000000L0TAqAAN,INSP-0035776,12/18/2023,Compliance (Annual),Cultivation Off-site,Dispensary,00000111DCCI00384281,Complete
001t000000L0TAqAAN,INSP-0034745,11/14/2023,Complaint,Retail Site,Establishment,00000119ESKK32735375,Complete
001t000000L0TAqAAN,INSP-0034746,11/14/2023,Complaint,Retail Site,Dispensary,00000111DCCI00384281,Complete
001t000000L0TAqAAN,INSP-0031315,8/18/2023,Complaint,Retail Site,Dispensary,00000111DCCI00384281,Complete
001t000000L0TAqAAN,INSP-0031314,8/18/2023,Complaint,Retail Site,Establishment,00000119ESKK32735375,Complete
001t000000L0TAqAAN,INSP-0027001,5/4/2023,Compliance (Annual),Retail Site,Dispensary,00000111DCCI00384281,Complete
001t000000L0TAqAAN,INSP-0027000,5/4/2023,Compliance (Annual),Retail Site,Establishment,00000119ESKK32735375,Complete
