Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0T9RAAV,INSP-0171356,4/2/2026,Complaint,Retail Site,Establishment,00000121ESBM38825533,Complete
001t000000L0T9RAAV,INSP-0171357,4/2/2026,Complaint,Retail Site,Dispensary,00000015DCGC00626237,Complete
001t000000L0T9RAAV,INSP-0165463,1/20/2026,Compliance (Annual),Retail Site,Dispensary,00000015DCGC00626237,Complete
001t000000L0T9RAAV,INSP-0165462,1/20/2026,Compliance (Annual),Retail Site,Establishment,00000121ESBM38825533,Complete
001t000000L0T9RAAV,INSP-0162482,11/12/2025,Compliance (Annual),Cultivation Off-site,Dispensary,00000015DCGC00626237,Complete
001t000000L0T9RAAV,INSP-0157884,8/14/2025,Complaint,Retail Site,Establishment,00000121ESBM38825533,Complete
001t000000L0T9RAAV,INSP-0157885,8/14/2025,Complaint,Retail Site,Dispensary,00000015DCGC00626237,Complete
001t000000L0T9RAAV,INSP-0132115,7/7/2025,Compliance (Annual),Manufacture Site,Establishment,00000121ESBM38825533,Complete
001t000000L0T9RAAV,INSP-0100875,4/22/2025,Complaint,Manufacture Site,Establishment,00000121ESBM38825533,Complete
001t000000L0T9RAAV,INSP-0051483,2/4/2025,Compliance (Annual),Retail Site,Establishment,00000121ESBM38825533,Complete
001t000000L0T9RAAV,INSP-0051484,2/4/2025,Compliance (Annual),Retail Site,Dispensary,00000015DCGC00626237,Complete
001t000000L0T9RAAV,INSP-0050762,1/14/2025,Compliance (Annual),Cultivation Off-site,Dispensary,00000015DCGC00626237,Complete
001t000000L0T9RAAV,INSP-0049118,11/5/2024,Initial Monitoring,Manufacture Site,Establishment,00000121ESBM38825533,Complete
001t000000L0T9RAAV,INSP-0049059,10/9/2024,Complaint,Retail Site,Dispensary,00000015DCGC00626237,Complete
001t000000L0T9RAAV,INSP-0049057,10/9/2024,Complaint,Retail Site,Establishment,00000121ESBM38825533,Complete
001t000000L0T9RAAV,INSP-0047928,9/6/2024,Compliance (Initial),Manufacture Site,Establishment,00000121ESBM38825533,Complete
001t000000L0T9RAAV,INSP-0036356,2/20/2024,Compliance (Annual),Retail Site,Dispensary,00000015DCGC00626237,Complete
001t000000L0T9RAAV,INSP-0036355,2/20/2024,Compliance (Annual),Retail Site,Establishment,00000121ESBM38825533,Complete
001t000000L0T9RAAV,INSP-0033953,1/22/2024,Compliance (Annual),Cultivation Off-site,Dispensary,00000015DCGC00626237,Complete
001t000000L0T9RAAV,INSP-0035374,12/4/2023,Complaint,Retail Site,Dispensary,00000015DCGC00626237,Complete
001t000000L0T9RAAV,INSP-0035373,12/4/2023,Complaint,Retail Site,Establishment,00000121ESBM38825533,Complete
001t000000L0T9RAAV,INSP-0029326,7/7/2023,Complaint,Retail Site,Dispensary,00000015DCGC00626237,Complete
001t000000L0T9RAAV,INSP-0028371,6/8/2023,Initial Monitoring,Retail Site,Establishment,00000121ESBM38825533,Complete
001t000000L0T9RAAV,INSP-0030496,6/8/2023,Initial Monitoring,Retail Site,Dispensary,00000015DCGC00626237,Complete
001t000000L0T9RAAV,INSP-0026048,4/28/2023,Compliance (Initial),Retail Site,Establishment,00000121ESBM38825533,Complete
