Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0TAzAAN,INSP-0165681,1/13/2026,Compliance (Annual),Retail Site,Dispensary,00000126DCSO00060479,Complete
001t000000L0TAzAAN,INSP-0165680,1/13/2026,Compliance (Annual),Retail Site,Establishment,00000040ESDX57445071,Complete
001t000000L0TAzAAN,INSP-0161458,10/9/2025,Complaint,Retail Site,Establishment,00000040ESDX57445071,Complete
001t000000L0TAzAAN,INSP-0161461,10/9/2025,Complaint,Retail Site,Dispensary,00000126DCSO00060479,Complete
001t000000L0TAzAAN,INSP-0099856,3/4/2025,Compliance (Annual),Retail Site,Establishment,00000040ESDX57445071,Complete
001t000000L0TAzAAN,INSP-0099859,3/4/2025,Compliance (Annual),Retail Site,Dispensary,00000126DCSO00060479,Complete
001t000000L0TAzAAN,INSP-0052234,1/23/2025,Monitoring,Retail Site,Dispensary,00000126DCSO00060479,Complete
001t000000L0TAzAAN,INSP-0052233,1/23/2025,Monitoring,Retail Site,Establishment,00000040ESDX57445071,Complete
001t000000L0TAzAAN,INSP-0049244,10/16/2024,Compliance (Annual),Cultivation Off-site,Dispensary,00000126DCSO00060479,Complete
001t000000L0TAzAAN,INSP-0046986,8/13/2024,Compliance (Annual),Cultivation Site,Establishment,00000040ESDX57445071,Complete
001t000000L0TAzAAN,INSP-0041486,3/11/2024,Compliance (Annual),Retail Site,Establishment,00000040ESDX57445071,Complete
001t000000L0TAzAAN,INSP-0041487,3/11/2024,Compliance (Annual),Retail Site,Dispensary,00000126DCSO00060479,Complete
001t000000L0TAzAAN,INSP-0036183,12/29/2023,Complaint,Cultivation Off-site,Dispensary,00000126DCSO00060479,Complete
001t000000L0TAzAAN,INSP-0035954,12/21/2023,Complaint,Cultivation Off-site,Establishment,00000040ESDX57445071,Complete
001t000000L0TAzAAN,INSP-0034512,11/22/2023,Complaint;Compliance (Annual),Cultivation Off-site,Dispensary,00000126DCSO00060479,Complete
001t000000L0TAzAAN,INSP-0033108,10/5/2023,Initial Monitoring,Cultivation Site,Establishment,00000040ESDX57445071,Complete
001t000000L0TAzAAN,INSP-0031228,8/18/2023,Compliance (Initial),Cultivation Site,Establishment,00000040ESDX57445071,Complete
001t000000L0TAzAAN,INSP-0029428,7/7/2023,Complaint,Retail Site,Establishment,00000040ESDX57445071,Complete
001t000000L0TAzAAN,INSP-0029429,7/7/2023,Complaint,Retail Site,Dispensary,00000126DCSO00060479,Complete
