Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0TB0AAN,INSP-0169491,3/6/2026,Complaint,Cultivation Off-site,Dispensary,00000128DCNB00202967,SOD
001t000000L0TB0AAN,INSP-0164641,12/18/2025,Compliance (Annual),Cultivation Off-site,Dispensary,00000128DCNB00202967,Complete
001t000000L0TB0AAN,INSP-0135028,7/29/2025,Compliance (Annual),Retail Site,Dispensary,00000128DCNB00202967,Complete
001t000000L0TB0AAN,INSP-0135027,7/29/2025,Compliance (Annual),Retail Site,Establishment,00000034ESEZ92106085,Complete
001t000000L0TB0AAN,INSP-0097275,2/28/2025,Initial Monitoring,Cultivation Off-site,Dispensary,00000128DCNB00202967,Complete
001t000000L0TB0AAN,INSP-0051791,1/3/2025,Compliance (Initial),Cultivation Off-site,Dispensary,00000128DCNB00202967,Complete
001t000000L0TB0AAN,INSP-0047314,8/27/2024,Compliance (Annual),Cultivation Off-site,Dispensary,00000128DCNB00202967,Complete
001t000000L0TB0AAN,INSP-0047501,8/26/2024,Complaint,Retail Site,Dispensary,00000128DCNB00202967,Complete
001t000000L0TB0AAN,INSP-0047500,8/26/2024,Complaint,Retail Site,Establishment,00000034ESEZ92106085,Complete
001t000000L0TB0AAN,INSP-0047012,8/13/2024,Compliance (Annual),Retail Site,Dispensary,00000128DCNB00202967,Complete
001t000000L0TB0AAN,INSP-0047011,8/13/2024,Compliance (Annual),Retail Site,Establishment,00000034ESEZ92106085,Complete
001t000000L0TB0AAN,INSP-0034388,12/1/2023,Modification,Cultivation Off-site,Dispensary,00000128DCNB00202967,Complete
001t000000L0TB0AAN,INSP-0032057,9/20/2023,Compliance (Annual),Cultivation Off-site,Dispensary,00000128DCNB00202967,Complete
001t000000L0TB0AAN,INSP-0032056,9/6/2023,Compliance (Annual),Retail Site,Dispensary,00000128DCNB00202967,Complete
001t000000L0TB0AAN,INSP-0032055,9/6/2023,Compliance (Annual),Retail Site,Establishment,00000034ESEZ92106085,Complete
001t000000L0TB0AAN,INSP-0026713,4/28/2023,Monitoring,Cultivation Off-site,Dispensary,00000128DCNB00202967,Complete
001t000000L0TB0AAN,INSP-0026068,4/21/2023,Monitoring,Retail Site,Establishment,00000034ESEZ92106085,Complete
001t000000L0TB0AAN,INSP-0026071,4/21/2023,Monitoring,Retail Site,Dispensary,00000128DCNB00202967,Complete
