Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0TB1AAN,INSP-0168561,2/25/2026,Modification,Retail Site,Dispensary,00000132DCYB00654510,Complete
001t000000L0TB1AAN,INSP-0168529,2/25/2026,Modification,Retail Site,Establishment,00000028ESVU53788832,Complete
001t000000L0TB1AAN,INSP-0166799,1/20/2026,Compliance (Annual),Retail Site,Dispensary,00000132DCYB00654510,Complete
001t000000L0TB1AAN,INSP-0166798,1/20/2026,Compliance (Annual),Retail Site,Establishment,00000028ESVU53788832,Complete
001t000000L0TB1AAN,INSP-0051488,2/11/2025,Compliance (Annual),Retail Site,Establishment,00000028ESVU53788832,Complete
001t000000L0TB1AAN,INSP-0051489,2/11/2025,Compliance (Annual),Retail Site,Dispensary,00000132DCYB00654510,Complete
001t000000L0TB1AAN,INSP-0039287,2/26/2024,Compliance (Annual),Retail Site,Establishment,00000028ESVU53788832,Complete
001t000000L0TB1AAN,INSP-0039288,2/26/2024,Compliance (Annual),Retail Site,Dispensary,00000132DCYB00654510,Complete
001t000000L0TB1AAN,INSP-0026076,4/14/2023,Complaint,Retail Site,Establishment,00000028ESVU53788832,Complete
001t000000L0TB1AAN,INSP-0026081,4/14/2023,Complaint,Retail Site,Dispensary,00000132DCYB00654510,Complete
