Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0TArAAN,INSP-0161229,10/23/2025,Initial Monitoring,Retail Site,Establishment,00000132ESFR75101840,Complete
001t000000L0TArAAN,INSP-0161231,10/23/2025,Initial Monitoring,Retail Site,Dispensary,00000114DCPD00232092,Complete
001t000000L0TArAAN,INSP-0158784,8/29/2025,Compliance (Initial),Retail Site,Establishment,00000132ESFR75101840,Complete
001t000000L0TArAAN,INSP-0136309,8/18/2025,Compliance (Annual),Cultivation Off-site,Dispensary,00000114DCPD00232092,Complete
001t000000L0TArAAN,INSP-0135178,7/2/2025,Monitoring,Retail Site,Dispensary,00000114DCPD00232092,Complete
001t000000L0TArAAN,INSP-0101889,3/18/2025,Monitoring,Manufacture Site,Establishment,00000132ESFR75101840,Complete
001t000000L0TArAAN,INSP-0052352,2/11/2025,Compliance (Annual),Manufacture Site,Establishment,00000132ESFR75101840,Complete
001t000000L0TArAAN,INSP-0050670,12/19/2024,Compliance (Annual),Retail Site,Establishment,00000132ESFR75101840,Complete
001t000000L0TArAAN,INSP-0050671,12/19/2024,Compliance (Annual),Retail Site,Dispensary,00000114DCPD00232092,Complete
001t000000L0TArAAN,INSP-0048975,10/8/2024,Compliance (Annual),Cultivation Off-site,Dispensary,00000114DCPD00232092,Complete
001t000000L0TArAAN,INSP-0044545,5/30/2024,Initial Monitoring,Manufacture Site,Establishment,00000132ESFR75101840,Complete
001t000000L0TArAAN,INSP-0042571,4/9/2024,Compliance (Initial),Manufacture Site,Establishment,00000132ESFR75101840,Complete
001t000000L0TArAAN,INSP-0039486,4/4/2024,Initial Monitoring,Retail Site,Dispensary,00000114DCPD00232092,Complete
001t000000L0TArAAN,INSP-0039485,4/4/2024,Initial Monitoring,Retail Site,Establishment,00000132ESFR75101840,Complete
001t000000L0TArAAN,INSP-0038963,2/6/2024,Compliance (Initial),Retail Site,Establishment,00000132ESFR75101840,Complete
001t000000L0TArAAN,INSP-0038962,2/6/2024,Compliance (Initial),Dispensary,Dispensary,00000114DCPD00232092,Complete
001t000000L0TArAAN,INSP-0036360,1/4/2024,Compliance (Annual),Retail Site,Establishment,00000132ESFR75101840,Complete
001t000000L0TArAAN,INSP-0036361,1/3/2024,Compliance (Annual),Retail Site,Dispensary,00000114DCPD00232092,Complete
001t000000L0TArAAN,INSP-0034888,11/21/2023,Compliance (Annual),Cultivation Off-site,Dispensary,00000114DCPD00232092,Complete
001t000000L0TArAAN,INSP-0028749,6/29/2023,Initial Monitoring,Cultivation Off-site,Dispensary,00000114DCPD00232092,Complete
001t000000L0TArAAN,INSP-0027444,6/19/2023,Initial Monitoring,Retail Site,Establishment,00000132ESFR75101840,Complete
001t000000L0TArAAN,INSP-0027445,6/19/2023,Initial Monitoring,Retail Site,Dispensary,00000114DCPD00232092,Complete
