Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0TB2AAN,INSP-0165763,1/8/2026,Complaint;Compliance (Annual),Retail Site,Establishment,00000016ESBY46918805,Complete
001t000000L0TB2AAN,INSP-0165764,1/8/2026,Complaint;Compliance (Annual),Retail Site,Dispensary,00000134DCUJ00307958,Complete
001t000000L0TB2AAN,INSP-0129880,4/22/2025,Complaint,Retail Site,Establishment,00000016ESBY46918805,Complete
001t000000L0TB2AAN,INSP-0129882,4/22/2025,Complaint,Retail Site,Dispensary,00000134DCUJ00307958,Complete
001t000000L0TB2AAN,INSP-0097211,3/11/2025,Compliance (Annual),Retail Site,Dispensary,00000134DCUJ00307958,Complete
001t000000L0TB2AAN,INSP-0097210,3/11/2025,Compliance (Annual),Retail Site,Establishment,00000016ESBY46918805,Complete
001t000000L0TB2AAN,INSP-0044328,6/18/2024,Compliance (Annual),Retail Site,Establishment,00000016ESBY46918805,Complete
001t000000L0TB2AAN,INSP-0044330,6/18/2024,Compliance (Annual),Retail Site,Dispensary,00000134DCUJ00307958,Complete
001t000000L0TB2AAN,INSP-0030207,8/21/2023,Compliance (Annual),Retail Site,Establishment,00000016ESBY46918805,Complete
001t000000L0TB2AAN,INSP-0030208,8/21/2023,Compliance (Annual),Retail Site,Dispensary,00000134DCUJ00307958,Complete
