Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000bI7qbAAC,INSP-0164694,12/29/2025,Initial Monitoring,Cultivation Site,Establishment,00000140ESDP54259308,Complete
001t000000bI7qbAAC,INSP-0162479,11/4/2025,Compliance (Initial),Cultivation Site,Establishment,00000140ESDP54259308,Complete
001t000000bI7qbAAC,INSP-0161465,10/22/2025,Compliance (Annual),Manufacture Site,Establishment,00000140ESDP54259308,Complete
001t000000bI7qbAAC,INSP-0136320,8/25/2025,Compliance (Annual),Cultivation Site,Establishment,00000140ESDP54259308,Complete
001t000000bI7qbAAC,INSP-0134773,6/23/2025,Compliance (Annual),Retail Site,Establishment,00000140ESDP54259308,Complete
001t000000bI7qbAAC,INSP-0107925,3/31/2025,Change of Service,Cultivation Site,Establishment,00000140ESDP54259308,Complete
001t000000bI7qbAAC,INSP-0051905,1/10/2025,Initial Monitoring,Manufacture Site,Establishment,00000140ESDP54259308,Complete
001t000000bI7qbAAC,INSP-0051904,1/8/2025,Initial Monitoring,Cultivation Site,Establishment,00000140ESDP54259308,Complete
001t000000bI7qbAAC,INSP-0050225,11/15/2024,Compliance (Initial),Manufacture Site,Establishment,00000140ESDP54259308,Complete
001t000000bI7qbAAC,INSP-0050190,11/12/2024,Compliance (Initial),Cultivation Site,Establishment,00000140ESDP54259308,Complete
001t000000bI7qbAAC,INSP-0045539,7/1/2024,Compliance (Annual),Retail Site,Establishment,00000140ESDP54259308,Complete
001t000000bI7qbAAC,INSP-0044246,5/31/2024,Modification,Cultivation Site,Establishment,00000140ESDP54259308,Complete
001t000000bI7qbAAC,INSP-0035605,12/11/2023,Compliance (Annual),Cultivation Site,Establishment,00000140ESDP54259308,Complete
001t000000bI7qbAAC,INSP-0029584,7/11/2023,Compliance (Annual),Retail Site,Establishment,00000140ESDP54259308,Complete
