Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000bIQaMAAW,INSP-0157347,8/21/2025,Compliance (Annual),Retail Site,Establishment,00000141ESYC13235553,Complete
001t000000bIQaMAAW,INSP-0131473,5/14/2025,Compliance (Annual),Cultivation Site,Establishment,00000141ESYC13235553,Complete
001t000000bIQaMAAW,INSP-0047589,8/27/2024,Compliance (Annual),Retail Site,Establishment,00000141ESYC13235553,Complete
001t000000bIQaMAAW,INSP-0045055,6/18/2024,Compliance (Annual),Cultivation Site,Establishment,00000141ESYC13235553,Complete
001t000000bIQaMAAW,INSP-0042062,3/26/2024,Initial Monitoring,Manufacture Site,Establishment,00000141ESYC13235553,Complete
001t000000bIQaMAAW,INSP-0036669,1/24/2024,Compliance (Initial),Manufacture Site,Establishment,00000141ESYC13235553,Complete
001t000000bIQaMAAW,INSP-0032910,10/13/2023,Compliance (Annual),Retail Site,Establishment,00000141ESYC13235553,Complete
001t000000bIQaMAAW,INSP-0032165,9/14/2023,Initial Monitoring,Cultivation Site,Establishment,00000141ESYC13235553,Complete
001t000000bIQaMAAW,INSP-0029808,7/18/2023,Compliance (Initial),Cultivation Site,Establishment,00000141ESYC13235553,Complete
001t000000bIQaMAAW,INSP-0027082,5/17/2023,Initial Monitoring,Retail Site,Establishment,00000141ESYC13235553,Complete
