Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
0018y00000856qsAAA,INSP-0169755,3/9/2026,Compliance (Annual),Retail Site,Establishment,00000139ESDD30084191,SOD
0018y00000856qsAAA,INSP-0169756,3/9/2026,Compliance (Annual),Retail Site,Dispensary,0000143DRCJN36084405,Complete
0018y00000856qsAAA,INSP-0169658,3/6/2026,Complaint,Cultivation Off-site,Dispensary,0000143DRCJN36084405,Enforcement
0018y00000856qsAAA,INSP-0160832,9/30/2025,Initial Monitoring,Manufacture Site,Establishment,00000139ESDD30084191,Complete
0018y00000856qsAAA,INSP-0138219,8/1/2025,Compliance (Initial),Manufacture Site,Establishment,00000139ESDD30084191,Complete
0018y00000856qsAAA,INSP-0136257,7/18/2025,Initial Monitoring,Cultivation Off-site,Dispensary,0000143DRCJN36084405,Complete
0018y00000856qsAAA,INSP-0133564,6/6/2025,Compliance (Initial),Cultivation Off-site,Dispensary,0000143DRCJN36084405,Complete
0018y00000856qsAAA,INSP-0132797,5/30/2025,Initial Monitoring,Retail Site,Establishment,00000139ESDD30084191,Complete
0018y00000856qsAAA,INSP-0132798,5/30/2025,Initial Monitoring,Retail Site,Dispensary,0000143DRCJN36084405,Complete
0018y00000856qsAAA,INSP-0131722,5/15/2025,Complaint,Cultivation Off-site,Dispensary,0000143DRCJN36084405,Complete
0018y00000856qsAAA,INSP-0115525,4/4/2025,Compliance (Initial),Dispensary,Dispensary,0000143DRCJN36084405,Complete
0018y00000856qsAAA,INSP-0100409,3/5/2025,Compliance (Annual),Cultivation Off-site,Dispensary,0000143DRCJN36084405,Complete
0018y00000856qsAAA,INSP-0047927,9/6/2024,Compliance (Annual),Retail Site,Establishment,00000139ESDD30084191,Complete
0018y00000856qsAAA,INSP-0044142,5/20/2024,Compliance (Annual),Dispensary,Dispensary,0000143DRCJN36084405,Complete
0018y00000856qsAAA,INSP-0044117,5/17/2024,Initial Monitoring,Cultivation Off-site,Dispensary,0000143DRCJN36084405,Complete
0018y00000856qsAAA,INSP-0039797,3/6/2024,Compliance (Initial),Cultivation Off-site,Dispensary,0000143DRCJN36084405,Complete
0018y00000856qsAAA,INSP-0032190,9/11/2023,Compliance (Annual),Retail Site,Establishment,00000139ESDD30084191,Complete
0018y00000856qsAAA,INSP-0029531,7/25/2023,Initial Monitoring,Dispensary,Dispensary,0000143DRCJN36084405,Complete
0018y00000856qsAAA,INSP-0027935,5/31/2023,Compliance (Initial),Dispensary,Dispensary,0000143DRCJN36084405,Complete
