Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
0018y000004ZNQIAA4,INSP-0163744,11/21/2025,Initial Monitoring,Retail Site,Establishment,0000149ESTUL49249395,Complete
0018y000004ZNQIAA4,INSP-0161087,10/2/2025,Compliance (Initial),Retail Site,Establishment,0000149ESTUL49249395,Complete
0018y000004ZNQIAA4,INSP-0133551,6/6/2025,Compliance (Annual),Retail Site,Establishment,0000149ESTUL49249395,Complete
0018y000004ZNQIAA4,INSP-0048183,9/13/2024,Initial Monitoring,Retail Site,Establishment,0000149ESTUL49249395,Complete
0018y000004ZNQIAA4,INSP-0046294,7/29/2024,Compliance (Initial),Retail Site,Establishment,0000149ESTUL49249395,Complete
0018y000004ZNQIAA4,INSP-0044537,5/30/2024,Initial Monitoring,Retail Site,Establishment,0000149ESTUL49249395,Complete
0018y000004ZNQIAA4,INSP-0042157,4/10/2024,Compliance (Initial),Retail Site,Establishment,0000149ESTUL49249395,Complete
0018y000004ZNQIAA4,INSP-0042274,4/1/2024,Compliance (Annual),Retail Site,Establishment,0000149ESTUL49249395,Complete
0018y000004ZNQIAA4,INSP-0031538,8/24/2023,Initial Monitoring,Retail Site,Establishment,0000149ESTUL49249395,Complete
0018y000004ZNQIAA4,INSP-0029052,6/30/2023,Compliance (Initial),Retail Site,Establishment,0000149ESTUL49249395,Complete
