Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
0018y000004cWKFAA2,INSP-0158917,9/10/2025,Compliance (Annual),Retail Site,Establishment,0000153ESTXW47689762,Complete
0018y000004cWKFAA2,INSP-0115616,5/13/2025,Initial Monitoring,Cultivation Site,Establishment,0000153ESTXW47689762,Complete
0018y000004cWKFAA2,INSP-0107743,3/24/2025,Compliance (Initial),Cultivation Site,Establishment,0000153ESTXW47689762,Complete
0018y000004cWKFAA2,INSP-0049180,10/18/2024,Compliance (Annual),Retail Site,Establishment,0000153ESTXW47689762,Complete
0018y000004cWKFAA2,INSP-0048887,10/3/2024,Complaint,Retail Site,Establishment,0000153ESTXW47689762,Complete
0018y000004cWKFAA2,INSP-0048888,10/3/2024,Complaint,Retail Site,Establishment,0000153ESTXW47689762,Complete
0018y000004cWKFAA2,INSP-0043492,5/29/2024,Initial Monitoring,Retail Site,Establishment,0000153ESTXW47689762,Complete
0018y000004cWKFAA2,INSP-0042809,4/15/2024,Compliance (Initial),Retail Site,Establishment,0000153ESTXW47689762,Complete
0018y000004cWKFAA2,INSP-0032881,10/20/2023,Initial Monitoring,Manufacture Site,Establishment,0000153ESTXW47689762,Complete
0018y000004cWKFAA2,INSP-0031317,8/24/2023,Compliance (Initial),Manufacture Site,Establishment,0000153ESTXW47689762,Complete
0018y000004cWKFAA2,INSP-0028908,8/4/2023,Initial Monitoring,Retail Site,Establishment,0000153ESTXW47689762,Complete
0018y000004cWKFAA2,INSP-0028703,6/16/2023,Compliance (Initial),Retail Site,Establishment,0000153ESTXW47689762,Complete
