Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
0018y000004cBuZAAU,INSP-0162959,11/6/2025,Compliance (Annual),Retail Site,Establishment,0000154ESTQI31348041,Complete
0018y000004cBuZAAU,INSP-0135049,7/2/2025,Modification,Manufacture Site,Establishment,0000154ESTQI31348041,Complete
0018y000004cBuZAAU,INSP-0133794,6/10/2025,Compliance (Annual),Manufacture Site,Establishment,0000154ESTQI31348041,Complete
0018y000004cBuZAAU,INSP-0052878,2/10/2025,Initial Monitoring,Retail Site,Establishment,0000154ESTQI31348041,Complete
0018y000004cBuZAAU,INSP-0051284,12/13/2024,Compliance (Initial),Retail Site,Establishment,0000154ESTQI31348041,Complete
0018y000004cBuZAAU,INSP-0047499,8/26/2024,Compliance (Annual),Retail Site,Establishment,0000154ESTQI31348041,Complete
0018y000004cBuZAAU,INSP-0047152,8/15/2024,Initial Monitoring,Manufacture Site,Establishment,0000154ESTQI31348041,Complete
0018y000004cBuZAAU,INSP-0045540,7/1/2024,Compliance (Initial),Manufacture Site,Establishment,0000154ESTQI31348041,Complete
0018y000004cBuZAAU,INSP-0036229,1/3/2024,Complaint,Retail Site,Establishment,0000154ESTQI31348041,Complete
0018y000004cBuZAAU,INSP-0033834,10/19/2023,Initial Monitoring,Retail Site,Establishment,0000154ESTQI31348041,Complete
0018y000004cBuZAAU,INSP-0031948,9/8/2023,Compliance (Initial),Retail Site,Establishment,0000154ESTQI31348041,Complete
