Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
0018y000004XdKbAAK,INSP-0166691,1/15/2026,Monitoring,Retail Site,Establishment,0000156ESTDP70697204,Complete
0018y000004XdKbAAK,INSP-0165586,12/30/2025,Monitoring,Cultivation Site,Establishment,0000156ESTDP70697204,Complete
0018y000004XdKbAAK,INSP-0163351,11/14/2025,Monitoring,Retail Site,Establishment,0000156ESTDP70697204,Complete
0018y000004XdKbAAK,INSP-0161952,10/22/2025,Complaint,Cultivation Site,Establishment,0000156ESTDP70697204,Complete
0018y000004XdKbAAK,INSP-0160601,9/25/2025,Complaint,Cultivation Site,Establishment,0000156ESTDP70697204,Complete
0018y000004XdKbAAK,INSP-0158219,8/20/2025,Compliance (Annual),Cultivation Site,Establishment,0000156ESTDP70697204,Complete
0018y000004XdKbAAK,INSP-0136406,7/21/2025,Complaint,Retail Site,Establishment,0000156ESTDP70697204,Complete
0018y000004XdKbAAK,INSP-0119732,4/3/2025,Monitoring,Cultivation Site,Establishment,0000156ESTDP70697204,Complete
0018y000004XdKbAAK,INSP-0104571,3/20/2025,Complaint;Compliance (Annual),Retail Site,Establishment,0000156ESTDP70697204,Complete
0018y000004XdKbAAK,INSP-0050387,11/14/2024,Complaint,Retail Site,Establishment,0000156ESTDP70697204,Complete
0018y000004XdKbAAK,INSP-0049714,10/28/2024,Initial Monitoring,Cultivation Site,Establishment,0000156ESTDP70697204,Complete
0018y000004XdKbAAK,INSP-0048193,9/13/2024,Compliance (Initial),Cultivation Site,Establishment,0000156ESTDP70697204,Complete
0018y000004XdKbAAK,INSP-0046070,7/16/2024,Complaint,Retail Site,Establishment,0000156ESTDP70697204,Complete
0018y000004XdKbAAK,INSP-0045002,6/19/2024,Compliance (Initial),Cultivation Site,Establishment,0000156ESTDP70697204,Complete
0018y000004XdKbAAK,INSP-0043640,5/6/2024,Initial Monitoring,Manufacture Site,Establishment,0000156ESTDP70697204,Complete
0018y000004XdKbAAK,INSP-0042236,3/29/2024,Compliance (Annual),Retail Site,Establishment,0000156ESTDP70697204,Complete
0018y000004XdKbAAK,INSP-0039764,3/4/2024,Compliance (Initial),Manufacture Site,Establishment,0000156ESTDP70697204,Complete
0018y000004XdKbAAK,INSP-0033100,9/29/2023,Complaint,Retail Site,Establishment,0000156ESTDP70697204,Complete
0018y000004XdKbAAK,INSP-0031764,8/29/2023,Complaint,Retail Site,Establishment,0000156ESTDP70697204,Complete
0018y000004XdKbAAK,INSP-0030210,7/26/2023,Initial Monitoring,Manufacture Site,Establishment,0000156ESTDP70697204,Complete
0018y000004XdKbAAK,INSP-0029868,7/20/2023,Modification,Retail Site,Establishment,0000156ESTDP70697204,Complete
0018y000004XdKbAAK,INSP-0029698,7/14/2023,Complaint,Retail Site,Establishment,0000156ESTDP70697204,Complete
0018y000004XdKbAAK,INSP-0028896,6/22/2023,Complaint,Retail Site,Establishment,0000156ESTDP70697204,Complete
0018y000004XdKbAAK,INSP-0028552,6/13/2023,Compliance (Initial),Manufacture Site,Establishment,0000156ESTDP70697204,Complete
0018y000004XdKbAAK,INSP-0028054,6/6/2023,Initial Monitoring,Retail Site,Establishment,0000156ESTDP70697204,Complete
