Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
0018y000004cwINAAY,INSP-0169188,2/27/2026,Monitoring,Cultivation Site,Establishment,0000158ESTLH17620655,Complete
0018y000004cwINAAY,INSP-0163896,11/24/2025,Initial Monitoring,Retail Site,Establishment,0000158ESTLH17620655,Complete
0018y000004cwINAAY,INSP-0161186,10/6/2025,Compliance (Initial),Retail Site,Establishment,0000158ESTLH17620655,Complete
0018y000004cwINAAY,INSP-0160722,9/29/2025,Compliance (Annual),Cultivation Site,Establishment,0000158ESTLH17620655,Complete
0018y000004cwINAAY,INSP-0133918,6/12/2025,Compliance (Annual),Retail Site,Establishment,0000158ESTLH17620655,Complete
0018y000004cwINAAY,INSP-0049898,11/20/2024,Initial Monitoring,Cultivation Site,Establishment,0000158ESTLH17620655,Complete
0018y000004cwINAAY,INSP-0049082,10/11/2024,Compliance (Initial),Cultivation Site,Establishment,0000158ESTLH17620655,Complete
0018y000004cwINAAY,INSP-0046764,8/7/2024,Compliance (Annual),Retail Site,Establishment,0000158ESTLH17620655,Complete
0018y000004cwINAAY,INSP-0033875,10/20/2023,Initial Monitoring,Retail Site,Establishment,0000158ESTLH17620655,Complete
0018y000004cwINAAY,INSP-0031932,9/5/2023,Compliance (Initial),Retail Site,Establishment,0000158ESTLH17620655,Complete
