Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
0018y000004ZJ7TAAW,INSP-0164564,12/10/2025,Compliance (Annual),Manufacture Site,Establishment,0000160ESTDY36165846,Complete
0018y000004ZJ7TAAW,INSP-0136308,9/22/2025,Compliance (Annual),Retail Site,Establishment,0000160ESTDY36165846,Complete
0018y000004ZJ7TAAW,INSP-0051455,1/21/2025,Compliance (Annual),Manufacture Site,Establishment,0000160ESTDY36165846,Complete
0018y000004ZJ7TAAW,INSP-0048980,12/3/2024,Monitoring,Manufacture Site,Establishment,0000160ESTDY36165846,Complete
0018y000004ZJ7TAAW,INSP-0047895,9/26/2024,Compliance (Annual),Retail Site,Establishment,0000160ESTDY36165846,Complete
0018y000004ZJ7TAAW,INSP-0043491,5/16/2024,Initial Monitoring,Manufacture Site,Establishment,0000160ESTDY36165846,Complete
0018y000004ZJ7TAAW,INSP-0043226,5/14/2024,Complaint,Retail Site,Establishment,0000160ESTDY36165846,Complete
0018y000004ZJ7TAAW,INSP-0041889,3/22/2024,Compliance (Initial),Manufacture Site,Establishment,0000160ESTDY36165846,Complete
0018y000004ZJ7TAAW,INSP-0035646,12/12/2023,Initial Monitoring,Retail Site,Establishment,0000160ESTDY36165846,Complete
0018y000004ZJ7TAAW,INSP-0033264,10/6/2023,Compliance (Initial),Retail Site,Establishment,0000160ESTDY36165846,Complete
