Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
0018y000004XtWCAA0,INSP-0161818,10/23/2025,Initial Monitoring,Retail Site,Establishment,0000168ESTBM41952754,Complete
0018y000004XtWCAA0,INSP-0159255,9/5/2025,Compliance (Initial),Retail Site,Establishment,0000168ESTBM41952754,Complete
0018y000004XtWCAA0,INSP-0124771,4/15/2025,Compliance (Annual),Retail Site,Establishment,0000168ESTBM41952754,Complete
0018y000004XtWCAA0,INSP-0044269,5/22/2024,Compliance (Annual),Retail Site,Establishment,0000168ESTBM41952754,Complete
0018y000004XtWCAA0,INSP-0039369,2/20/2024,Complaint,Retail Site,Establishment,0000168ESTBM41952754,Complete
0018y000004XtWCAA0,INSP-0030487,8/11/2023,Initial Monitoring,Cultivation Site,Establishment,0000168ESTBM41952754,Complete
0018y000004XtWCAA0,INSP-0030486,8/7/2023,Initial Monitoring,Retail Site,Establishment,0000168ESTBM41952754,Complete
0018y000004XtWCAA0,INSP-0030138,8/7/2023,Modification,Retail Site,Establishment,0000168ESTBM41952754,Complete
0018y000004XtWCAA0,INSP-0028916,6/28/2023,Compliance (Initial),Cultivation Site,Establishment,0000168ESTBM41952754,Complete
0018y000004XtWCAA0,INSP-0028692,6/16/2023,Compliance (Initial),Retail Site,Establishment,0000168ESTBM41952754,Complete
