License_Number,Facility_Name,DBA,Facility_Type,Street,City,ZIP_Code,Expiration_Date,Date_Updated,Category,Sheet
403-00164,1022 S ROYER LLC,HIGHTOPS,Medical Marijuana Cultivation,1022 South Royer Street,Colorado Springs,80903,8/7/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01080,1395 SOUTH ACOMA LLC,STELLAR DECON; STELLAR CANNABIS,Medical Marijuana Cultivation,1395 South Acoma Street,Denver,80223,5/2/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01998,1CURE LLC,,Medical Marijuana Cultivation,7835 Maverick Lane,Ordway,81063,10/21/2026,2026-04-02 00:00:00,Cultivations,Medical
403-00079,2727 CULTIVATION LLC,GENERATIONS,Medical Marijuana Cultivation,3228 North Nevada Avenue,Colorado Springs,80907,5/2/2027,2026-04-02 00:00:00,Cultivations,Medical
403-00244,30 LLC,,Medical Marijuana Cultivation,695 North Bryant Street,Denver,80204,5/30/2027,2026-04-02 00:00:00,Cultivations,Medical
403-00980,4611 EXPANSION LLC,,Medical Marijuana Cultivation,4655 East 46th Avenue,Denver,80216,4/15/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01390,4747 PEARL STREET LLC,GREAT ASCENT BOTANICALS,Medical Marijuana Cultivation,4747 Pearl Street Unit M1,Boulder,80301,10/27/2026,2026-04-02 00:00:00,Cultivations,Medical
403-01401,7415 LLC,,Medical Marijuana Cultivation,7415 Rex Road,Pueblo,81005,10/31/2026,2026-04-02 00:00:00,Cultivations,Medical
403-02014,ACES PLACE LLC,,Medical Marijuana Cultivation,14621 County Road 98,Nunn,80648,3/21/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01871,ADVANCED BTP LLC,KIND-MEDS,Medical Marijuana Cultivation,1001 South Royer Street,Colorado Springs,80903,1/17/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01548,AF INC,APOTHECARY FARMS,Medical Marijuana Cultivation,3415 Riddle Place,Colorado City,81019,10/16/2027,2026-04-02 00:00:00,Cultivations,Medical
403-00682,ALL PRO FARMS ALAMEDA LLC,ROCKY MOUNTAIN HIGH,Medical Marijuana Cultivation,1500 US Highway 85 87,Walsenburg,81089,10/15/2026,2026-04-02 00:00:00,Cultivations,Medical
403-02395,ALL PRO FARMS LLC,,Medical Marijuana Cultivation,1500 US Highway 85/87,Walsenburg,81089,8/30/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01828,ALLGREENS LLC,,Medical Marijuana Cultivation,1235 South Huron Street,Denver,80223,6/20/2027,2026-04-02 00:00:00,Cultivations,Medical
