License_Number,Business_Name,DBA,License_Type,License_Status,Street,City,State,ZIP,Effective_Date,Expiration_Date,Application_Type
ACRE.0015697,ACREAGE CONNECTICUT RETAIL JV LLC,LIT NEW HAVEN,ADULT-USE CANNABIS RETAILER,ACTIVE,169 East St,New Haven,CT,06511,04/07/2026,04/06/2027,Equity Joint Venture
ACRE.0015644,BUDR HARTFORD HOLDING LLC,,ADULT-USE CANNABIS RETAILER,ACTIVE,108 Federal Road,Danbury,CT,06810,10/05/2025,10/04/2026,Equity Joint Venture
ACRE.0015696,Budr Holding 5 LLC,,ADULT-USE CANNABIS RETAILER,ACTIVE,Address is not available until the final application is complete,,CT,,01/16/2025,01/15/2027,Equity Joint Venture
ACRE.0015705,C3 EJV I LLC,HIGH PROFILE CANNABIS SHOP,ADULT-USE CANNABIS RETAILER,ACTIVE,Address is not available until the final application is complete,,CT,,02/03/2026,04/02/2027,Equity Joint Venture
ACRE.0015694,C3 EJV II LLC,,ADULT-USE CANNABIS RETAILER,ACTIVE,130 Honeyspot Road,Stratford,CT,06615,06/03/2025,06/02/2026,Equity Joint Venture
ACRE.0004289,CHILLAX LLC,THE LIV,ADULT-USE CANNABIS RETAILER,ACTIVE,"97 Providence Pike
Suite 4",Putnam,CT,06260,07/09/2025,07/08/2026,SEC Lottery
ACCE.0000018,Coastal Cannabis LLC,,ADULT-USE CANNABIS CULTIVATOR,ACTIVE,75 N MOUNTAIN RD,NEW BRITAIN,CT,06053,01/20/2026,01/19/2027,DIA Cultivator
ACRE.0015685,CONNECTIBUDS EJV 1 LLC,HI PEOPLE CANNABIS MARKET,ADULT-USE CANNABIS RETAILER,ACTIVE,306 Market Street,Hartford,CT,06120,11/19/2025,11/18/2026,Equity Joint Venture
ACRE.0015686,CONNECTIBUDS EJV 2 LLC,HI PEOPLE CANNABIS MARKET,ADULT-USE CANNABIS RETAILER,ACTIVE,90 Pershing Drive,Derby,CT,06418,01/09/2026,01/08/2027,Equity Joint Venture
ACCE.0000006,Connectibuds LLC,,ADULT-USE CANNABIS CULTIVATOR,ACTIVE,Address is not available until the final application is complete,,CT,,01/17/2023,,DIA Cultivator
ACCE.0000034,"Connecticut Cultivation Solutions, LLC",,ADULT-USE CANNABIS CULTIVATOR,ACTIVE,Address is not available until the final application is complete,,CT,,09/02/2022,,DIA Cultivator
ACCE.0000040,"CONNECTICUT SOCIAL EQUITY, LLC",RODEO CANNABIS COMPANY,ADULT-USE CANNABIS CULTIVATOR,ACTIVE,266 WATERTOWN RD,MORRIS,CT,06763,06/04/2025,06/04/2026,DIA Cultivator
ACCE.0000014,CT PLANT BASED COMPASSIONATE CARE LLC,,ADULT-USE CANNABIS CULTIVATOR,ACTIVE,Address is not available until the final application is complete,,CT,,09/16/2022,,DIA Cultivator
ACRE.0015703,"CTCannaVentures, LLC",,ADULT-USE CANNABIS RETAILER,ACTIVE,Address is not available until the final application is complete,,CT,,12/17/2025,02/16/2027,Equity Joint Venture
ACME.0003689,DEBBIE'S DISPENSARY LLC,CRISP CANNABIS,ADULT-USE CANNABIS MICRO-CULTIVATOR,ACTIVE,115 Forest St,Norwich,CT,06360,01/16/2026,01/15/2027,General Lottery
ACRE.0009619,DEBBIE'S DISPENSARY LLC,CRISP CANNABIS,ADULT-USE CANNABIS RETAILER,ACTIVE,500 Main St,East Hartford,CT,06118,01/17/2026,01/16/2027,General Lottery
ACCE.0000042,DF C3 LLC,,ADULT-USE CANNABIS CULTIVATOR,ACTIVE,Address is not available until the final application is complete,,CT,,11/29/2023,,DIA Cultivator
ACRE.0008896,DIVINE 1 LLC,CLONE CANABISS,ADULT-USE CANNABIS RETAILER,ACTIVE,"39 NEW HAVEN RD
SUITE 2",SEYMOUR,CT,06483,09/03/2025,09/02/2026,SEC Lottery
ACME.0008483,elm city agg,,ADULT-USE CANNABIS MICRO-CULTIVATOR,ACTIVE,Address is not available until the final application is complete,,CT,,05/21/2025,05/20/2027,Conversion
ACCE.0000028,FFD 149 LLC,,ADULT-USE CANNABIS CULTIVATOR,ACTIVE,10 MOSEY DR,BLOOMFIELD,CT,06002,12/16/2025,12/15/2026,DIA Cultivator
