Name,Credential,Credential Description,Status,Status Reason,City,DBA,Credential,License Type,Effective Date,Expiration Date,Status,Application Type,Endorsements,Mailing Address,License Address
ACREAGE CONNECTICUT RETAIL JV LLC,ACRE.0015697,"ADULT-USE CANNABIS RETAILER
Department of Consumer Protection",ACTIVE,CURRENT,New Haven,LIT NEW HAVEN,ACRE.0015697,ADULT-USE CANNABIS RETAILER,04/07/2026,04/06/2027,ACTIVE,Equity Joint Venture,None,"ACREAGE CONNECTICUT RETAIL JV LLC
Kebra Smith-Bolden
169 East St
New Haven, CT 06513","169 East St
New Haven, CT 06511"
BUDR HARTFORD HOLDING LLC,ACRE.0015644,"ADULT-USE CANNABIS RETAILER
Department of Consumer Protection",ACTIVE,CURRENT,Danbury,,ACRE.0015644,ADULT-USE CANNABIS RETAILER,10/05/2025,10/04/2026,ACTIVE,Equity Joint Venture,None,"BUDR HARTFORD HOLDING LLC
1251 South Main Street
Middletown, CT 06457","108 Federal Road
Danbury, CT 06810"
Budr Holding 5 LLC,ACRE.0015696,"ADULT-USE CANNABIS RETAILER
Department of Consumer Protection",ACTIVE,PROVISIONAL,Middletown,,ACRE.0015696,ADULT-USE CANNABIS RETAILER,01/16/2025,01/15/2027,ACTIVE,Equity Joint Venture,None,"Budr Holding 5 LLC
1251 South Main St
Middletown, CT 06457",Address is not available until the final application is complete
C3 EJV I LLC,ACRE.0015705,"ADULT-USE CANNABIS RETAILER
Department of Consumer Protection",ACTIVE,PROVISIONAL,MANCHESTER,HIGH PROFILE CANNABIS SHOP,ACRE.0015705,ADULT-USE CANNABIS RETAILER,02/03/2026,04/02/2027,ACTIVE,Equity Joint Venture,None,"C3 EJV I LLC
C3 EJV I LLC
4420 Varsity Drive
Ann Arbor, MI 48108",Address is not available until the final application is complete
C3 EJV II LLC,ACRE.0015694,"ADULT-USE CANNABIS RETAILER
Department of Consumer Protection",ACTIVE,CURRENT,Stratford,,ACRE.0015694,ADULT-USE CANNABIS RETAILER,06/03/2025,06/02/2026,ACTIVE,Equity Joint Venture,None,"C3 EJV II LLC
4420 Varsity Drive
Ann Arbor, MI 48108","130 Honeyspot Road
Stratford, CT 06615"
CHILLAX LLC,ACRE.0004289,"ADULT-USE CANNABIS RETAILER
Department of Consumer Protection",ACTIVE,CURRENT,Putnam,THE LIV,ACRE.0004289,ADULT-USE CANNABIS RETAILER,07/09/2025,07/08/2026,ACTIVE,SEC Lottery,None,"CHILLAX LLC
1501 Fir Court
Somerset, NJ 08873","97 Providence Pike
Suite 4
Putnam, CT 06260"
Coastal Cannabis LLC,ACCE.0000018,"ADULT-USE CANNABIS CULTIVATOR
Department of Consumer Protection",ACTIVE,CURRENT,NEW BRITAIN,,ACCE.0000018,ADULT-USE CANNABIS CULTIVATOR,01/20/2026,01/19/2027,ACTIVE,DIA Cultivator,None,"Coastal Cannabis LLC
Attorney Jeffrey Zyjeski
Law Offices of Jay F. Malcysnky PC
One Liberty Square, Suite 201
New Britain, CT 06051","75 N MOUNTAIN RD
NEW BRITAIN, CT 06053-3468"
CONNECTIBUDS EJV 1 LLC,ACRE.0015685,"ADULT-USE CANNABIS RETAILER
Department of Consumer Protection",ACTIVE,CURRENT,Hartford,HI PEOPLE CANNABIS MARKET,ACRE.0015685,ADULT-USE CANNABIS RETAILER,11/19/2025,11/18/2026,ACTIVE,Equity Joint Venture,None,"CONNECTIBUDS EJV 1 LLC
Attn: Ryan Krieger
306 Market Street
Hi People
Hartford, CT 06120","306 Market Street
Hartford, CT 06120"
CONNECTIBUDS EJV 2 LLC,ACRE.0015686,"ADULT-USE CANNABIS RETAILER
Department of Consumer Protection",ACTIVE,CURRENT,Derby,HI PEOPLE CANNABIS MARKET,ACRE.0015686,ADULT-USE CANNABIS RETAILER,01/09/2026,01/08/2027,ACTIVE,Equity Joint Venture,None,"CONNECTIBUDS EJV 2 LLC
Attn: David Salinas
600 Hayden Station
Windsor, CT 06095","90 Pershing Drive
Derby, CT 06418"
Connectibuds LLC,ACCE.0000006,"ADULT-USE CANNABIS CULTIVATOR
Department of Consumer Protection",ACTIVE,PROVISIONAL,South Windsor,,ACCE.0000006,ADULT-USE CANNABIS CULTIVATOR,01/17/2023,,ACTIVE,DIA Cultivator,None,"Connectibuds LLC
29 Sunset Terrace
South Windsor, CT 06074",Address is not available until the final application is complete
