Business_Name,Legal_Name,Address,City,State,ZIP,License_Number,Latitude,Longitude
Trulieve Macon,Trulieve Medical Cannabis Dispensary of Macon,"3556 Riverside Drive, Suite A",Macon,GA,31210,DISP0001,32.8975623,-83.6833325
Trulieve Marietta,Trulieve Medical Cannabis Dispensary of Marietta,"220 Cobb Parkway North, Suite 600",Marietta,GA,30062,DISP0002,33.9556006,-84.5225041
Trulieve Pooler,Trulieve Medical Cannabis Dispensary of Pooler,2003 Pooler Parkway,Pooler,GA,31322,DISP0003,32.0811698,-81.2799086
Botanical Sciences Marietta,"Georgia Dispensary 3, LLC dba","Botanical Sciences, 2468 Windy Hill Rd, Suite 900",Marietta,GA,30067,DISP0004,33.902355,-84.4816349
Botanical Sciences Pooler,"Georgia Dispensary 4, LLC dba","Botanical Sciences, 100 Zoya Lane, Suite 112",Pooler,GA,31322,DISP0005,32.0870758,-81.2769441
Trulieve Newnan,Trulieve Medical Cannabis Dispensary of Newnan,"1690 Highway 34 East, Suite D",Newnan,GA,30265,DISP0006,33.4018397,-84.7251988
Botanical Sciences Chamblee,"Georgia Dispensary 1, LLC dba","Botanical Sciences, 3927 Buford Hwy NE",Atlanta,GA,30345,DISP0007,33.8579104,-84.3114939
Botanical Sciences Stockbridge,"Georgia Dispensary 2, LLC dba","Botanical Sciences, 1791 Rock Quarry Rd",Stockbridge,GA,30281,DISP0008,33.5079524,-84.2289087
Trulieve Evans,Trulieve Medical Cannabis Dispensary of Evans,"4218 Washington Rd, Unit 1",Evans,GA,30809,DISP0009,33.523809,-82.121703
Fine Fettle Smyrna,FFD GA Smyrna LLC,2110 Paces Ferry Road SE,Smyrna,GA,30080,DISP0011,33.8643372,-84.4916136
Fine Fettle Decatur,FFD GA Decatur LLC,2607 Lawrenceville Highway,Decatur,GA,30033,DISP0013,33.8228465,-84.2620781
Fine Fettle Athens,FFD GA Athens LLC,3035 Atlanta Highway,Athens,GA,30606,DISP0012,33.9431955,-83.439548
Trulieve Columbus,Trulieve Medical Cannabis Dispensary of Columbus,4328 Armour Road,Columbus,GA,31904,DISP0014,32.5042004,-84.9522879
Treevana Milledgeville,"Treevana Remedy, Inc.","3015 Heritage Place, Suite B",Milledgeville,GA,31061,DISP0015,33.1182227,-83.259218
Botanical Sciences Atlanta,"Georgia Dispensary 6, LLC d/b/a","Botanical Sciences, 1532 Howell Mill Rd.",Atlanta,GA,30318,DISP0018,33.7974041,-84.4164236
