License_Holder,Dispensary_Name,Street,City,State,ZIP,Phone,License_Issue_Date,Credential_Number,License_Section
"GTI Mundelein, LLC",Rise,1325 Armour Boulevard,,,,,08/22/2019,284.000001-AUDO,Active Adult Use
"3C Compassionate Care Centers, LLC",Rise,1627 Rock Creek Blvd.,,,,,08/22/2019,284.000002-AUDO,Active Adult Use
"3C Compassionate Care Centers, LLC",Rise,1700 Quincy Ave. #103,,,,,08/22/2019,284.000003-AUDO,Active Adult Use
"Evergreen Dispensary, LLC",Rise,3104 N. Main Street,,,,,08/22/2019,284.000005-AUDO,Active Adult Use
"Phoenix Farms of Illinois, LLC",Sunnyside*,1704 S Neil St. C,Champaign,IL,61820,(217) 441-2076,10/15/2019,284.000006-AUDO,Active Adult Use
"MedMar Rockford, LLC",Sunnyside*,2696 McFarland Rd,Rockford,IL,61107,(815) 314-1900,10/15/2019,284.000007-AUDO,Active Adult Use
"MedMar Lakeview, LLC",Sunnyside*,"3524 N. Clark St. Chicago,, IL 60657",,,,(773) 698-8182,10/15/2019,284.000008-AUDO,Active Adult Use
"PDI Medical III, LLC",Sunnyside*,830 Milwaukee Ave.,,,,,10/15/2019,284.000009-AUDO,Active Adult Use
"FloraMedex, LLC",Sunnyside*,7955 W. Grand Ave.,,,,,10/15/2019,284.000010-AUDO,Active Adult Use
"Mapleglen Care Center, LLC",,,,,,,10/15/2019,284.000011-AUDO,Active Adult Use
"Gentle Ventures, LLC",,,,,,,11/06/2019,284.000012-AUDO,Active Adult Use
"Maribis of Springfield, LLC",,,,,,,11/06/2019,,Active Adult Use
"Maribis of Chicago, LLC",,,,,,,11/06/2019,284.000014-AUDO,Active Adult Use
Pharmacann Inc.,,,,,,,11/19/2019,284.000016-AUDO,Active Adult Use
Pharmacann Inc.,,,,,,,11/19/2019,284.000017-AUDO,Active Adult Use
Pharmacann Inc.,,,,,,,11/19/2019,284.000018-AUDO,Active Adult Use
Midwest Compassion Center Inc.,,,,,,,11/19/2019,284.000019-AUDO,Active Adult Use
"New Age Care, LLC",,,,,,,11/19/2019,284.000022-AUDO,Active Adult Use
"Terra Herbal Health, LLC",,,,,,,11/19/2019,284.000023-AUDO,Active Adult Use
"Curative Health, LLC",,,,,,,11/25/2019,284.000024-AUDO,Active Adult Use
HealthCentral LLC,,,,,,,11/25/2019,284.000025-AUDO,Active Adult Use
HealthCentral LLC,,,,,,,11/25/2019,284.000026-AUDO,Active Adult Use
"Harborside Illinois Grown Medicine, Inc.",,,,,,,11/25/2019,284.000341-AUDO,Active Adult Use
,Nature’s Treatment,,,,,,11/25/2019,284.000028-AUDO,Active Adult Use
EarthMed LLC,EarthMed,852 S. Westgate St.,Addison,IL,60101,(630) 607-0796,11/25/2019,284.000030-AUDO,Active Adult Use
"Future Transactions Holdings, LLC",Dutchess Cannabis – Oak Park,1132 Lake St.,Oak Park,IL,60301,(424) 330-2194,12/11/2019,284.000033-AUDO,Active Adult Use
NuMed Chicago LLC,NuEra,1308 W. North Ave.,Chicago,IL,60642,(773) 687-8480,12/13/2019,284.000035-AUDO,Active Adult Use
NuMed East Peoria LLC,NuEra,504 Riverside Dr. East,Peoria,IL,61611,(309) 839-1330,12/13/2019,284.000036-AUDO,Active Adult Use
NuMed Urbana LLC,NuEra,105 E. University Ave.,Urbana,IL,61801,(217) 607-2867,12/13/2019,284.000037-AUDO,Active Adult Use
"GTI Mundelein, LLC",Rise,2903 Colorado Ave.,Joliet,IL,60431,(815) 773-1167,12/30/2019,284.000044-AUDO,Active Adult Use
"KPG of Anna, LLC",Thrive,87 Richview Dr.,Anna,IL,62906,(616) 715-0887,12/30/2019,284.000045-AUDO,Active Adult Use
"KPG of Harrisburg, LLC",Thrive,105 Veterans Drive,Harrisburg,IL,62946,(616) 715-0882,12/30/2019,284.000046-AUDO,Active Adult Use
"Evergreen Dispensary, LLC",Rise,2703 Broadway St.,Quincy,IL,62301,(309) 204-3904,01/13/2020,284.000047-AUDO,Active Adult Use
"Beyond Hello IL, LLC",Beyond/Hello,2021 Goose Lake Road,Sauget,IL,62206,(309) 434-5141,01/13/2020,284.000048-AUDO,Active Adult Use
"Mindful Illinois, LLC",Hatch,1433 W Fullerton Ave. SteC,Addison,IL,60101,(630) 519-1300,02/14/2020,284.000049-AUDO,Active Adult Use
"NCC, LLC",Nature’s Care Company,,,,,,02/14/2020,284.000050-AUDO,Active Adult Use
"Beyond Hello IL, LLC",Beyond/Hello,501 W Northtown Rd.,Normal,IL,61761,(309) 434-5141,03/11/2020,284.000051-AUDO,Active Adult Use
"MedMar Lakeview, LLC",Sunnyside*,"436 N. Clark St. Chicago, IL, 60654",,,,(312) 929-0993,04/03/2020,284.000053-AUDO,Active Adult Use
"Nature’s Treatment of the Quad Cities, LLC",Nature’s Treatment,"735 W Main St. Galesburg,, IL 61401",,,,(309) 315-4684,04/17/2020,284.000054-AUDO,Active Adult Use
"3C Compassionate Care Centers, LLC",Rise,9621 N. Milwaukee Ave.,Niles,IL,60714,(815) 900-2227,05/21/2020,284.000055-AUDO,Active Adult Use
"Phoenix Farms of Illinois, LLC",Sunnyside*,"369 Lynch Road, Danville, IL. 61834",,,,(217) 903-3576,05/22/2020,284.000056-AUDO,Active Adult Use
"Terra Herbal Health, LLC",Consume Carbondale,"201 E. Main Street, Carbondale, Il. 62901",,,,(618) 969-8217,06/19/2020,284.000058-AUDO,Active Adult Use
"MedMar Rockford, LLC",Sunnyside*,"7000 First Ranger Dr. South, 6660",Beloit,IL,61080,,07/08/2020,284.000059-AUDO,Active Adult Use
"FloraMedex, LLC",Sunnyside*,1739 E. Golf Rd.,Schaumburg,IL,60173,(312) 929-0993,07/31/2020,284.000061-AUDO,Active Adult Use
"NCC, LLC",Nature’s Care Company,810 W. Randolph St.,Chicago,IL,60607,(631) 637-2445,08/30/2020,284.000064-AUDO,Active Adult Use
"Curative Health, LLC",Cannabist–Villa Park,"133 W. Roosevelt Rd. Villa, Park, IL. 60181",,,,(312) 948-9082,09/16/2020,284.000065-AUDO,Active Adult Use
"KPG of Harrisburg, LLC",Thrive,800 S 45th St Mount,Vernon,IL,62864,(618) 204-0096,09/17/2020,284.000066-AUDO,Active Adult Use
"HealthCentral, LLC",Ascend,"3201 Horizon Dr., Springfield, Il. 62703",,,,(217) 718-2936,10/29/2020,284.000069-AUDO,Active Adult Use
"NuMed Chicago, LLC",NuEra,1415 Corporate Blvd,Aurora,IL,60502,(815) 993-3300,11/06/2020,284.000072-AUDO,Active Adult Use
"CWAZ, LLC",Dispensary33,1152 W. Randolph,Chicago,IL,60607,(312) 620-3333,11/06/2020,284.000073-AUDO,Active Adult Use
Harborside Illinois Grown Medicine,Mission,1330 Torrence Ave,Calumet City,IL,60409,(773) 530-0088,12/11/2020,,Active Adult Use
MOCA LLC,Ascend - MOCA,2847 W. Fullerton Ave.,Chicago,IL,60647,(773) 722-6622,12/15/2020,284.000076-AUDO,Active Adult Use
MOCA LLC,Ascend - MOCA,"216 W. Ohio St. Chicago, IL, 60654",,,,(773) 722-6622,12/15/2020,284.000077-AUDO,Active Adult Use
"Beyond Hello IL, LLC",Beyond/Hello,1401 Mississippi Ave Ste 17,Sauget,IL,62201,(618) 874-9800,12/18/2020,284.000079-AUDO,Active Adult Use
"PDI Medical III, LLC.",Sunnyside*,2740 W 75th St,Naperville,IL,60564,(630) 884-8061,12/18/2020,284.000080-AUDO,Active Adult Use
"Earthmed, LLC",EarthMed,,,,,,12/27/2020,284.000082-AUDO,Active Adult Use
"WCCC Homewood, LLC",,Windy City,,,,,03/16/2021,284.000084-AUDO,Active Adult Use
"Beyond Hello, LLC.",Beyond/Hello,,,,,,01/22/2021,284.000085-AUDO,Active Adult Use
"WCCC Posen, LLC",,Windy City,,,,,03/16/2021,284.000086-AUDO,Active Adult Use
"Curaleaf Worth, LLC",Curaleaf,,,,,,03/16/2021,284.000087-AUDO,Active Adult Use
"Curaleaf Justice, LLC",Curaleaf,,,,,,03/16/2021,284.000088-AUDO,Active Adult Use
"Curaleaf Justice 2nd Site, LLC",Curaleaf,,,,,,03/16/2021,284.000089-AUDO,Active Adult Use
"Greenhouse Group, LLC",Curaleaf,,,,,,03/16/2021,284.000090-AUDO,Active Adult Use
"Greenhouse Group, LLC",Curaleaf,,,,,,03/16/2021,284.000091-AUDO,Active Adult Use
"Greenhouse Group, LLC",Curaleaf,,,,,,03/16/2021,284.000092-AUDO,Active Adult Use
"Greenhouse Group, LLC",Curaleaf,,,,,,03/16/2021,284.000093-AUDO,Active Adult Use
"Union Group of Illinois, LLC",Consume Chicago,,,,,,02/09/2021,284.000094-AUDO,Active Adult Use
"Union Group of Illinois, LLC",Consume Oakbrook Terrace,,,,,,02/09/2021,284.000095-AUDO,Active Adult Use
"PC Rosemont, LLC.",Verilife,,,,,,02/19/2021,284.000096-AUDO,Active Adult Use
PC AU 4 LLC.,Verilife,,,,,,02/24/2021,284.000097-AUDO,Active Adult Use
"The Dispensary, LLC",The Dispensary,,,,,,03/04/2021,284.000098-AUDO,Active Adult Use
"PC AU 1, LLC.",Verilife,"60 W Superior St Chicago,, IL 60654-4788",,,,(312) 667-6247,03/09/2021,284.000099-AUDO,Active Adult Use
"WCCC Posen 2nd Site, LLC.",Windy City Cannabis,260 Green Bay Rd.,Highwood,IL,60040,(847) 957-3501,03/11/2021,284.000100-AUDO,Active Adult Use
Mapleglen Care Center,The Happy Cannabis Company,"4120 N Bell School Rd, (TBD)",Loves Park,IL,61111,,03/16/2021,284.000102-AUDO,Active Adult Use
"HealthCentral, LLC",Ascend,114 Commerce Ln Fairview,Heights,IL,62208,,03/17/2021,284.000104-AUDO,Active Adult Use
Mindful Illinois LLC,Hatch Dispensary,1500 E Lake Cook Rd,Wheeling,IL,60090,(224) 434-2320,03/17/2021,284.000105-AUDO,Active Adult Use
"Future Transactions Holdings, LLC",Dutchess Cannabis – Morton Grove,,,,,,03/18/2021,284.000106-AUDO,Active Adult Use
"PC AU 3, LLC.",Verilife,150 N. Barrington Rd.,Schaumburg,IL,60194,(630) 332-9602,03/19/2021,284.000108-AUDO,Active Adult Use
"Greenhouse Compass, LLC",Windy City Cannabis,,,,,,03/19/2021,284.000109-AUDO,Active Adult Use
"3C Compassionate Care Center, LLC",Rise,270 N Randall Rd Lake in,the Hills,IL,60156,(312) 471-6720,03/23/2021,284.000110-AUDO,Active Adult Use
"WCCC Homewood 2nd Site, LLC",Windy City Cannabis,125 S Western Ave,Carpentersville,IL,60110,(312) 874-7040,03/24/2021,284.000111-AUDO,Active Adult Use
"Greenhouse Compass, LLC",Windy City Cannabis,"518 W Jackson St Macomb,, IL 61455-2008 TBD",,,,,03/29/2021,284.000112-AUDO,Active Adult Use
"The Dispensary, LLC",The Dispensary,1709 Il Route 35 N East,Dubuque,IL,61025,(815) 208-7701,03/29/2021,284.000113-AUDO,Active Adult Use
NuMed Urbana LLC,NuEra,"102 E Green St Champaign,, IL 61820",,,,(309) 303-2535,03/29/2021,284.000115-AUDO,Active Adult Use
NuMed East Peoria LLC,NuEra,3249 Court St,Pekin,IL,61554,(309) 839-1330,03/29/2021,284.000116-AUDO,Active Adult Use
"Curaleaf Worth 2nd Site, LLC",Curaleaf,"11 E Ogden Ave, Westmont, IL 6055",,,,(312) 874-7040,03/29/2021,284.000117-AUDO,Active Adult Use
Maribis of Chicago LLC,Maribis,1137 S Mannheim Rd,Westchester,IL,60154,(888) 888-2812,03/29/2021,284.000118-AUDO,Active Adult Use
"Maribis of Springfield, LLC",Maribis,3025 Lindbergh Blvd,Springfield,IL,62704,,03/30/2021,284.000119-AUDO,Active Adult Use
"Greenhouse Group, LLC",Curaleaf,,,,,,03/31/2021,284.000120-AUDO,Active Adult Use
"Greenhouse Group, LLC",Curaleaf,,,,,,03/31/2021,284.000121-AUDO,Active Adult Use
"KPG of Anna, LLC",Thrive,1551 E. 5th St.,Metropolis,IL,62960,(618) 602-2900,03/31/2021,284.000122-AUDO,Active Adult Use
"NAC 2, LLC",Revolution Dispensary – Schaumburg,820 E. Golf Rd.,Schaumburg,IL,60173,(847) 773-0820,03/31/2021,284.000123-AUDO,Active Adult Use
"Ascend Illinois Holdings, LLC",Midway by Ascend,5648 S. Archer Ave.,Chicago,IL,60638,(872) 267-7038,01/05/2022,284.000124-AUDO,Active Adult Use
"Ascend Illinois Holdings, LLC",Ascend,9820 Ridgeland Ave,Chicago Ridge,IL,60415,(872) 250-3890,01/05/2022,,Active Adult Use
"420 Capital Management, LLC",ZenLeaf,783 E Butterfield Rd,Lombard,IL,60148,(630) 716-2517,03/11/2022,284.000127-AUDO,Active Adult Use
"420 Capital Management, LLC",ZenLeaf,,,,,,03/11/2022,284.000128-AUDO,Active Adult Use
"NH Medicinal Dispensaries, LLC",Rise,,,,,,02/28/2022,284.000129-AUDO,Active Adult Use
"NH Medicinal Dispensaries, LLC",Rise,909 Lincoln Ave.,Charleston,IL,61920,(217) 284-6077,02/28/2022,284.000130-AUDO,Active Adult Use
"MME Evanston Retail, LLC",ZenLeaf,,,,,,03/29/2022,284.000131-AUDO,Active Adult Use
"MME Aurora Retail, LLC",ZenLeaf,740 N. Rte. 59,Aurora,IL,60504,(331) 212-8846,03/29/2022,284.000132-AUDO,Active Adult Use
"The Herbal Care Center, Inc.",ZenLeaf,,,,,,04/18/2022,284.000133-AUDO,Active Adult Use
"The Herbal Care Center, Inc.",ZenLeaf,,,,,,04/18/2022,284.000134-AUDO,Active Adult Use
"Elevele, LLC",Zen Leaf,,,,,,05/10/2022,284.000135-AUDO,Active Adult Use
"Elevele, LLC",ZenLeaf,,,,,,05/10/2022,284.000136-AUDO,Active Adult Use
"Herbal Remedies Dispensaries, LLC",Bloom Wellness – Quincy,,,,,,05/12/2022,284.000361-AUDO,Active Adult Use
"Herbal Remedies Dispensaries, LLC",Bloom Wellness – Quincy 2,,,,,,05/12/2022,284.000362-AUDO,Active Adult Use
"Healthway Services of West Illinois, LLC",Zen Leaf,,,,,,05/19/2022,284.000139-AUDO,Active Adult Use
"Healthway Services of West Illinois, LLC.",Zen Leaf,,,,,,05/19/2022,284.000140-AUDO,Active Adult Use
Trinity M.M.J. LLC,,Trinity,,,,,09/12/2022,284.000326-AUDO,Active Adult Use
Trinity M.M.J. LLC,Trinity Compassionate Care Centers,,,,,,09/12/2022,284.000327-AUDO,Active Adult Use
"Green Therapy, LLC.",Ivy Hall - Damen,,,,,,11/10/2022,284.000232-AUDO,Active Adult Use
"GRI HOLDINGS, LLC.",Green Rose - Chicago,,,,,,11/10/2022,284.000248-AUDO,Active Adult Use
"Vise Partners, LLC.",Altius,,,,,,11/15/2022,284.000163-AUDO,Active Adult Use
SB IL LLC,Starbuds,,,,,,01/03/2023,284.000285-AUDO,Active Adult Use
"Americanna Dream,LLC",Ivy Hall – CrystalLake,,,,,,01/18/2023,284.000313-AUDO,Active Adult Use
