License_Holder,DBA,County,State,Approved_To_Operate,License_Type,Region
KCA Laboratories LLC,KCA Labs,Fayette Co.,KY,Yes,Safety Compliance,
Carbon Labs LLC,,Jefferson Co.,KY,No,Safety Compliance,
Aquatic Laboratories LLC,Cannabusiness Laboratories,Fayette Co.,KY,Yes,Safety Compliance,
STATE38 LLC,STATE38,Graves Co.,KY,No,Safety Compliance,
COMMONWEALTH ANALYTICS,,Barren Co.,KY,No,Safety Compliance,
Commonwealth Cannabis LLC,Commonwealth Cannabis,Marshall Co.,KY,No,Safety Compliance,
Goeing Blue LLC,Farmtucky,Jessamine Co.,KY,Yes,Cultivator Tier I,
Synapse Remedies LLC,,Jefferson Co.,KY,No,Cultivator Tier I,
"Best State, LLC",,Lincoln Co.,KY,Yes,Cultivator Tier I,
"Flower Power 5390, LLC",,Kenton Co.,KY,No,Cultivator Tier I,
L&O Legacies,,Jessamine Co.,KY,Yes,Cultivator Tier I,
Slaughter Branch LLC,,Hopkins Co.,KY,Yes,Cultivator Tier I,
"KY Cultivation, LLC",,Fayette Co.,KY,No,Cultivator Tier I,
Wong Investments LLC,,Fayette Co.,KY,No,Cultivator Tier I,
Joseph Serock,,Fayette Co.,KY,No,Cultivator Tier I,
KAM Cultivation LLC,,Kenton Co.,KY,No,Cultivator Tier I,
JMOKY LLC,JMOKY,Marion Co.,KY,No,Cultivator Tier II,
Armory Kentucky LLC,,Graves Co.,KY,Yes,Cultivator Tier II,
"VS Kentucky Ops, LLC",,Jessamine Co.,KY,Yes,Cultivator Tier II,
Centaurus Farms KY LLC,,Wayne Co.,KY,No,Cultivator Tier II,
Natural State GreenGrass CannaCo,Dark Horse Cannabis,Madison Co.,KY,Yes,Cultivator Tier III,
KSKYAPP LLC,,Clark Co.,KY,Yes,Cultivator Tier III,
LMMKY LLC,LMMKY,Wayne Co.,KY,No,Processor,
1248 KYP LLC,,Jefferson Co.,KY,No,Processor,
Hilltop Healing Investco LLC,The Collective Cannabis Brands,Madison Co.,KY,Yes,Processor,
Bijal Kentucky LLC,Bijal Kentucky LLC,Marion Co.,KY,No,Processor,
"Bison Infused Kentucky, LLC",Toro Cannabis,Campbell Co.,KY,Yes,Processor,
Kaldem Holdings LLC,Cannatucky Green,Muhlenberg Co.,KY,No,Processor,
One Leaf Technologies LLC,,Clark Co.,KY,No,Processor,
MD Derby LLC,,Jessamine Co.,KY,No,Processor,
"RSKYAPP, LLC",,Clark Co.,KY,No,Processor,
Limestone Processing LLC,Limestone Processing,Fayette Co.,KY,No,Processor,
Canntucky Ventures LLC,NuEra Frankfort,Franklin Co.,KY,Yes,Dispensary,Region 1 Bluegrass (outside Fayette Co.)
"Ace 4 Target, LLC",,Madison Co.,KY,No,Dispensary,Region 1 Bluegrass (outside Fayette Co.)
"CB Slugger, LLC",Blue Sage Cannabis Company,Jessamine Co.,KY,Yes,Dispensary,Region 1 Bluegrass (outside Fayette Co.)
BD Expansion LLC,"BD Expansion, LLC",Scott Co.,KY,No,Dispensary,Region 1 Bluegrass (outside Fayette Co.)
DHK KY LLC,,Fayette Co.,KY,No,Dispensary,Region 1 Bluegrass (Fayette Co.)
"KYLX Acquisition Company, LLC",Speakeasy Dispensary - Lexington,Fayette Co.,KY,Yes,Dispensary,Region 1 Bluegrass (Fayette Co.)
DNP-DH KY LLC,,Bullitt Co.,KY,No,Dispensary,Region 2 Kentuckiana (outside Jefferson Co.)
KY PRISTINE VISTAS LLC,,Oldham Co.,KY,No,Dispensary,Region 2 Kentuckiana (outside Jefferson Co.)
DJS KY LLC,,Shelby Co.,KY,No,Dispensary,Region 2 Kentuckiana (outside Jefferson Co.)
WPBD Target LLC,,Spencer Co.,KY,No,Dispensary,Region 2 Kentuckiana (outside Jefferson Co.)
"Picasso Cannabis, LLC",Kentucky Alternative Care,Jefferson Co.,KY,Yes,Dispensary,Region 2 Kentuckiana (Jefferson Co.)
Upward Innovations,Upward Innovations,Jefferson Co.,KY,No,Dispensary,Region 2 Kentuckiana (Jefferson Co.)
"Z3 Medicinal Investments, LLC",,Boyd Co.,KY,No,Dispensary,Region 3 Northeast
"Wildcat Cannabis, LLC",,Rowan Co.,KY,No,Dispensary,Region 3 Northeast
Southern Green Wellness LLC,Southern Green Wellness LLC,Montgomery Co.,KY,No,Dispensary,Region 3 Northeast
BB Retail Acquisitions LLC,,Mason Co.,KY,No,Dispensary,Region 3 Northeast
Zeus Agoraios LLC,,Simpson Co.,KY,No,Dispensary,Region 4 South Central
AR-MO-KY-MS Cannabis Ventures LLC,Speakeasy Dispensary - Bowling Green,Warren Co.,KY,No,Dispensary,Region 4 South Central
"BarCo Dispensary Acquisitions, LLC",,Barren Co.,KY,No,Dispensary,Region 4 South Central
BD Expansion LLC,,Logan Co.,KY,No,Dispensary,Region 4 South Central
REED KY DISPENSARY LLC,Reed KY Dispensary LLC,Pulaski Co.,KY,Yes,Dispensary,Region 5 Cumberland
ERH KY LLC,,Laurel Co.,KY,No,Dispensary,Region 5 Cumberland
"R5 MedCann Investments, LLC",,Lincoln Co.,KY,No,Dispensary,Region 5 Cumberland
Zone 5 Retail Company,,Whitley Co.,KY,No,Dispensary,Region 5 Cumberland
BSRKYAPP LLC,,Floyd Co.,KY,No,Dispensary,Region 6 Mountain
HYE Property Management LLC,,Powell Co.,KY,No,Dispensary,Region 6 Mountain
Kentuckyzen LLC,,Pike Co.,KY,No,Dispensary,Region 6 Mountain
REED KY DISPENSARY LLC,Reed KY Dispensary LLC,Perry Co.,KY,Yes,Dispensary,Region 6 Mountain
Mallard Club LLC,,Christian Co.,KY,No,Dispensary,Region 7 Pennyrile
ARKY Capital Investments LLC,,Lyon Co.,KY,No,Dispensary,Region 7 Pennyrile
River City Relief House LLC,Speakeasy Dispensary - Princeton,Caldwell Co.,KY,Yes,Dispensary,Region 7 Pennyrile
DPDMJF Cannabis Holding Company LLC,Speakeasy Dispensary - Nortonville,Hopkins Co.,KY,Yes,Dispensary,Region 7 Pennyrile
OM MED LLC,OM MED LLC,McCracken Co.,KY,No,Dispensary,Region 8 West Kentucky
"KY Murray Dispensary, LLC",Nature Med,Calloway Co.,KY,No,Dispensary,Region 8 West Kentucky
Green4U LLC,,Graves Co.,KY,No,Dispensary,Region 8 West Kentucky
Leiber Canna II LLC,Leiber Canna II LLC,Marshall Co.,KY,No,Dispensary,Region 8 West Kentucky
Barrio Capital Partners LLC,,Hardin Co.,KY,No,Dispensary,Region 9 Lincoln Trail
"Mantra Journey, LLC",,Nelson Co.,KY,No,Dispensary,Region 9 Lincoln Trail
NGHKC,,Meade Co.,KY,No,Dispensary,Region 9 Lincoln Trail
"WPBD Target, LLC",,Marion Co.,KY,No,Dispensary,Region 9 Lincoln Trail
YELLOW FLOWERS LLC,Yellow Flowers LLC,Kenton Co.,KY,No,Dispensary,Region 10 Northern Kentucky
C3 Kentucky LLC,,Campbell Co.,KY,No,Dispensary,Region 10 Northern Kentucky
Bluegrass Cannacare LLC,,Boone Co.,KY,Yes,Dispensary,Region 10 Northern Kentucky
GREEN GRASS CANNABIS LLC,Green Grass Cannabis LLC,Carroll Co.,KY,No,Dispensary,Region 10 Northern Kentucky
OTC KY 3 LLC,OTC KY 3,Henderson Co.,KY,No,Dispensary,Region 11 Green River
Bungalow House LLC,,Daviess Co.,KY,No,Dispensary,Region 11 Green River
