"Establishment Type","Name","License Number","License Type","Priority/Expedited Status","Location","Related Documents"
"Adult-Use","Cultivate Leicester, Inc.","MR281268","Marijuana Retailer","Priority Review - MTC Priority","1764 Main Street Leicester, MA 01524",""
"Adult-Use","Cultivate Cultivation, LLC","MC281266","Marijuana Cultivator","Priority Review - MTC Priority","1764 Main Street Leicester, MA 01524",""
"Adult-Use","Curaleaf North Shore, Inc.","MC281255","Marijuana Cultivator","Priority Review - MTC Priority","10 Industrial Way Amesbury, MA 01913",""
"Adult-Use","Curaleaf North Shore, Inc.","MP281300","Marijuana Product Manufacturer","Priority Review - MTC Priority","10 Industrial Way Amesbury, MA 01913",""
"Adult-Use","Alternative Therapies Group II, Inc.","MR281346","Marijuana Retailer","Priority Review - MTC Priority","49 Macy St Amesbury, MA 01913",""
"Adult-Use","New England Treatment Access, LLC.","MC281267","Marijuana Cultivator","Priority Review - MTC Priority","5 Forge Parkway Franklin, MA 02038",""
"Adult-Use","New England Treatment Access, LLC.","MP281306","Marijuana Product Manufacturer","Priority Review - MTC Priority","5 Forge Parkway Franklin, MA 02038",""
"Adult-Use","New England Treatment Access, LLC.","MR281240","Marijuana Retailer","Priority Review - MTC Priority","118 Conz Street Northampton, MA 01060",""
"Adult-Use","New England Treatment Access, LLC.","MR281287","Marijuana Retailer","Priority Review - MTC Priority","160 Washington Street Brookline, MA 02445",""
"Adult-Use","M1 Enterprises, LLC","MC281252","Marijuana Cultivator","Priority Review - MTC Priority","13 COMMERCIAL WAY Milford, MA 01757",""
"Adult-Use","M1 Enterprises, LLC","MP281303","Marijuana Product Manufacturer","Priority Review - MTC Priority","13 COMMERCIAL WAY Milford, MA 01757",""
"Adult-Use","Pharmacannis Massachusetts Inc.","MR281252","Marijuana Retailer","Priority Review - MTC Priority","112 Main Street Wareham, MA 02571",""
"Adult-Use","I.N.S.A., Inc.","MC281268","Marijuana Cultivator","Priority Review - MTC Priority","122 Pleasant Street Suite 144 Easthampton, MA 01027",""
"Adult-Use","I.N.S.A., Inc.","MP281426","Marijuana Product Manufacturer","Priority Review - MTC Priority","122 Pleasant Street Suite 144 Easthampton, MA 01027",""
"Adult-Use","I.N.S.A., Inc.","MR281680","Marijuana Retailer","Priority Review - MTC Priority","122 Pleasant Street Suite 144 Easthampton, MA 01027",""
"Adult-Use","M3 Ventures, Inc.","MC281446","Marijuana Cultivator","Priority Review - MTC Priority","9 Collins Avenue Plymouth, MA 02360",""
"Adult-Use","M3 Ventures, Inc.","MP281346","Marijuana Product Manufacturer","Priority Review - MTC Priority","9 Collins Avenue Plymouth, MA 02360",""
