BUSINESS_NAME,BUSINESS_EMAIL,BUSINESS_PHONE,BUSINESS_ADDRESS_1,BUSINESS_ADDRESS_2,BUSINESS_CITY,BUSINESS_STATE,BUSINESS_ZIP_CODE,MAILING_ADDRESS_1,MAILING_ADDRESS_2,MAILING_CITY,MAILING_STATE,MAILING_ZIP_CODE,EIN_TIN,LICENSE_NUMBER,LICENSE_TYPE,REVIEW_PRIORITY,FIRST_COMPLIANCE_REVIEW_DATE,CNB_DEEMED_COMPLETE_DATE,APPROVED_LICENSE_STAGE,LICENSE_STATUS,LIC_FEE_PAYMENT_SUBMITTED_DATE,LICENSE_FEE_AMOUNT,PHYSICAL_ADDRESS_1,PHYSICAL_ADDRESS_2,PHYSICAL_CITY,PHYSICAL_ZIP_CODE,PRIORITY,FEE_WAIVER_REQUEST,FEE_WAIVER_EE_OR_SE_NUMBER,APPROVED_SOCIAL_EQUITY,EE_PRIORITY_STATUS,EE_PRIORITY_NUMBER_FROM_ACCOUNT,EE_PRIORITY_NUMBER_FROM_APPLICATION,RMD_PRIORITY_STATUS,RMD_PRIORITY_NUMBER_FROM_ACCOUNT,RMD_PRIORITY_NUMBER_FROM_APPLICATION,CULTIVATION_ENVIRONMENT,CULTIVATION_TIER,CNB_INITIAL_DATE_OF_REVIEW,CNB_DATE_NOTICE_SENT_TO_MUNICIPALITY,CNB_60_DAY_MUNICIPAL_DEADLINE_DATE,CNB_90_DAY_REVIEW_DEADLINE_DATE,CNB_DATE_BACKGROUND_AUTHORIZATION_SENT,CNB_DATE_BACKGROUND_REPORT_RECEIVED,CNB_FINGER_PRINT_RESULTS_RECEIVED_DATE,CNB_DATE_OF_MUNICIPAL_RESPONSE,CNB_FINAL_APPLICATION_REVIEW,CNB_APPLICATION_RECOMMENDATION,CNB_DATE_OF_FINAL_INSPECTION,CNB_FINAL_INSPECTION_RESULT,CNB_FINAL_LICENSE_RECOMMENDATION,CNB_DATE_OF_FINAL_LICENSURE,COMMENCE_OPERATIONS_DATE,LICENSE_ORIGINAL_START_DATE,LICENSE_START_DATE,LICENSE_EXPIRATION_DATE,LICENSE_SUSPENSION_START_DATE,LICENSE_SUSPENSION_END_DATE,LICENSE_REVOCATION_DATE,LICENSE_SURRENDERED_DATE,SOURCE_FILE,APPLICATION_DENIED_DATE,APPROVED_SE_NUMBER,APPLICATION_APPROVED_DATE,ORIGINAL_SUBMITTED_DATE,APPLICATION_CREATED_DATE,APPLICATION_STATUS,SUBMITTED_DATE,PAYMENT_AMOUNT,APPLICATION_NUMBER,ESTABLISHMENT_ADDRESS_1,ESTABLISHMENT_ADDRESS_2,ESTABLISHMENT_CITY,ESTABLISHMENT_STATE,ESTABLISHMENT_ZIP_CODE,REVIEW_PRIORITY_CATEGORY,REVIEW_PRIORITY_TYPE,COMMENCE_OPS,INDUSTRY
"Artis, LLC",sebastianpollack@gmail.com,203-313-9756,29 Harding ST,,Middleboro,MA,02346,29 Harding ST,,Middleboro ,MA,02346,00-0985345,PDO103031,Marijuana Courier Pre-Certification,Expedited Review - Social Equity Participant,,,PROVISIONAL LICENSE,Expired,,,,,,,true,No,SE303548,,,,,APPROVED,RP201908,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,SE303548,,,,APPROVED,,,PDOA103031,29 Harding Street,,Middleboro,MA,02346,Expedited Review,Social Equity Participant,FALSE,Adult-Use
Clean Technique LLC,kevin@cleantechniquelabs.com,301-335-5552,32 Char Drive,,Westfield,MA,01085,810 Fordham St,,Rockville,MD,20850,00-1292518,MP281479,Marijuana Product Manufacturer,Expedited Review - DBE Status,,,FINAL LICENSE,Active,,10000,32 Char Drive,,Westfield,01085,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,1500,MPN281479,32 Char Drive,,Westfield,MA,01085,Expedited Review,DBE Status,FALSE,Adult-Use
"RAIN CITY FARMING, L.L.C.",preston@raincityfarming.com,267-625-6973,35-45 LIMESTONE RD.,,LEE,MA,01238,78-5 S. Quinsigamond Ave.,,Shrewsbury,MA,01545,00-1313546,MC281316,Marijuana Cultivator,General Applicant,,,PROVISIONAL LICENSE,Expired,,1250,35-45 Limestone Road,,Lee,01238,False,No,,,,,,,,,Indoor,"Tier 01: up to 5,000 square feet",,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,200,MCN281316,35-45 Limestone Road,,Lee,MA,01238,General Applicant,General Applicant,FALSE,Adult-Use
"Revolutionary Clinics II, Inc.",jcrawford@publicpolicylaw.com,617-213-6006,"9 Bartlet Street, Suite 335",,Andover,MA,01810,"9 Bartlet Street, Suite 335",,Andover,MA,01810,00-1330206,MR282412,Marijuana Retailer,Priority Review - MTC Priority,,,FINAL LICENSE,Expired,,10000,67 Broadway,,Somerville,01245,true,No,,,,,,APPROVED,RP201849,RP201849,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,1500,MRN282412,67 Broadway,,Somerville,MA,01245,Priority Review,MTC Priority,FALSE,Adult-Use
"Revolutionary Clinics II, Inc.",jcrawford@publicpolicylaw.com,617-213-6006,"9 Bartlet Street, Suite 335",,Andover,MA,01810,"9 Bartlet Street, Suite 335",,Andover,MA,01810,00-1330206,MR284246,Marijuana Retailer,Priority Review - MTC Priority,,,FINAL LICENSE,Active,,10000,130 Pioneer Drive,,Leominster,01453,true,No,,,,,,APPROVED,RP201849,RP201849,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,1500,MRN284246,130 Pioneer Drive,,Leominster,MA,01453,Priority Review,MTC Priority,FALSE,Adult-Use
"Holland Brands SB, LLC",charlie@nativesuncannabis.com,508-479-3506,550 East First Street ,,Boston,MA,02127,55 Henshaw Street,,Brighton,MA,02135,00-1385468,MR284733,Marijuana Retailer,General Applicant,,,FINAL LICENSE,Active,,10000,538-550 East First Street,,Boston,02127,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,1500,MRN284733,538-550 East First Street,,Boston,MA,02127,General Applicant,General Applicant,FALSE,Adult-Use
"North East Gro, LLC.",olaw1225@gmail.com,617-678-6627,34 Larchmont Street,,Boston,MA,02124,34 Larchmont Street,,Boston,MA,02124,00-1392220,PDO103371,Marijuana Courier Pre-Certification,Priority Review - Economic Empowerment Priority,,,PROVISIONAL LICENSE,Expired,,,,,,,true,No,SE303585,,APPROVED,EE202222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,SE303585,,,,APPROVED,,,PDOA103371,34 Larchmont Street,,Boston,MA,02124,Priority Review,Economic Empowerment Priority,FALSE,Adult-Use
"The Hempest, LLC",dgmiller1953@gmail.com,617-755-4756,"1953 Dorchester Ave., ",Apt. #3,Dorchester,MA,02124,"1953 Dorchester Ave,",Apt. #3,Dorchester,MA,02124,00-1392860,PMD5819,Marijuana Delivery Operator Pre-Certification,Priority Review - Economic Empowerment Priority,,,PROVISIONAL LICENSE,Expired,,,,,,,true,No,EE201834,,APPROVED,EE201834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,SE304740,,,,APPROVED,,,PMDA5819,1953 Dorchester Avenue,Apt. #3,Dorchester,MA,02124,Priority Review,Economic Empowerment Priority,FALSE,Adult-Use
"Turning Leaf Centers Northampton, LLC",stephgmcnair@gmail.com,413-204-4749,261 King Street,,Northampton,MA,01060,PO Box 1328,,East Otis,MA,01029,00-1403270,MR283040,Marijuana Retailer,General Applicant,,,FINAL LICENSE,Active,,10000,261 King Street,,Northampton,01060,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,1500,MRN283040,261 King Street,,Northampton,MA,01060,General Applicant,General Applicant,FALSE,Adult-Use
7LEAF GARDENS LLC,johncleary.7leafgardens@gmail.com,774-488-2478,Charlotte Court,,Middleborough,MA,02346,1120 Somerset Avenue   PO BOX 401,,North Dighton,MA,02764,00-1428932,MC282830,Marijuana Cultivator,General Applicant,,,PROVISIONAL LICENSE,Expired,,1250,"Charlotte Court, Bldg 2, Lot 2a","41.857419,-70.8660704",Middleborough,02346,False,No,,,,,,,,,Indoor,"Tier 01: up to 5,000 square feet",,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,200,MCN282830,"Charlotte Court, Bldg 2, Lot 2A","41.857419,-70.8660704",Middleborough,MA,02346,General Applicant,General Applicant,FALSE,Adult-Use
