Business_Name,Street,City,State,ZIP,Phone,Email,Website
Columbia,4609 Willow Lane,Chevy Cha​se,MD,20815,301-637-0870,chevychasemd@col-care.com,http://www.col-care.com/
GreenLabs,1522 Ea​​​stern Ave.,Baltimore,MD,21231,410-624-5520,info@greenlabsmd.com,http://www.greenlabs.com/
Wellness Institute of Maryland,4606 Wedgewood Blvd.,Frederick,MD,21703,,,http://www.findinghaven.com/
808 Hungerford Dr,,Rockville,MD,20850,800-208-9333,patients@gleaf.com,https://www.gleaf.com/
"101 E. Chesapeake Ave., Suite 102",,Towson,MD,21286,410-842-9333,maria.pinsky@zenleafdispensaries.com,
9 Cranbrook Rd,,Cockeysville,MD,21030,410-403-0280,info@kipcan.com,https://www.kipcan.com/
Mission,,,,,833-768-4357,support@missioncan.com,http://www.missioncan.com/
Peninsula Alternative Health,12355 Georgia Avenue,Silver Spring,MD,20906,443-622-3661,contact@peninsulamd.com,https://www.peninsulamd.com/
"9939 Jerry Mack Rd., Suite 500",,Ocean City,MD,21842,410-877-2017,info@positiveenergyoc.com,https://www.positiveenergyoc.com/
8865 Stanford Blvd,Suite 131,Columbia,MD,21045,443-542-0948,hello@remedycolumbia.com,https://www.remedycolumbia.com/
​,9994 Washington Blvd. North,Laurel,MD,20723,240-280-8446,info@revolutionreleaf.com,https://www.revolutionreleaf.com/
​,5975 Belair Road,Baltimore,MD,21206,443-438-7494,baltimore@starbuds.us,https://www.starbuds.us/
​5730 Falls Rd,5730 Falls Rd.,Baltimore,MD,21209,443-438-4160,info@storehousemd.com,https://www.storehousemd.com/
18070 Georgia Ave,,Olney,MD,20832,301-774-0840,info@b1md.com,https://www.b1md.com/
"Wright Wellness Group, LLC","4201 Northview Dr., Suite 100",Bowie,MD,20716,,,
​,"4801 Dorsey Hall dr., Suite 110",Ellicott City,MD,21042,833-325-2229,,https://www.greenhousewellness.com/
"MIMD Operating 1, LLC","35 E. Cross St., Federal Hill",Baltimore,MD,21230,,,
2001 Chapman Ave,,Rockville,MD,20852,301-703-2400,info@peakreleaf.com,https://www.peakreleaf.com/
​,5806 York Rd.,Baltimore,MD,21212,410-323-0100,melissa@blairwellness.com,https://www.blairwellness.com/
​,9413 Harford Rd.,Parkville,MD,21234,301-640-5265,management%20@blueridgewellnessmd.com,https://www.blueridgewellnessmd.com/
​,28105 Three Notch Rd.,Mechanicsville,MD,20659,301-242-3200,brittani@somdrelief.com,https://www.somdrelief.com/
​,8413 Ramsey Ave.,Silver Spring,MD,20910,,info@herbafi.com,https://www.herbafi.com/
​,8709 Fingerboard Rd.,Frederick,MD,21702,301-810-2962,info@kannavis.org,https://kannavis.org/
"4925 Pulaski Hwy., Suite A",,Perryville,MD,21903,443-252-1383,dbridges@ncwmedical.com,https://www.ncwmedical.com/
Verilife,700-K Corporate Center Ct.,Westminster,MD,21157,,,
Liberty Cannabis,3317 Keswick Rd.,Baltimore,MD,21211,,,
12001 Nebel St,,Rockville,MD,20852,301-603-2747,hello@libertycannabis.com,https://www.libertycannabis.com/
Verilife,11717 Old National Pike,New Market,MD,21774,,,
"Apothecary, LLC",1096 W. Industrial Blvd.,Cumberland,MD,21502,,,
9291 Baltimore National Pike,,Ellicott City,MD,21042,443-539-7372,info@trilogyh.health.com,https://www.trilogy.health.com/
​,"Culta, LLC",Baltimore,MD,21230,844-507-9333,,https://culta.io/
​Chesacanna,"Chesacanna, 10534 York Rd.",Cockeysville,MD,21030,410-650-6555,info@chesacanna.com,https://chesacanna.com/
Haven,7501 Clymer Dr.,Brandywine,MD,20619,240-650-0420,kim@findinghaven.com,http://www.findinghaven.com/
​​Potomac Holistics,"Potomac Holistics, 14808 Physicians Ln., Suite 212",Rockville,MD,20850,240-654-5276,info@potomacholistics.com,https://potomacholistics.com/
