License_Number,Business_Name,License_Type,License_Status,Street,City,State,ZIP,Expiration_Date,Home_Delivery,Disciplinary_Action,Notes,Source
AU-R-001544,Highatus,Marihuana Retailer - License,Active,10269 US-12,White Pigeon,MI,49099,04/17/2027,,,,adult-use
AU-R-001540,TRAPPERZ ALLEY NEW BUFFALO,Marihuana Retailer - License,Active,19563 W US-12 HWY,New Buffalo,MI,49117,04/16/2027,,,,adult-use
AU-R-001537,Zazen,Marihuana Retailer - License,Active,25813 7 Mile RD,Redford,MI,48240,04/14/2027,,,,adult-use
AU-R-001528,BOOGIEZ ARCANNA,Marihuana Retailer - License,Active,600 S. Capitol AVE,Lansing,MI,48933,04/14/2027,,,,adult-use
AU-R-001515,JARS Cannabis,Marihuana Retailer - License,Active,18580 Fort ST,Riverview,MI,48193,04/14/2027,,,,adult-use
AU-R-001539,Clarity Cannabis,Marihuana Retailer - License,Active,24517 John R RD,Hazel Park,MI,48030,04/09/2027,,,,adult-use
AU-R-001525,Smilez of Corunna,Marihuana Retailer - License,Active,2150 E. Main ST,Corunna,MI,48817,04/08/2027,,,,adult-use
AU-R-001531,"GLH Muskegon, LLC",Marihuana Retailer - License,Active,1840 6th ST,Muskegon,MI,49441,04/06/2027,,,,adult-use
AU-R-001519,Liv Cannabis,Marihuana Retailer - License,Active,1255 Falahee RD,Jackson,MI,49203,04/06/2027,,,,adult-use
AU-R-001526,High-Way 23,Marihuana Retailer - License,Active,2426 E. Huron RD,Au Gres,MI,48703,08/20/2026,,,,adult-use
AU-R-001517,Blue Sky Ann Arbor,Marihuana Retailer - License,Active,321 E Liberty ST,Ann Arbor,MI,48104,03/31/2027,,,,adult-use
AU-R-001532,SUPERGOOD,Marihuana Retailer - License,Active,18910 Harbor Country Drive,New Buffalo,MI,49117,03/31/2027,,,,adult-use
AU-R-001521,Happy Daze,Marihuana Retailer - License,Active,14498 Laplaisance RD,Monroe,MI,48161,03/30/2027,,,Home Delivery - Approved,adult-use
AU-R-001533,Weed Mart New Buffalo,Marihuana Retailer - License,Active,13944 Grand AVE,New Buffalo,MI,49117,03/25/2027,,,,adult-use
AU-R-001510,"Exotics Cannabis - Pontiac, Exotics Pontiac",Marihuana Retailer - License,Active,772 Cesar E Chavez AVE,pontiac,MI,48340,03/25/2027,,,,adult-use
AU-R-001513,Green Acres Ann Arbor 2,Marihuana Retailer - License,Active,3430 Washtenaw AVE,Ann Arbor,MI,48104,03/18/2027,,,,adult-use
AU-R-001530,Nuggets Detroit LLC,Marihuana Retailer - License,Active,18270 Telegraph RD Suite A,Detroit,MI,48219,03/18/2027,,,,adult-use
AU-R-001523,UNIQ Cannabis,Marihuana Retailer - License,Active,10309 W US 12 HWY,New Buffalo,MI,49117,07/12/2026,,,,adult-use
AU-R-001522,Lume Cannabis Co.,Marihuana Retailer - License,Active,19471 W. US-12 HWY,New Buffalo,MI,49117,11/27/2026,,,,adult-use
AU-R-001524,Flint Town Cannabis,Marihuana Retailer - License,Active,3401 Corunna RD,Flint,MI,48503,03/09/2027,,,,adult-use
AU-R-001518,The Flowerbowl Ecorse,Marihuana Retailer - License,Active,148 Southfield RD,Ecorse,MI,48229,03/06/2027,,,,adult-use
AU-R-001511,Quality Roots Pontiac,Marihuana Retailer - License,Active,41 E. Walton BLVD,Pontiac,MI,48340,03/05/2027,,,,adult-use
AU-R-001512,The Gardenz,Marihuana Retailer - License,Active,592 Lakeville RD Unit 100,Oxford,MI,48371,06/22/2027,,,,adult-use
AU-R-001506,The Woods Cheboygan,Marihuana Retailer - License,Active,123 E State ST,Cheboygan,MI,49721,02/27/2027,,,,adult-use
AU-R-001520,Jailhouse Cannabis Co,Marihuana Retailer - License,Active,704 E Cayuga ST,Bellaire,MI,49615,02/27/2027,,,,adult-use
AU-R-001502,Planet Purple,Marihuana Retailer - License,Active,39530 Red Arrow HWY,Paw Paw,MI,49079,02/18/2027,,,,adult-use
AU-R-001514,Lume Cannabis Co.,Marihuana Retailer - License,Active,3075 Peregrine DR NE,Grand Rapids,MI,49505,11/27/2026,,,,adult-use
AU-R-001505,Lume Cannabis Co.,Marihuana Retailer - License,Active,850 E Main ST,Morenci,MI,49256,11/27/2026,,,,adult-use
AU-R-001499,High Profile Cannabis Shop,Marihuana Retailer - License,Active,10552 Evans DR Unit 1-5,Luna Pier,MI,48157,02/10/2027,,,,adult-use
AU-R-001500,Trap Kingz Cannabis,Marihuana Retailer - License,Active,989 E Main ST,Morenci,MI,49256,02/09/2027,,,,adult-use
AU-R-001486,Better Cannabis,Marihuana Retailer - License,Active,15831 Mack AVE,Detroit,MI,48224,02/04/2027,,,,adult-use
AU-R-001492,The Woods Warren,Marihuana Retailer - License,Active,14210 E 11 Mile RD,Warren,MI,48089,02/02/2027,,,,adult-use
AU-R-001480,Crafted Leaf,Marihuana Retailer - License,License Void,314 Arlington ST,Middleville,MI,49333,01/30/2027,,,,adult-use
AU-R-001497,Farmhouse Provisions,Marihuana Retailer - License,Active,W17812 US HWY 2,GOULD CITY,MI,49838,01/29/2027,,,,adult-use
AU-R-001503,Timber Cannabis Co.,Marihuana Retailer - License,Active,655 Ann Street NW,Grand Rapids,MI,49504,09/17/2026,,,,adult-use
AU-R-001494,Flower Gallery,Marihuana Retailer - License,Active,4510 West Pierson RD,Flint,MI,48504,01/20/2027,,,,adult-use
AU-R-001495,Levels of Adrian,Marihuana Retailer - License,Active,1032 S Main ST,Adrian,MI,49221,03/22/2027,,,,adult-use
