"Record Number","Record Type","License Name","Address","Expiration Date","Status","Notes","Disciplinary Action",
"AU-R-001544","Marihuana Retailer - License","Highatus","10269 US-12, White Pigeon MI 49099","04/17/2027","Active",,,
"AU-R-001540","Marihuana Retailer - License","TRAPPERZ ALLEY NEW BUFFALO","19563 W US-12 HWY, New Buffalo MI 49117","04/16/2027","Active",,,
"AU-P-000671","Marihuana Processor - License","Helios Horticulture Co.","81 Enterprise DR, Vassar MI 48768","04/15/2027","Active",,,
"AU-P-000666","Marihuana Processor - License","Bliss Brand LLC","12800 Kercheval AVE Suite D, Detroit MI 48215","04/15/2027","Active",,,
"AU-G-C-001782","Class C Marihuana Grower - License","Helios Horticulture Co.","81 Enterprise DR, Vassar MI 48768","04/15/2027","Active",,,
"AU-P-000673","Marihuana Processor - License","FREE REIGN PROCESSING LLC","23747 BLACKSTONE AVE, WARREN MI 48089","04/15/2027","Active",,,
"AU-P-000675","Marihuana Processor - License","Craft Leaf LLC","211 W Garfield AVE, Coldwater MI 49036","08/25/2026","Active",,,
"AU-G-C-001784","Class C Marihuana Grower - License","AAA Capital Enterprises, LLC","23166 Amber AVE, Warren MI 48089","04/14/2027","Active",,,
"AU-R-001537","Marihuana Retailer - License","Zazen","25813 7 Mile RD, Redford MI 48240","04/14/2027","Active",,,
"AU-R-001528","Marihuana Retailer - License","BOOGIEZ ARCANNA","600 S. Capitol AVE, Lansing MI 48933","04/14/2027","Active",,,
"AU-R-001515","Marihuana Retailer - License","JARS Cannabis","18580 Fort ST, Riverview MI 48193","04/14/2027","Active",,,
"AU-SC-000152","Marihuana Safety Compliance Facility - License","Act Laboratories Michigan LLC","617 E Hazel ST, Lansing MI 48912","04/10/2027","Active",,,
"AU-R-001539","Marihuana Retailer - License","Clarity Cannabis","24517 John R RD, Hazel Park MI 48030","04/09/2027","Active",,,
"AU-ER-005717","Adult-Use Entity Registration - License","GLE II LLC",,"04/09/2028","Active - Main Prequalified",,,
"AU-G-C-001787","Class C Marihuana Grower - License","AHKI Canna","822 Schuster AVE Suite A, Kalamazoo MI 49001","09/02/2026","Active",,,
"AU-R-001525","Marihuana Retailer - License","Smilez of Corunna","2150 E. Main ST, Corunna MI 48817","04/08/2027","Active",,,
"AU-G-C-001773","Class C Marihuana Grower - License","Leela Herb Company","406 South Park DR, Kalkaska MI 49646","03/07/2027","Active",,,
