"Record Number","Record Type","Licensee Name","Address","Expiration Date","Status","Home Delivery","Disciplinary Action",
"GR-C-003562","Class C Grower – License","Distro 10 Inc","3379 Black RD, Prescott MI 48756","08/18/2026","Active",,,
"GR-C-003563","Class C Grower – License","Distro 10 Inc","3379 Black RD, Prescott MI 48756","08/18/2026","Active",,,
"SC-000048","Safety Compliance - License","Act Laboratories Michigan LLC","617 E Hazel ST, Lansing MI 48912","04/07/2027","Active",,,
"SC-000049","Safety Compliance - License","Kairos","20829 Mound RD, Warren MI 48091","04/07/2027","Active",,,
"PR-000382","Processor - License","Allstar Processing, LLC","21445 Hoover RD Suite 400, Warren MI 48089","05/14/2027","Active",,,
"PR-000380","Processor - License","Emerald Canning Partners LLC","237 N River RD, Mount Clemens MI 48043","04/07/2027","Active",,,
"PC-000899","Provisioning Center - License","Boogiez Arcanna","3435 E Michigan AVE, Jackson MI 49202","03/06/2027","Active",,,
"GR-C-003498","Class C Grower – License","Herb Wealth LLC","27935 Groesbeck HWY, Roseville MI 48066","10/02/2026","Active",,,
"GR-C-003372","Class C Grower – License","Dragonfly Kitchen III Inc","18323 Quaker ST, Cassopolis MI 49031","05/09/2027","Active",,,
"GR-C-003371","Class C Grower – License","Dragonfly Kitchen III Inc","18323 Quaker ST, Cassopolis MI 49031","05/09/2027","Active",,,
"GR-C-003370","Class C Grower – License","Dragonfly Kitchen III Inc","18323 Quaker ST, Cassopolis MI 49031","05/09/2027","Active",,,
"GR-C-003369","Class C Grower – License","Dragonfly Kitchen III Inc","18323 Quaker ST, Cassopolis MI 49031","05/09/2027","Active",,,
"GR-B-000058","Class B Grower – License","Boogiez Arcanna","3435 E Michigan AVE, Jackson MI 49202","03/06/2027","Active",,,
"PC-000897","Provisioning Center - License","Trap Kingz Cannabis","989 E Main ST, Morenci MI 49256","03/03/2027","Active",,,
"ERG-005198","Entity Prequalification","Peninsula Agriculture LLC",,"03/02/2028","Active - Main Applicant",,,
"PC-000898","Provisioning Center - License","The Woods Cheboygan","123 E State ST, Cheboygan MI 49721","03/02/2027","Active",,,
"ERG-005187","Entity Prequalification","Kairos Labs, LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-005190","Entity Prequalification","Intrinsic Manufacturing and Processing, LLC",,"02/04/2028","Active - Main Applicant",,,
"ERG-005197","Entity Prequalification","9039, LLC",,"02/04/2028","Active - Main Applicant",,,
"ERG-005196","Entity Prequalification","Buzzzy, LLC",,"12/31/2099","Active - Main Applicant",,,
"GR-B-000057","Class B Grower – License","Rad Rootz, LLC","4611 Platt LN, Ann Arbor MI 48108","01/28/2027","Active",,,
"ERG-005175","Entity Prequalification","Act Laboratories Michigan LLC",,"12/31/2099","Active - Main Applicant",,,
"ST-000076","Secure Transporter - License","MI Secured Transport LLC","195 Ajax DR, Madison Heights MI 48071","01/22/2027","Active",,,
"ERG-005162","Entity Prequalification","Emerald Canning Partners LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-005193","Entity Prequalification","Satori13, LLC",,"01/22/2028","Active - Main Applicant",,,
"ERG-005195","Entity Prequalification","Corunna Crew LLC",,"01/21/2028","Active - Main Applicant",,,
"PC-000896","Provisioning Center - License","The Woods Warren","14210 E. Eleven Mile RD, Warren MI 48089","01/20/2027","Active",,,
"PR-000378","Processor - License","4K Processing Inc","1330 Imlay City RD Suite F, Lapeer MI 48446","01/14/2027","Active",,,
"PR-000377","Processor - License","4K Processing Inc","1356 Imlay City RD, Lapeer MI 48446","01/14/2027","Active",,,
"GR-C-003485","Class C Grower – License","Berry Green Processing, LLC","21550 Hoover RD, Warren MI 48089","01/14/2027","Active",,,
"GR-C-003484","Class C Grower – License","Berry Green Processing, LLC","21550 Hoover RD, Warren MI 48089","01/14/2027","Active",,,
"GR-C-003483","Class C Grower – License","Berry Green Processing, LLC","21550 Hoover RD, Warren MI 48089","01/14/2027","Active",,,
"GR-C-003482","Class C Grower – License","Berry Green Processing, LLC","21550 Hoover RD, Warren MI 48089","01/14/2027","Active",,,
"GR-C-003481","Class C Grower – License","Berry Green Processing, LLC","21550 Hoover RD, Warren MI 48089","01/14/2027","Active",,,
"GR-C-003480","Class C Grower – License","Berry Green Processing, LLC","21550 Hoover RD, Warren MI 48089","01/14/2027","Active",,,
"GR-C-003479","Class C Grower – License","Berry Green Processing, LLC","21550 Hoover RD, Warren MI 48089","01/14/2027","Active",,,
"GR-C-003478","Class C Grower – License","Berry Green Processing, LLC","21550 Hoover RD, Warren MI 48089","01/14/2027","Active",,,
"GR-C-003477","Class C Grower – License","Berry Green Processing, LLC","21550 Hoover RD, Warren MI 48089","01/14/2027","Active",,,
"GR-C-003476","Class C Grower – License","Berry Green Processing, LLC","21550 Hoover RD, Warren MI 48089","01/14/2027","Active",,,
"GR-C-003475","Class C Grower – License","Berry Green Processing, LLC","21550 Hoover RD, Warren MI 48089","01/14/2027","Active",,,
"GR-C-003474","Class C Grower – License","Berry Green Processing, LLC","21550 Hoover RD, Warren MI 48089","01/13/2027","Active",,,
"GR-C-003473","Class C Grower – License","Berry Green Processing, LLC","21550 Hoover RD, Warren MI 48089","01/13/2027","Active",,,
"GR-C-003472","Class C Grower – License","Berry Green Processing, LLC","21550 Hoover RD, Warren MI 48089","01/13/2027","Active",,,
"GR-C-003471","Class C Grower – License","Berry Green Processing, LLC","21550 Hoover RD, Warren MI 48089","01/13/2027","Active",,,
"GR-C-003470","Class C Grower – License","Berry Green Processing, LLC","21550 Hoover RD, Warren MI 48089","01/13/2027","Active",,,
"GR-C-003469","Class C Grower – License","Berry Green Processing, LLC","21550 Hoover RD, Warren MI 48089","01/13/2027","Active",,,
"GR-C-003468","Class C Grower – License","Berry Green Processing, LLC","21550 Hoover RD, Warren MI 48089","01/13/2027","Active",,,
"GR-C-003467","Class C Grower – License","Berry Green Processing, LLC","21550 Hoover RD, Warren MI 48089","01/13/2027","Active",,,
"GR-C-003466","Class C Grower – License","Berry Green Processing, LLC","21550 Hoover RD, Warren MI 48089","01/13/2027","Active",,,
"GR-C-003465","Class C Grower – License","Berry Green Processing, LLC","21550 Hoover RD, Warren MI 48089","01/13/2027","Active",,,
"GR-A-000258","Class A Grower – License","Five Lakes Made LLC","831 Wealthy SW ST Suite B, Grand Rapids MI 49504","01/12/2027","Active",,,
"PR-000374","Processor - License","MPV Wellness Inc.","21445 Hoover RD Suite 313, Warren MI 48089","01/02/2027","Active",,,
"GR-C-003489","Class C Grower – License","PB2024, LLC","38708 Fisk Lake RD, Paw Paw MI 49079","12/26/2026","Active",,,
"GR-C-003488","Class C Grower – License","PB2024, LLC","38708 Fisk Lake RD, Paw Paw MI 49079","12/26/2026","Active",,,
"GR-C-003487","Class C Grower – License","PB2024, LLC","38708 Fisk Lake RD, Paw Paw MI 49079","12/26/2026","Active",,,
"GR-C-003486","Class C Grower – License","PB2024, LLC","38708 Fisk Lake RD, Paw Paw MI 49079","12/26/2026","Active",,,
"GR-A-000257","Class A Grower – License","High Science, LLC","1437 Highland Cove DR, Beaverton MI 48612","12/26/2026","Active",,,
