Business_Name,License_Number,Street,City,State,ZIP,County,Phone,Latitude,Longitude,Last_Updated
High Profile Cannabis Shop; High Profile,DIS000143,"772 S Kingshighway, Ste A",Cape Girardeau,MO,63703,Cape Girardeau,248-255-1283,37.2890219,-89.5555881,"March 11, 2026"
Good Day Farm Dispensary; Gdf Dispensary; Good Day Farm,DIS000137,"1330 Broadway Street, Suite B",Cape Girardeau,MO,63701,Cape Girardeau,573-200-6882,37.31037,-89.534839,"March 11, 2026"
C Cannabis Dispensary; Codes Cannabis; Codes Cannabis Dispensary; Codes Supreme Cannabis,DIS000138,350 N Kingshighway St,Cape Girardeau,MO,63701,Cape Girardeau,573-279-4020,37.3118001,-89.5539234,"March 11, 2026"
Greenlight Dispensary,DIS000139,1001 Broadway,Cape Girardeau,MO,63701,Cape Girardeau,573-380-3873,37.293156,-89.577644,"March 11, 2026"
Key Cannabis Dispensary,DIS000111,25 S Kingshighway,Cape Girardeau,MO,63703,Cape Girardeau,816-831-3877,37.304871058,-89.552869177,"March 11, 2026"
Grass Roots Dispensary,MBD000015,85 S Plaza Way,Cape Girardeau,MO,63703,Cape Girardeau,405-343-0490,37.30502,-89.548285,"March 11, 2026"
"Kansas City Cannabis Co., Kansas City Cannabis, Kc Cannabis, Kcc",DIS000012,149 Crown Hill Rd,Excelsior Springs,MO,64024,Clay,816-223-7159,39.3398276,-94.2475626,"March 11, 2026"
C Cannabis Dispensary; Codes Cannabis; Codes Cannabis Dispensary; Codes Supreme Cannabis,DIS000218,3205 Missouri Blvd.,Jefferson City,MO,65109,Cole,573-606-0834,38.580161994,-92.237033028,"March 11, 2026"
"Shangri-La, Shangri-La Dispensary",DIS000162,2118 Missouri Blvd,Jefferson City,MO,65109,Cole,573-462-0890,38.581838,-92.207142,"March 11, 2026"
Missouri Health & Wellness Dispensary,DIS000147,"1404 Missouri Blvd, Ste A",Jefferson City,MO,65109,Cole,309-264-3199,38.578551,-92.192981,"March 11, 2026"
Dream Leaf,DIS000225,8500 Ward Parkway,Kansas City,MO,64114,Jackson,816-588-8838,38.974150922,-94.607113960,"March 11, 2026"
"C Cannabis Dispensary, Codes Cannabis, Codes Cannabis Dispensary, Codes Supreme Cannabis",DIS000214,668 E Red Bridge Road,Kansas City,MO,64131,Jackson,816-500-2159,38.926206,-94.584353,"March 11, 2026"
The Forest,DIS000207,706 Westport Rd,Kansas City,MO,64111,Jackson,716-400-9526,39.051726,-94.595097,"March 11, 2026"
Key Cannabis Dispensary,DIS000204,4716 Ne Vivion Rd,Kansas City,MO,64119,Clay,620-921-5967,39.188545,-94.523969,"March 11, 2026"
Kansas City Cannabis Co.; Kc Cannabis Co.; Kcc;  Kc Canna,DIS000199,8170 Nw Prairie View Rd,Kansas City,MO,64151,Jackson,816-674-6195,39.24263,-94.65931,"March 11, 2026"
Key Cannabis Dispensary,DIS000078,6820 E Front St,Kansas City,MO,64120,Jackson,734-395-3658,39.13088,-94.50294,"March 11, 2026"
Local; Local Cannabis Co.; Local Cannabis Company; Local Dispensary; Song Wellness,DIS000074,1004 W 45th St,Kansas City,MO,64111,Jackson,816-287-4455,39.04638,-94.59864,"March 11, 2026"
"Fresh Karma Dispensaries, Fresh Karma",DIS000071,240 E Linwood Blvd,Kansas City,MO,64111,Jackson,573-694-9973,39.068511,-94.581537,"March 11, 2026"
Natures Med Dispensary,DIS000072,2631 Ne Vivion Rd,Kansas City,MO,64119,Clay,816-298-7358,39.186932,-94.5495317,"March 11, 2026"
Good Day Farm; Good Day Farm Dispensary; Gdf Dispensary,DIS000067,10420 Blue Ridge Blvd,Kansas City,MO,64134,Jackson,816-512-9741,38.934447,-94.508623,"March 11, 2026"
Greenlight Dispensary,DIS000069,4900 East Bannister Road,Kansas City,MO,64132,Jackson,816-531-3030,38.9534941,-94.5332127,"March 11, 2026"
