"Record Type Code","Record Type","License Type","Business Entity Type","Status","County","State"
"MS-DOH-PHYU","Practitioner Registration Update",,,"Approved","Harrison","MS"
"MS-DOH-PHYU","Practitioner Registration Update",,,"Approved","Hinds","MS"
"MS-DOH-PHYU","Practitioner Registration Update",,,"Approved","Lauderdale","MS"
"MS-DOH-PHYU","Practitioner Registration Update",,,"Approved","Lee","MS"
"MS-DOH-PHYU","Practitioner Registration Update",,,"Approved","Rankin","MS"
"MS-DOH-PHYU","Practitioner Registration Update",,,"Approved","Lee","MS"
"MS-DOH-PHYU","Practitioner Registration Update",,,"Approved","Hinds","MS"
"MS-DOH-PHYU","Practitioner Registration Update",,,"Approved","Harrison","MS"
"MS-DOH-PHYU","Practitioner Registration Update",,,"Approved","Harrison","MS"
"MS-DOH-PHYU","Practitioner Registration Update",,,"Approved","Lamar","MS"
"MS-DOH-PHYU","Practitioner Registration Update",,,"Approved","DeSoto","MS"
"MS-DOH-PHYU","Practitioner Registration Update",,,"Denied","Bolivar","MS"
"MS-DOH-PHYU","Practitioner Registration Update",,,"Approved","Harrison","MS"
"MS-DOH-PHYU","Practitioner Registration Update",,,"Approved","Harrison","MS"
"MS-DOH-PHYU","Practitioner Registration Update",,,"Approved","Simpson","MS"
"MS-DOH-PHYU","Practitioner Registration Update",,,"Denied","Warren","MS"
"MS-DOH-PHYU","Practitioner Registration Update",,,"Approved","Lowndes","MS"
"MS-DOH-PHYU","Practitioner Registration Update",,,"Approved","DeSoto","MS"
"MS-DOH-PHYU","Practitioner Registration Update",,,"Approved","Simpson","MS"
"MS-DOH-PHYU","Practitioner Registration Update",,,"Approved","Harrison","MS"
"MS-DOH-PHYU","Practitioner Registration Update",,,"Approved","Rankin","MS"
"MS-DOH-PHYU","Practitioner Registration Update",,,"Approved","Lee","MS"
"MS-DOH-PHYU","Practitioner Registration Update",,,"Approved","Lee","MS"
"MS-DOH-PHYU","Practitioner Registration Update",,,"Approved","DeSoto","MS"
"MS-DOH-PHYU","Practitioner Registration Update",,,"Approved","DeSoto","MS"
"MS-DOH-PHYU","Practitioner Registration Update",,,"Denied","Adams","MS"
"MS-DOH-PHYU","Practitioner Registration Update",,,"Approved","Madison","MS"
"MS-DOH-PHYU","Practitioner Registration Update",,,"Approved","Rankin","MS"
"MS-DOH-PHYU","Practitioner Registration Update",,,"Denied","Monroe","MS"
"MS-DOH-PHYU","Practitioner Registration Update",,,"Approved","Lee","MS"
"MS-DOH-PHYU","Practitioner Registration Update",,,"Approved","Panola","MS"
"MS-DOH-PHYU","Practitioner Registration Update",,,"Approved","Lee","MS"
"MS-DOH-PHYU","Practitioner Registration Update",,,"Approved","Jackson","MS"
"MS-DOH-PHYU","Practitioner Registration Update",,,"Approved","DeSoto","MS"
"MS-DOH-PHYU","Practitioner Registration Update",,,"Denied","Hinds","MS"
"MS-DOH-PHYU","Practitioner Registration Update",,,"Approved","Lafayette","MS"
"MS-DOH-PHYU","Practitioner Registration Update",,,"Approved","Forrest","MS"
"MS-DOH-PHYU","Practitioner Registration Update",,,"Approved","Alcorn","MS"
"MS-DOH-PHYU","Practitioner Registration Update",,,"Approved","Rankin","MS"
"MS-DOH-PHYU","Practitioner Registration Update",,,"Approved","Rankin","MS"
"MS-DOH-PHYU","Practitioner Registration Update",,,"Approved","Alcorn","MS"
"MS-DOH-PHYU","Practitioner Registration Update",,,"Denied","Lafayette","MS"
