Business_Name,Street,City,State,ZIP,Recreational,Medical,Delivery,Microbusiness,Consumption_Area,Raw_Type
1634 Funk,394 Communipaw Ave,Jersey City,NJ,07304,1,,,1,,Recreational cannabis |\nMicrobusiness
4Twenty Somewhere,1938 Union Valley Rd,Hewitt,NJ,07421,1,,1,,,Recreational cannabis |\nOffers delivery
A-Z Supply,1283 Broad St,Bloomfield,NJ,07003,1,,,,,Recreational cannabis
A21 Wellness,2507 US-22,Scotch Plains,NJ,07076,1,,1,1,,Recreational cannabis |\nOffers delivery |\nMicrobusiness
AC Leef,470 N Albany Ave,Atlantic City,NJ,08401,1,,1,1,,Recreational cannabis |\nOffers delivery |\nMicrobusiness
Altitude Cannabis,225 Atlantic City Blvd,Toms River,NJ,08757,1,,,,,Recreational cannabis
Altius NJ,60 Delsea Dr N,Glassboro,NJ,08028,1,,,,,Recreational cannabis
Andover Cannabis,144-146 Main St,Andover,NJ,07821,1,,,1,,Recreational cannabis |\nMicrobusiness
Anja,225 Woodbridge Ave,Highland Park,NJ,08904,1,,1,,,Recreational cannabis |\nOffers delivery
Atlantic Flower,118 White Horse Pike,Egg Harbor City,NJ,08215,1,,1,1,,Microbusiness |\nRecreational cannabis |\nOffers delivery
Aurum Botanics,6 Fort Dix Rd,Pemberton,NJ,08068,1,,,,,Recreational cannabis
Authorized Dealer Dispensary,2600 Tonnelle Ave,North Bergen,NJ,07047,1,,,,,Recreational cannabis
Authorized Dealer Dispensary III,150 Bay St,Jersey City,NJ,07302,1,,1,,,Recreational cannabis |\nOffers delivery
Authorized Dealer Dispensary IV,4306 US-130,Willingboro,NJ,08046,1,,,,,Recreational cannabis
Baked by the River,8 Church St,Lambertville,NJ,08530,1,,,1,,Recreational cannabis |\nMicrobusiness
Bakin’ Bad,2834 Atlantic Ave,Atlantic City,NJ,08401,1,,,1,,Microbusiness |\nRecreational cannabis
"""Benedict's Supply""",3523 John F. Kennedy Blvd,Jersey City,NJ,07307,1,,,,,Recreational cannabis
BestBuds,135 S Broad St,Woodbury,NJ,08096,1,,1,,,Recreational cannabis |\nOffers delivery
Blaze Green,27 E 33rd St,Paterson,NJ,07514,1,,,,,Recreational cannabis
BLKBRN Cannabis Dispensary,176 Woodbridge Ave,Highland Park,NJ,08904,1,,,,,Recreational cannabis
Blue Oak,1025 Broad St suite 2,Bloomfield,NJ,07003,1,,1,1,,Recreational cannabis |\nOffers delivery |\nMicrobusiness
Blue Violets,628 Washington St,Hoboken,NJ,07030,1,,1,1,,Recreational cannabis |\nOffers delivery |\nMicrobusiness
BluLight Cannabis,890 Mantua Pike,Woodbury Heights,NJ,08097,1,,1,,,Recreational cannabis |\nOffers delivery
Boone Town Provisions,677 Myrtle Ave,Boonton,NJ,07005,1,,,,,Recreational cannabis
Botera Harrison,701 Frank E Rodgers Blvd N,Harrison,NJ,07029,1,,,,,Recreational cannabis
Botera Union,2290 US-22,Union,NJ,07083,1,,,,,Recreational cannabis
Bridge City Collective Dispensary,665 Hamilton St,Somerset,NJ,08873,1,,,,,Recreational cannabis
Brotherly Bud Dispensary,500 N Black Horse Pike,Mt Ephraim,NJ,08059,1,,1,,,Recreational cannabis |\nOffers delivery
Bud 2 Bloom,123 Ledgewood Ave #1a,Netcong,NJ,07857,1,,,,,Recreational cannabis
Bud City NJ,117 Water St,Newton,NJ,07860,1,,,,,Recreational cannabis
"""Buddy's Dispensary""",203 Main St 1st Floor,Andover,NJ,07821,1,,,,,Recreational cannabis
Budzooka Weed Dispensary,142 Broad St,Elizabeth,NJ,07201,1,,,,,Recreational cannabis
Camden Apothecary,1205 Haddon Ave,Camden,NJ,08103,1,,1,,,Recreational cannabis |\nOffers delivery
Canabhang,24 Marshall Hill Rd,West Milford,NJ,07480,1,,,1,,Recreational cannabis |\nMicrobusiness
Canna Bar,58 Main St,Matawan,NJ,07747,1,,,,,Recreational cannabis
