(index),Business Name,Address,Type
0,'1634 Funk',"'394 Communipaw Ave, Jersey City, NJ 07304, USA'",'Recreational cannabis |\nMicrobusiness'
1,'4Twenty Somewhere',"'1938 Union Valley Rd, Hewitt, NJ 07421, USA'",'Recreational cannabis |\nOffers delivery'
2,'A-Z Supply',"'1283 Broad St, Bloomfield, NJ 07003, USA'",'Recreational cannabis'
3,'A21 Wellness',"'2507 US-22, Scotch Plains, NJ 07076, USA'",'Recreational cannabis |\nOffers delivery |\nMicrobusiness'
4,'AC Leef',"'470 N Albany Ave, Atlantic City, NJ 08401, USA'",'Recreational cannabis |\nOffers delivery |\nMicrobusiness'
5,'Altitude Cannabis',"'225 Atlantic City Blvd, Toms River, NJ 08757, USA'",'Recreational cannabis'
6,'Altius NJ',"'60 Delsea Dr N, Glassboro, NJ 08028, USA'",'Recreational cannabis'
7,'Andover Cannabis',"'144-146 Main St, Andover, NJ 07821, USA'",'Recreational cannabis |\nMicrobusiness'
8,'Anja',"'225 Woodbridge Ave, Highland Park, NJ 08904, USA'",'Recreational cannabis |\nOffers delivery'
9,'Atlantic Flower',"'118 White Horse Pike, Egg Harbor City, NJ 08215, USA'",'Microbusiness |\nRecreational cannabis |\nOffers delivery'
10,'Aurum Botanics',"'6 Fort Dix Rd, Pemberton, NJ 08068, USA'",'Recreational cannabis'
11,'Authorized Dealer Dispensary',"'2600 Tonnelle Ave, North Bergen, NJ 07047, USA'",'Recreational cannabis'
12,'Authorized Dealer Dispensary III',"'150 Bay St, Jersey City, NJ 07302, USA'",'Recreational cannabis |\nOffers delivery'
13,'Authorized Dealer Dispensary IV',"'4306 US-130, Willingboro, NJ 08046, USA'",'Recreational cannabis'
14,'Baked by the River',"'8 Church St, Lambertville, NJ 08530, USA'",'Recreational cannabis |\nMicrobusiness'
15,'Bakin’ Bad',"'2834 Atlantic Ave, Atlantic City, NJ 08401, USA'",'Microbusiness |\nRecreational cannabis'
16,"""Benedict's Supply""","'3523 John F. Kennedy Blvd, Jersey City, NJ 07307, USA'",'Recreational cannabis'
17,'BestBuds',"'135 S Broad St, Woodbury, NJ 08096, USA'",'Recreational cannabis |\nOffers delivery'
18,'Blaze Green',"'27 E 33rd St, Paterson, NJ 07514, USA'",'Recreational cannabis'
19,'BLKBRN Cannabis Dispensary',"'176 Woodbridge Ave, Highland Park, NJ 08904, USA'",'Recreational cannabis'
20,'Blue Oak',"'1025 Broad St suite 2, Bloomfield, NJ 07003, USA'",'Recreational cannabis |\nOffers delivery |\nMicrobusiness'
21,'Blue Violets',"'628 Washington St, Hoboken, NJ 07030, USA'",'Recreational cannabis |\nOffers delivery |\nMicrobusiness'
22,'BluLight Cannabis',"'890 Mantua Pike, Woodbury Heights, NJ 08097, USA'",'Recreational cannabis |\nOffers delivery'
23,'Boone Town Provisions',"'677 Myrtle Ave, Boonton, NJ 07005, USA'",'Recreational cannabis'
24,'Botera Harrison',"'701 Frank E Rodgers Blvd N, Harrison, NJ 07029, USA'",'Recreational cannabis'
25,'Botera Union',"'2290 US-22, Union, NJ 07083, USA'",'Recreational cannabis'
26,'Bridge City Collective Dispensary',"'665 Hamilton St, Somerset, NJ 08873, USA'",'Recreational cannabis'
27,'Brotherly Bud Dispensary',"'500 N Black Horse Pike, Mt Ephraim, NJ 08059, USA'",'Recreational cannabis |\nOffers delivery'
28,'Bud 2 Bloom',"'123 Ledgewood Ave #1a, Netcong, NJ 07857, USA'",'Recreational cannabis'
29,'Bud City NJ',"'117 Water St, Newton, NJ 07860, USA'",'Recreational cannabis'
30,"""Buddy's Dispensary""","'203 Main St 1st Floor, Andover, NJ 07821, USA'",'Recreational cannabis'
31,'Budzooka Weed Dispensary',"'142 Broad St, Elizabeth, NJ 07201, USA'",'Recreational cannabis'
32,'Camden Apothecary',"'1205 Haddon Ave, Camden, NJ 08103, USA'",'Recreational cannabis |\nOffers delivery'
33,'Canabhang',"'24 Marshall Hill Rd, West Milford, NJ 07480, USA'",'Recreational cannabis |\nMicrobusiness'
34,'Canna Bar',"'58 Main St, Matawan, NJ 07747, USA'",'Recreational cannabis'
35,'Canna Remedies',"'2175 Spruce St, Trenton, NJ 08638, USA'",'Recreational cannabis'
36,'Cannabis Clubhouse',"'70-72 E Main St, Sussex, NJ 07461, USA'",'Recreational cannabis |\nOffers delivery'
37,'CannaBoy Treehouse',"'57 W South Orange Ave, South Orange Village, NJ 07079, USA'",'Recreational cannabis |\nMicrobusiness'
