LicenseNumber,LicenseName,CE ID,LicenseType,LicenseStatus,County
00170400460138702033,CIRCLE S FARMS LLC,RD374,Retail Dispensary,Active,CLARK
00604441635504697108,TGIG LLC,T080,Retail Distributor,Active,CLARK
01359449685112111637,CR/P LAS VEGAS LLC,D059,Retail Dispensary,Active,CLARK
01653343486142530020,WELLNESS CONNECTION OF NEVADA LLC,D190,Retail Dispensary,Active,CLARK
01696915226901375362,PICKSY RENO LLC,D106,Retail Dispensary,Active,WASHOE
01737633649552254158,GREENWAY MEDICAL LLC,T040,Retail Distributor,Active,CLARK
02301531072727181049,AGUA STREET LLC,P101,Retail Production,Active,CLARK
02322843247473154082,NEVADAPURE LLC,P015,Retail Production,Active,CLARK
02411041046250902247,WASHOE DISPENSARY LLC,D057,Retail Dispensary,Active,WASHOE
02685010272987196695,CLEAR RIVER LLC,C097,Retail Cultivation,Active,CLARK
02959703688458604031,NCMM LLC,C159,Retail Cultivation,Active,NYE
03137125388697415604,GREEN THERAPEUTICS LLC,T036,Retail Distributor,Active,CLARK
04045523128584413069,RETAIL FACILITIES OPERATIONS NV LLC,D078,Retail Dispensary,Active,CLARK
04054268305722414317,CHEYENNE MEDICAL ELKO RD267 LLC,RD267,Retail Dispensary,Active,ELKO
04850532340024898157,RANGE BRANDS LLC,C057,Retail Cultivation,Active,CLARK
05190167691119502478,MM DEVELOPMENT COMPANY INC,P002,Retail Production,Active,CLARK
05439548708602328194,MBNV GT LLC,P054,Retail Production,Active,CLARK
05913170220874047306,EUPHORIA WELLNESS LLC,C072,Retail Cultivation,Active,CLARK
06085399432340594372,DEEP ROOTS HARVEST INC.,RD401,Retail Dispensary,Active,CLARK
06179984770837282920,SILVER STATE CULTIVATION LLC,P001,Retail Production,Active,WASHOE
06347213896566425206,INTEGRAL ASSOCIATES LLC,D044,Retail Dispensary,Active,CLARK
07154062603138326198,HEALTHCARE OPTIONS FOR PATIENTS ENTERPRISES LLC,C129,Retail Cultivation,Active,CLARK
07214141470882695436,LVIG HOLDINGS LLC,C158,Retail Cultivation,Non-Operational,CLARK
07614508649058338463,GREENLEAF PRODUCTION INC,P041,Retail Production,Active,WASHOE
07716430045859597948,CLEAR RIVER LLC,RD231,Retail Dispensary,Active,CLARK
07793712489874595708,GREEN LIFE PRODUCTIONS LLC,P133,Retail Production,Active,NYE
07912568590104527553,TGNV LLC,C025,Retail Cultivation,Active,WASHOE
08487688474890863372,WSCC INC,D149,Retail Dispensary,Active,CARSON CITY
08542800532746610043,SSAC CORPORATION,P050,Retail Production,Active,WASHOE
08792343110299625005,LIVFREE WELLNESS LLC A NEVADA LIMITED LIABILITY COMPANY,D050,Retail Dispensary,Active,CLARK
09127772901374202190,NULEAF SPARKS CULTIVATION LLC,C064,Retail Cultivation,Active,WASHOE
09259278323384314999,GREENLEAF ENTERPRISES INC,C050,Retail Cultivation,Active,WASHOE
09271842370730937488,ESSENCE HENDERSON LLC,RD345,Retail Dispensary,Active,CLARK
