LicenseNumber,LicenseName,CE ID,LicenseType,LicenseStatus,County
01192029321013008399,MR H LAS VEGAS LLC,C126,Retail Cultivation,Conditional,CLARK
01290289884474199242,CHEYENNE MEDICAL RD598 LLC,RD598,Retail Dispensary,Conditional,DOUGLAS
01497745593520335574,JDW NEVADA LLC,P029,Retail Production,Conditional,CLARK
03310174034843985324,FLORET NEVADA LLC,T052,Retail Distributor,Conditional,WASHOE
03446577679690258010,CONGERIEM 5 LLC,RD602,Retail Dispensary,Conditional,EUREKA
03595374519108477279,APCO LLC,P027,Retail Production,Conditional,WASHOE
04904869343498859070,MM R & D LLC,C208,Medical Cultivation,Provisional,CHURCHILL
06073658143877524618,GREENMART OF NEVADA LLC,C038,Retail Cultivation,Conditional,CLARK
06856901757246284891,V6E HOLDINGS INC,C034,Retail Cultivation,Conditional,CLARK
08162604527632298682,CASA MJ LLC,C180,Retail Cultivation,Conditional,CLARK
08210882130131713871,EAKER OPERATING LLC,C091,Retail Cultivation,Conditional,CLARK
08300436904530710396,NV GREEN INC,P004,Retail Production,Conditional,WASHOE
10982097214978528659,CN LICENSCO III INC,C090,Retail Cultivation,Conditional,CLARK
11272007909136750453,NYE FARM TECH LTD,C169,Retail Cultivation,Conditional,NYE
11327427389270623335,GREEN LEAF FARMS HOLDINGS LLC,C162,Retail Cultivation,Conditional,CLARK
14504799651148975256,LIVFREE WELLNESS LLC A NEVADA LIMITED LIABILITY COMPANY,T093,Retail Distributor,Conditional,CLARK
15066280419696569275,TAHOE HYDROPONICS COMPANY LLC,C109,Retail Cultivation,Conditional,CARSON CITY
17467707413107632038,LIBRA WELLNESS CENTER LLC,C149,Retail Cultivation,Conditional,CLARK
17757785646300938968,BLOSSUM GROUP,P033,Retail Production,Conditional,CLARK
20856188563796491040,TAHOE-RENO BOTANICALS LLC,C092,Retail Cultivation,Conditional,WASHOE
21224849908713045020,TRNVP098 LLC,RD674,Retail Dispensary,Conditional,PERSHING
21353529687469277727,TRNVP098 LLC,RD671,Retail Dispensary,Conditional,WHITE PINE
21942843556245861162,CONGERIEM 2 LLC,RD593,Retail Dispensary,Conditional,WASHOE
22741245849235539745,CN LICENSCO III INC,P065,Retail Production,Conditional,CLARK
23318360480667209895,THE CURE COMPANY NV LLC,C123,Retail Cultivation,Conditional,CLARK
26350357643788588948,RED EARTH LLC,C012,Retail Cultivation,Conditional,CLARK
27245669693421048019,EUREKA NEWGEN FARMS LLC,P122,Medical Production,Provisional,EUREKA
27715624735903063065,TRNVP098 LLC,RD672,Retail Dispensary,Conditional,LANDER
28269186214535692829,CASA MJ LLC,P113,Retail Production,Conditional,CLARK
32897108934529890970,TRNVP098 LLC,RD675,Retail Dispensary,Conditional,STOREY
