LicenseNumber,LicenseName,CE ID,LicenseType,LicenseStatus,County
03617593449026173085,GWGA LLC,C024,Medical Cultivation,Surrendered,NYE
03642241934934773798,GREEN BLOSSOM INC,C164,Medical Cultivation,Surrendered,WASHOE
04584977759671021505,D H ALDEBARAN INC,RC063,Retail Cultivation,Surrendered,CLARK
05079901657200811142,DEEP ROOTS HARVEST INC.,C185,Medical Cultivation,Surrendered,ELKO
05558690928243323659,710 Holdings LLC,C107,Medical Cultivation,Surrendered,Clark
06231235891852444163,EMK HYDROGARDEN LLC,C171,Medical Cultivation,Surrendered,CLARK
06857690560996320768,FRANKLIN BIOSCIENCE NV LLC,T029,Retail Distributor,Surrendered,CLARK
07424307300500891942,Silver Magnolia LLC,P110,Medical Production,Surrendered,Clark
07617999699850287687,CARSON CITY AGENCY SOLUTIONS LLC,T017,Retail Distributor,Surrendered,CARSON CITY
08297708417512484102,ECONEVADA LLC,P111,Medical Production,Surrendered,CLARK
08397135597394271337,WEST118 INVESTMENTS LLC,P125,Medical Production,Surrendered,LYON
08513851178605265783,PALIDIN LLC,T006,Retail Distributor,Surrendered,CARSON CITY
09485024341050013930,ROMBOUGH REAL ESTATE INC,C068,Medical Cultivation,Surrendered,CLARK
10041280766384274979,HERBAL CHOICE INC,C112,Medical Cultivation,Surrendered,CLARK
10562198318597452248,WSCC INC,T091,Retail Distributor,Surrendered,WASHOE
10617708293398081636,MMNV2 HOLDINGS V LLC,C036,Medical Cultivation,Surrendered,WASHOE
11069842791584683031,ECONEVADA LLC,C176,Medical Cultivation,Surrendered,CLARK
12215468914011008753,DIMAYA LLC,L014,Medical Laboratory,Revoked,CLARK
12952263960316339881,Infinite Wellness Inc,C084,Medical Cultivation,Revoked,CLARK
13370249285729876276,BIONEVA INNOVATIONS OF WASHOE COUNTY LLC,RC117,Retail Cultivation,Surrendered,WASHOE
13761794095675050382,CWNEVADA LLC,C009,Medical Cultivation,Revoked,CLARK
13858476118270787452,CPC OF NV LLC,C127,Retail Cultivation,Surrendered,WASHOE
18207677221342647032,MEDICAL CANNABIS HEALING LLC,P106,Medical Production,Surrendered,CLARK
19938993413842066821,D H ALDEBARAN INC,P119,Medical Production,Surrendered,CLARK
20318203612894502832,MissLee LLC,C060,Medical Cultivation,Surrendered,CLARK
20409684276944093355,HERBAL CHOICE NLV LLC,C111,Medical Cultivation,Surrendered,CLARK
22036507807367077563,NH PROCESSING (NEVADA) INC,P079,Medical Production,Revoked,CLARK
22685642305153659825,AJS Nevada LLC,C154,Medical Cultivation,Surrendered,WASHOE
23240295523528423776,WSCC INC,C098,Medical Cultivation,Surrendered,CARSON CITY
