ObjectId,Address Line 1,Address Line 2,Application Number,Business Purpose,Business Website,City,County,Cultivation Activities Storage,Cultivation Combination,Cultivation Indoor,Cultivation Mixed Light,Cultivation Outdoor,DBA,Effective Date,Entity Name,Expiration Date,geoSource,Issued Date,Latitude,License Number,License Status,License Status Code,License Type,License Type Code,LicenseSym,Location ID,Longitude,Misc1,Misc2,Misc3,Operational Status,Processing Activities Branding,ProcessorType,Proximity Protections,Region,Retail Activities Drive Thru,Retail Date Opened to Public,SEE Category,State,Status,Tier Type,Zip,x,y
2028,132 Metropolitan Ave,,OCMRETL-2023-000090,Adult-Use Retail Sales,,Brooklyn,Kings,0,0,0,0,0,7 Leaf Clover,3/23/25,100 North 3rd Ltd,3/23/27,NYS,3/23/25,40.71622,OCM-RETL-25-000306,Active,LICACT,Adult-Use Retail Dispensary License,OCMRETL,Adult-Use Retail Dispensary,6B0AAD7E-35F3-4BDB-9FD0-27DA144727F3,-73.96253,RETAIL,RetailActive,Sun: 11:00 AM - 09:00 PM; Mon: 10:00 AM - 10:00 PM; Tues: 10:00 AM - 10:00 PM; Wed: 10:00 AM - 10:00 PM; Thurs: 10:00 AM - 10:00 PM; Fri: 10:00 AM - 10:00 PM; Sat: 10:00 AM - 10:00 PM,Active,0,,,Brooklyn,0,11/11/25,"Women-Owned Business, Minority-Owned Business",NY,Active,,11249,-8233471.022,4970574.548
1752,1703 Central Park Avenue,Store 3,OCMRETL-2023-001433,Adult-Use Retail Sales,,Yonkers,Westchester,0,0,0,0,0,,7/9/24,10415 Jamaica LLC,7/9/26,NYS,7/9/24,40.95726,OCM-RETL-24-000123,Active,LICACT,Adult-Use Retail Dispensary License,OCMRETL,Adult-Use Retail Dispensary,D155D754-1104-4719-8246-CCEFF13033E8,-73.84203,CSRETAIL,RetailActive,,Non-Operational,0,,,Mid-Hudson,0,,,NY,Active,,10710,-8220056.696,5006040.238
2025,136-15 Roosevelt Ave,,OCMRETL-2023-001318,Adult-Use Retail Sales,flushingcannabis.com,Flushing,Queens,0,0,0,0,0,,2/24/25,10613 Northern LLC,2/24/27,NYS,2/24/25,40.75965,OCM-RETL-25-000303,Active,LICACT,Adult-Use Retail Dispensary License,OCMRETL,Adult-Use Retail Dispensary,03F37735-6B0A-4A22-B8F0-7EED69A0EC04,-73.83004,CSRETAIL,RetailActive,,Non-Operational,0,,,Queens,0,,"Minority-Owned Business, Women-Owned Business",NY,Active,,11354,-8218722.899,4976954.56
973,304 Ellery St,,OCMCAURDP-2023-000228,Adult-Use Retail Sales,,Brooklyn,Kings,0,0,0,0,0,HERBOLOGY,8/1/24,1106 REBECCA ST LIMITED LIABILITY COMPANY,8/1/26,ESRI,8/1/24,40.69940,OCM-CAURD-24-000177,Active,LICACT,Adult-Use Conditional Retail Dispensary License,OCMCAURD22,Adult-Use Retail Dispensary,AAE611AD-4E99-4CB6-BBDD-4258BC4EBCA1,-73.94016,RETAIL,,Sun: 10:00 AM - 10:00 PM; Mon: 10:00 AM - 10:00 PM; Tues: 10:00 AM - 10:00 PM; Wed: 10:00 AM - 10:00 PM; Thurs: 10:00 AM - 10:00 PM; Fri: 10:00 AM - 11:00 PM; Sat: 10:00 AM - 11:00 PM,Active,0,,,Brooklyn,0,11/18/24,,NY,Active,,11206,-8230980.539,4968103.944
2124,1110 Middle Country Rd,,OCMRETL-2023-001114,Adult-Use Retail Sales,,Selden,Suffolk,0,0,0,0,0,,7/28/25,1110 NAMO INC,7/28/27,NYS,7/28/25,40.86277,OCM-RETL-25-000402,Active,LICACT,Adult-Use Retail Dispensary License,OCMRETL,Adult-Use Retail Dispensary,F42A612E-F32B-4B94-B906-4E71457497EC,-73.05221,CSRETAIL,RetailActive,,Non-Operational,0,,,Long Island,0,,Minority-Owned Business,NY,Active,,11784,-8132134.394,4992121.958
1738,345 E 115th St,,OCMRETL-2023-001824,Adult-Use Retail Sales,,New York,New York,0,0,0,0,0,,6/20/24,115 Corner LLC,6/20/26,ESRI,6/20/24,40.79545,OCM-RETL-24-000109,Active,LICACT,Adult-Use Retail Dispensary License,OCMRETL,Adult-Use Retail Dispensary,DFDFD052-D81F-40DC-952A-5331DECB9D69,-73.93615,CSRETAIL,RetailActive,,Non-Operational,0,,,Manhattan,0,,Minority-Owned Business,NY,Active,,10029,-8230534.242,4982217.219
1897,,,OCMMICR-2023-000611,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution",,,Kings,1,0,1,0,0,,8/4/25,1399 Delta Inc,8/4/27,ESRI,8/4/25,40.63439,OCM-MICR-25-000291,Active,LICACT,Adult-Use Microbusiness License,OCMMICR,Adult-Use Microbusiness (w/o retail),589D6FE0-7345-4C5D-AB27-06677F0FE936,-73.95027,CSMICROBUSS,SupplierActive,,Non-Operational,1,"Infusing and Blending; and Packaging, Labeling and Branding",,Brooklyn,0,,,,Active,,,-8232106.4,4958562.926
2026,844 Rt-211,Units 1 and 2,OCMRETL-2023-001290,Adult-Use Retail Sales,www.middletownindoor.com,Wallkill,Orange,0,0,0,0,0,,2/24/25,14707 45th LLC,2/24/27,Google,2/24/25,41.46616,OCM-RETL-25-000304,Active,LICACT,Adult-Use Retail Dispensary License,OCMRETL,Adult-Use Retail Dispensary,8764991E-892C-4644-B6F9-5EB8BD9DC769,-74.34784,RETAIL,RetailActive,Sun: 10:00 AM - 09:00 PM; Mon: 09:00 AM - 10:00 PM; Tues: 09:00 AM - 10:00 PM; Wed: 09:00 AM - 10:00 PM; Thurs: 09:00 AM - 10:00 PM; Fri: 09:00 AM - 11:00 PM; Sat: 09:00 AM - 11:00 PM,Active,0,,,Mid-Hudson,0,2/8/26,Minority-Owned Business,NY,Active,,10941,-8276363.668,5081344.496
1766,1650 Crane St Ste 1,,OCMRETL-2023-002035,Adult-Use Retail Sales,,Schenectady,Schenectady,0,0,0,0,0,,7/15/24,1650 CRANE STREET DISPENSARY LLC,7/15/26,ESRI,7/15/24,42.78936,OCM-RETL-24-000138,Active,LICACT,Adult-Use Retail Dispensary License,OCMRETL,Adult-Use Retail Dispensary,D5AD7F21-7846-41C1-9389-DAFE5BF09E7D,-73.94404,RETAIL,RetailActive,Sun: 08:00 AM - 08:00 PM; Mon: Closed; Tues: 08:00 AM - 08:00 PM; Wed: 08:00 AM - 08:00 PM; Thurs: 08:00 AM - 08:00 PM; Fri: 08:00 AM - 08:00 PM; Sat: 08:00 AM - 08:00 PM,Active,0,,,Capital District,0,10/17/24,,NY,Active,,12303,-8231412.54,5279965.799
325,,,OCMCULT-2023-000154,Adult-Use Cultivation,,,Cortland,0,0,0,0,1,,5/9/24,1821 Hemp LLC,5/9/26,ESRI,5/9/24,42.59501,OCM-CULT-24-000060,Active,LICACT,Adult-Use Cultivator License,OCMCULT,Adult-Use Cultivator,1FCCA0BB-C021-4F72-9F20-CF165A6D34EA,-76.07027,CSCULTIVATOR,SupplierActive,,Active,0,,,Central NY,0,,,,Active,Outdoor Tier 4,,-8468103.721,5250530.001
