Legal_Name,DBA,City,State
Dakota Herb LLC,Dakota Herb LLC,Aberdeen,SD
The Flower Shop,The Flower Shop,Aberdeen,SD
Genesis Farms LLC,Genesis Farms LLC,Aberdeen,SD
Redwater Cannabis Care LLC,Redwater Cannabis Care LLC,Belle Fourche,SD
Mac's FTH LLC,Mac's From the Hills,Big Stone City,SD
BHCC LLC,Dakota Green Dispensary,Box Elder,SD
Dakota Herbs LLC,Dakota Herbs LLC,Brandon,SD
The Flower Shop LLC,The Flower Shop,Brookings,SD
Genesis Farms,Genesis Farms,Brookings,SD
Stainless Steel LLC,King of ReLeaf,Chamberlain,SD
Five Leaf Clover 4.20 LLC,Five Leaf Clover 4.20,Colome,SD
The Broken Boot Dispensary,The Broken Boot Dispensary,Custer,SD
Deadwood Growhouse LLC,Trails Head Cannabis Company,Deadwood,SD
Bad River Cannabis LLC,Bad River Cannabis,Fort Pierre,SD
BHCC LLC,Yellowstone Cannabis Care,Fort Pierre,SD
The Dispensary,The Dispensary,Harrisburg,SD
Unity Road LLC,Unity Road,Hartford,SD
Dakota Kind,Dakota Kind,Hot Springs,SD
Cannabis Connection,Cannabis Connection,Huron,SD
Dakota Herb LLC,Dakota Herb LLC,Huron,SD
Genesis Farms,Genesis Farms,Huron,SD
Ante-Wade LLC,Indigenous Budz,Lake Andes,SD
The Flower Shop LLC,The Flower Shop LLC,Mitchell,SD
Genesis Farms,Genesis Farms,Mitchell,SD
Raftis Enterprise Mitchell LLC,Superior Buds,Mitchell,SD
Dakota Health and Wellness LLC,Dakota Health and Wellness,North Sioux City,SD
Potsons LLC,Kind Care of South Dakota,North Sioux City,SD
Royzzz of North Sioux City LLC,Royzzz of North Sioux City LLC,North Sioux City,SD
Blau Ernte LLC,True North Dispensary,North Sioux City,SD
Genesis Farms,Genesis Farms,Pierre,SD
Rapid City Cannabis Inc.,Black Hills Weed Shop,Rapid City,SD
CC Health LLC,CC Health,Rapid City,SD
Puffy's LLC,Puffy's LLC,Rapid City,SD
Puffy's LLC,Puffy's LLC,Rapid City,SD
Puffy's LLC,Puffy's LLC,Rapid City,SD
Genesis Farms LLC,Genesis Farms,Rapid City,SD
Genesis Farms LLC,Genesis Farms,Rapid City,SD
Genesis Farms LLC,Genesis Farms,Rapid City,SD
Genesis Farms LLC,Genesis Farms,Rapid City,SD
Genesis Farms LLC,Genesis Farms,Rapid City,SD
West River Farms LLC,West River Farms,Rapid City,SD
PJS Holdings LLC,Canna-Care,Sioux Falls,SD
East River Farms LLC,East River Farms LLC,Sioux Falls,SD
The Flower Shop LLC,The Flower Shop LLC,Sioux Falls,SD
Genesis Farms LLC,Genesis Farms LLC,Sioux Falls,SD
Genesis Farms LLC,Genesis Farms LLC,Sioux Falls,SD
Royzzz of Sioux Falls LLC,Royzzz,Sioux Falls,SD
Genesis Farms,Genesis Farms,Spearfish,SD
Northern Hills Alternative Health,Northern Hills Alternative Health,Sturgis,SD
Puffy's LLC,Puffy's LLC,Sturgis,SD
Puffy's LLC,Puffy's,Sturgis,SD
Pure Bliss Cannabis,Patient's Choice,Tea,SD
Dakota Herb LLC,Dakota Herb LLC,Vermillion,SD
Ruthie's LLC,Ruthie's LLC,Wagner,SD
Dakota Dispensaries LLC,Dakota Dispensaries,Watertown,SD
RBCX LLC,Dispensary of Watertown,Watertown,SD
Royzzz of Watertown LLC,Royzzz of Watertown LLC,Watertown,SD
CC Smoke LLC,Groovy Treez,Yankton,SD
Genesis Farms LLC,Genesis Farms LLC,Yankton,SD
Green Machine Inc.,Elevate Cannabis Dispensary,Yankton,SD
Happy Flower Healing,Happy Flower Healing,Yankton,SD
Royzzz of Gavins Point LLC,Royzzz of Gavins Point LLC,Yankton,SD
