Business_Name,Street,City,State,ZIP,Phone,Email,Website,Home_Delivery,License_Type
Beehive Farmacy - Brigham City,870 W 1150 S Suite C,Brigham City,UT,84302,(435) 919-0966,info@beehivefarmacy.com,https://beehivefarmacy.com/,,Medical Cannabis Pharmacy
Beehive Farmacy - Salt Lake City,1991 S 3600 W,Salt Lake City,UT,84104,(385) 212-0088,info@beehivefarmacy.com,https://beehivefarmacy.com/,,Medical Cannabis Pharmacy
Bloc Pharmacy - South Jordan,10392 South Jordan Gateway,South Jordan,UT,84095,(385) 249-9400,Hello@blocpharmacy.com,https://blocpharmacy.com/southjordan/,,Medical Cannabis Pharmacy
Bloc Pharmacy - St. George,1624 S Convention Center Drive,St. George,UT,84790,(435) 216-3400,Hello@blocpharmacy.com,https://blocpharmacy.com/stgeorge/,,Medical Cannabis Pharmacy
Curaleaf - Lehi,3633 N Thanksgiving Way,Lehi,UT,84043,(385) 338-8010,info.ut@curaleaf.com,https://curaleaf.com/shop/utah/curaleaf-ut-lehi,1,Medical Cannabis Pharmacy
Curaleaf - Park City,1351 Kearns Blvd STE 110-B,Park City,UT,84060,(435) 252-1052,info.ut@curaleaf.com,https://curaleaf.com/shop/utah/curaleaf-ut-wellness-park,,Medical Cannabis Pharmacy
Curaleaf - Springville,484 S 1750 W Unit F,Springville,UT,84663,(385) 404-4422,info.ut@curaleaf.com,https://ut.curaleaf.com/shop/utah/curaleaf-ut-springville,,Medical Cannabis Pharmacy
Curaleaf - Provo,222 N Draper Lane,Provo,UT,84601,(801) 872-7447,info.ut@curaleaf.com,https://curaleaf.com/shop/utah/curaleaf-ut-provo,1,Medical Cannabis Pharmacy
Dragonfly Wellness - Salt Lake City,711 South State Street,Salt Lake City,UT,84111,(801) 413-6945,wellness@dragonflyut.com,https://www.dragonflywellness.com/,1,Medical Cannabis Pharmacy
Dragonfly Wellness - Price,20 E Main Street,Price,UT,84501,(435) 637-3770,price@dragonflyut.com,https://www.dragonflywellness.com/,,Medical Cannabis Pharmacy
The Flower Shop - Logan,2150 N Main Suite 1,North Logan,UT,84341,(385) 289-1800,Northlogan@theflowershopusa.com,https://theflowershopusa.com/logan,1,Medical Cannabis Pharmacy
The Flower Shop - Ogden,3775 S Wall Ave,South Ogden,UT,84405,(385) 289-1800,finecannabis@theflowershopusa.com,https://theflowershopusa.com/ogden,1,Medical Cannabis Pharmacy
The Forest,6041 State St,Murray,UT,84107,(385) 474-9505,murray@theforestutah.com,https://theforestutah.com/,,Medical Cannabis Pharmacy
WholesomeCo Cannabis,580 W 100 N Suite 1,West Bountiful,UT,84010,(801) 695-4480,hello@wholesome.co,https://www.wholesome.co/,1,Medical Cannabis Pharmacy
Zion Medicinal,301 S Main Street,Cedar City,UT,84720,(435) 708-1630,info@zionmed.com,https://www.zionmed.com/,,Medical Cannabis Pharmacy
