Month,County,Order Total,Order Count
2021-01-01,Davis,900,0
2021-01-01,Salt Lake,11700,50
2021-01-01,Summit,1200,0
2021-01-01,Tooele,200,0
2021-01-01,Utah,2000,10
2021-01-01,Weber,2300,10
2021-02-01,Box Elder,1000,0
2021-02-01,Cache,1100,0
2021-02-01,Carbon,800,0
2021-02-01,Davis,4200,20
2021-02-01,Iron,300,0
2021-02-01,Salt Lake,32700,140
2021-02-01,Summit,4000,10
2021-02-01,Tooele,1100,0
2021-02-01,Uintah,600,0
2021-02-01,Utah,4600,20
2021-02-01,Wasatch,2200,10
2021-02-01,Washington,1700,10
2021-02-01,Weber,8600,40
2021-03-01,Box Elder,1600,10
2021-03-01,Cache,1700,10
2021-03-01,Carbon,200,0
2021-03-01,Davis,14100,80
2021-03-01,Duchesne,300,0
2021-03-01,Iron,800,0
2021-03-01,Millard,400,0
2021-03-01,Morgan,500,0
2021-03-01,Rich,100,0
2021-03-01,Salt Lake,55700,270
2021-03-01,Summit,2800,10
2021-03-01,Tooele,2500,10
2021-03-01,Uintah,600,0
2021-03-01,Utah,14300,70
2021-03-01,Wasatch,3000,10
2021-03-01,Washington,5800,20
2021-03-01,Weber,13700,70
2021-04-01,Box Elder,1900,10
2021-04-01,Cache,2700,10
2021-04-01,Carbon,300,0
2021-04-01,Davis,15600,80
2021-04-01,Grand,900,0
2021-04-01,Iron,900,0
2021-04-01,Millard,600,0
2021-04-01,Salt Lake,39800,190
2021-04-01,Sanpete,400,0
2021-04-01,Summit,1800,10
2021-04-01,Tooele,2500,10
2021-04-01,Uintah,1700,10
2021-04-01,Utah,11500,70
2021-04-01,Wasatch,1800,0
2021-04-01,Washington,7200,40
2021-04-01,Weber,15800,80
2021-05-01,Box Elder,800,0
2021-05-01,Cache,2100,10
2021-05-01,Davis,18000,80
2021-05-01,Emery,1000,0
2021-05-01,Grand,1100,0
2021-05-01,Iron,1700,10
2021-05-01,Millard,1200,0
2021-05-01,Morgan,900,0
2021-05-01,Rich,100,0
2021-05-01,Salt Lake,45900,250
2021-05-01,Sanpete,600,0
2021-05-01,Sevier,1300,0
2021-05-01,Summit,1700,0
2021-05-01,Tooele,3900,20
2021-05-01,Uintah,400,0
2021-05-01,Utah,14900,90
2021-05-01,Wasatch,900,0
2021-05-01,Washington,10800,50
2021-05-01,Weber,15200,80
2021-06-01,Box Elder,1600,10
2021-06-01,Cache,200,0
2021-06-01,Carbon,500,0
2021-06-01,Davis,21200,110
2021-06-01,Duchesne,200,0
2021-06-01,Emery,600,0
2021-06-01,Grand,600,0
2021-06-01,Iron,800,0
2021-06-01,Millard,1700,0
2021-06-01,Morgan,600,0
2021-06-01,Salt Lake,66100,310
2021-06-01,Sanpete,200,0
2021-06-01,Sevier,1000,0
2021-06-01,Summit,1200,0
2021-06-01,Tooele,1900,10
2021-06-01,Uintah,1500,10
2021-06-01,Utah,11900,50
2021-06-01,Wasatch,2100,10
2021-06-01,Washington,4400,20
2021-06-01,Weber,27700,140
2021-07-01,Box Elder,700,0
2021-07-01,Cache,1800,10
2021-07-01,Carbon,1400,10
2021-07-01,Davis,20300,100
2021-07-01,Duchesne,1000,0
2021-07-01,Emery,200,0
2021-07-01,Grand,500,0
2021-07-01,Iron,700,0
2021-07-01,Millard,500,0
2021-07-01,Morgan,1600,10
2021-07-01,Salt Lake,56800,270
2021-07-01,Sanpete,200,0
2021-07-01,Sevier,2000,10
2021-07-01,Summit,1200,0
2021-07-01,Tooele,2200,10
2021-07-01,Uintah,1500,0
2021-07-01,Utah,16400,80
2021-07-01,Wasatch,3700,10
2021-07-01,Washington,2200,10
2021-07-01,Weber,23000,110
2021-08-01,Box Elder,2900,10
2021-08-01,Cache,2200,10
2021-08-01,Carbon,2000,10
2021-08-01,Davis,56800,320
2021-08-01,Duchesne,700,0
2021-08-01,Emery,200,0
2021-08-01,Grand,700,0
2021-08-01,Iron,600,0
2021-08-01,Millard,1300,0
2021-08-01,Morgan,1300,10
2021-08-01,Salt Lake,132800,680
2021-08-01,Sanpete,600,0
2021-08-01,Sevier,1900,10
2021-08-01,Summit,1600,10
2021-08-01,Tooele,6300,30
2021-08-01,Uintah,1500,10
