Month,Order Total,Order Count
2021-01-01,18200,80
2021-02-01,62900,260
2021-03-01,118200,560
2021-04-01,106200,510
2021-05-01,123200,620
2021-06-01,146300,690
2021-07-01,137900,650
2021-08-01,306900,1620
2021-09-01,363600,2000
2021-10-01,446100,2510
2021-11-01,569100,3240
2021-12-01,717400,4090
2022-01-01,939400,5300
2022-02-01,995700,5780
2022-03-01,1297300,7720
2022-04-01,1412900,8610
2022-05-01,1306700,8040
2022-06-01,1368500,8480
2022-07-01,1411300,8860
2022-08-01,1458600,9160
2022-09-01,1471400,9410
2022-10-01,1579700,10470
2022-11-01,1747100,11830
2022-12-01,1983200,13210
2023-01-01,1962800,13160
2023-02-01,1751300,11700
2023-03-01,2101700,14160
2023-04-01,2098900,14220
2023-05-01,1945200,13500
2023-06-01,2003900,13780
2023-07-01,2048500,14070
2023-08-01,2182900,15020
2023-09-01,2171300,14940
2023-10-01,2214900,15310
2023-11-01,2300600,16020
2023-12-01,2499600,17110
2024-01-01,2422900,16650
2024-02-01,2380700,16310
2024-03-01,2456900,16810
2024-04-01,2635600,18080
2024-05-01,2558300,18010
2024-06-01,2413500,16970
2024-07-01,2536500,18010
2024-08-01,2675600,18930
2024-09-01,2517500,17830
2024-10-01,2695100,19420
2024-11-01,2813500,20430
2024-12-01,2858900,20640
2025-01-01,2923500,21080
2025-02-01,2755500,19660
2025-03-01,3026100,21260
2025-04-01,3194500,22470
2025-05-01,3071700,22300
2025-06-01,2919500,21140
2025-07-01,3097400,22700
2025-08-01,3191800,23670
2025-09-01,3003400,22460
2025-10-01,3029800,22470
2025-11-01,2953700,21840
2025-12-01,2924900,21630
2026-01-01,3001700,22170
2026-02-01,2871100,21730
2026-03-01,3133500,23500
