Month,County,Count
2020-3,Cache,17
2020-3,Davis,91
2020-3,Salt Lake,396
2020-3,Tooele,18
2020-3,Utah,86
2020-3,Weber,72
2020-4,Box Elder,22
2020-4,Cache,45
2020-4,Davis,75
2020-4,Salt Lake,323
2020-4,Tooele,23
2020-4,Utah,97
2020-4,Weber,87
2020-5,Cache,30
2020-5,Davis,49
2020-5,Salt Lake,218
2020-5,Utah,72
2020-5,Weber,22
2020-6,Box Elder,38
2020-6,Cache,76
2020-6,Davis,108
2020-6,Salt Lake,286
2020-6,Utah,93
2020-6,Weber,138
2020-7,Box Elder,55
2020-7,Cache,129
2020-7,Davis,184
2020-7,Salt Lake,348
2020-7,Utah,122
2020-7,Weber,264
2020-8,Box Elder,41
2020-8,Cache,88
2020-8,Carbon,14
2020-8,Davis,195
2020-8,Salt Lake,487
2020-8,Summit,17
2020-8,Tooele,29
2020-8,Utah,169
2020-8,Weber,225
2020-9,Box Elder,43
2020-9,Cache,68
2020-9,Carbon,16
2020-9,Davis,250
2020-9,Salt Lake,585
2020-9,Sanpete,12
2020-9,Summit,14
2020-9,Tooele,34
2020-9,Utah,422
2020-9,Wasatch,14
2020-9,Weber,251
2020-10,Box Elder,49
2020-10,Cache,94
2020-10,Carbon,14
2020-10,Davis,284
2020-10,Other,19
2020-10,Salt Lake,990
2020-10,Sanpete,14
2020-10,Summit,36
2020-10,Tooele,47
2020-10,Utah,409
2020-10,Wasatch,22
2020-10,Washington,21
2020-10,Weber,267
2020-11,Box Elder,39
2020-11,Cache,98
2020-11,Carbon,23
2020-11,Davis,220
2020-11,Duchesne,13
2020-11,Other,18
2020-11,Salt Lake,1013
2020-11,Summit,32
2020-11,Tooele,47
2020-11,Utah,364
2020-11,Wasatch,22
2020-11,Washington,19
2020-11,Weber,248
2020-12,Box Elder,39
2020-12,Cache,100
2020-12,Carbon,12
2020-12,Davis,259
2020-12,Juab,13
2020-12,Salt Lake,920
2020-12,Sanpete,12
2020-12,Summit,37
2020-12,Tooele,41
2020-12,Utah,369
2020-12,Wasatch,18
2020-12,Washington,21
2020-12,Weber,273
2021-1,Box Elder,80
2021-1,Cache,154
2021-1,Carbon,12
2021-1,Davis,470
2021-1,Duchesne,12
2021-1,Juab,12
2021-1,Other,122
2021-1,Salt Lake,1676
2021-1,Sanpete,19
2021-1,Sevier,15
2021-1,Summit,55
2021-1,Tooele,79
2021-1,Utah,676
2021-1,Wasatch,24
2021-1,Washington,25
2021-1,Weber,457
2021-2,Box Elder,51
2021-2,Cache,136
2021-2,Davis,356
2021-2,Other,38
