Month,County,Count
2020-03-01,Box Elder,33
2020-03-01,Cache,67
2020-03-01,Davis,181
2020-03-01,Salt Lake,690
2020-03-01,Summit,14
2020-03-01,Tooele,37
2020-03-01,Utah,179
2020-03-01,Wasatch,12
2020-03-01,Washington,28
2020-03-01,Weber,191
2020-04-01,Box Elder,57
2020-04-01,Cache,92
2020-04-01,Davis,179
2020-04-01,Salt Lake,651
2020-04-01,Summit,19
2020-04-01,Tooele,32
2020-04-01,Utah,195
2020-04-01,Washington,41
2020-04-01,Weber,203
2020-05-01,Box Elder,44
2020-05-01,Cache,83
2020-05-01,Davis,168
2020-05-01,Salt Lake,474
2020-05-01,Tooele,29
2020-05-01,Utah,154
2020-05-01,Washington,42
2020-05-01,Weber,177
2020-06-01,Box Elder,49
2020-06-01,Cache,107
2020-06-01,Carbon,25
2020-06-01,Davis,228
2020-06-01,Salt Lake,785
2020-06-01,Summit,19
2020-06-01,Tooele,38
2020-06-01,Utah,256
2020-06-01,Washington,60
2020-06-01,Weber,244
2020-07-01,Box Elder,33
2020-07-01,Cache,107
2020-07-01,Carbon,29
2020-07-01,Davis,261
2020-07-01,Iron,16
2020-07-01,Salt Lake,889
2020-07-01,Sanpete,15
2020-07-01,Summit,34
2020-07-01,Tooele,44
2020-07-01,Uintah,23
2020-07-01,Utah,338
2020-07-01,Wasatch,12
2020-07-01,Washington,56
2020-07-01,Weber,293
2020-08-01,Box Elder,43
2020-08-01,Cache,80
2020-08-01,Carbon,22
2020-08-01,Davis,241
2020-08-01,Salt Lake,829
2020-08-01,Summit,29
2020-08-01,Tooele,51
2020-08-01,Uintah,13
2020-08-01,Utah,282
2020-08-01,Wasatch,17
2020-08-01,Washington,45
2020-08-01,Weber,279
2020-09-01,Box Elder,78
2020-09-01,Cache,106
2020-09-01,Carbon,24
2020-09-01,Davis,313
2020-09-01,Salt Lake,998
2020-09-01,Sanpete,15
2020-09-01,Summit,40
2020-09-01,Tooele,43
2020-09-01,Uintah,16
2020-09-01,Utah,442
2020-09-01,Wasatch,21
2020-09-01,Washington,53
2020-09-01,Weber,339
2020-10-01,Box Elder,51
2020-10-01,Cache,158
2020-10-01,Carbon,12
2020-10-01,Davis,336
2020-10-01,Duchesne,13
2020-10-01,Iron,14
2020-10-01,Salt Lake,1214
2020-10-01,Sanpete,12
2020-10-01,Summit,49
2020-10-01,Tooele,57
2020-10-01,Utah,491
2020-10-01,Wasatch,25
2020-10-01,Washington,57
2020-10-01,Weber,389
2020-11-01,Box Elder,48
2020-11-01,Cache,122
2020-11-01,Carbon,19
2020-11-01,Davis,307
2020-11-01,Duchesne,14
2020-11-01,Iron,13
2020-11-01,Salt Lake,1199
2020-11-01,Summit,41
2020-11-01,Tooele,53
2020-11-01,Utah,434
2020-11-01,Wasatch,26
2020-11-01,Washington,59
2020-11-01,Weber,278
2020-12-01,Box Elder,59
2020-12-01,Cache,154
2020-12-01,Carbon,13
2020-12-01,Davis,372
2020-12-01,Iron,16
2020-12-01,Salt Lake,1357
2020-12-01,Sanpete,19
2020-12-01,Sevier,12
2020-12-01,Summit,44
2020-12-01,Tooele,65
2020-12-01,Uintah,23
2020-12-01,Utah,530
2020-12-01,Wasatch,22
2020-12-01,Washington,65
2020-12-01,Weber,393
2021-01-01,Box Elder,73
2021-01-01,Cache,149
2021-01-01,Davis,371
2021-01-01,Duchesne,16
2021-01-01,Iron,18
2021-01-01,Salt Lake,1400
2021-01-01,Sanpete,17
2021-01-01,Summit,36
