Data,Date,Count
Activated Per Month,Mar 2020,804
Activated Per Month,Apr 2020,728
Activated Per Month,May 2020,601
Activated Per Month,Jun 2020,873
Activated Per Month,Jul 2020,986
Activated Per Month,Aug 2020,837
Activated Per Month,Sep 2020,1179
Activated Per Month,Oct 2020,1290
Activated Per Month,Nov 2020,1190
Activated Per Month,Dec 2020,1406
Activated Per Month,Jan 2021,1447
Activated Per Month,Feb 2021,1393
Activated Per Month,Mar 2021,1266
Activated Per Month,Apr 2021,1493
Activated Per Month,May 2021,1161
Activated Per Month,Jun 2021,1274
Activated Per Month,Jul 2021,1068
Activated Per Month,Aug 2021,1299
Activated Per Month,Sep 2021,1203
Activated Per Month,Oct 2021,1187
Activated Per Month,Nov 2021,1196
Activated Per Month,Dec 2021,960
Activated Per Month,Jan 2022,1142
Activated Per Month,Feb 2022,1084
Activated Per Month,Mar 2022,1453
Activated Per Month,Apr 2022,1337
Activated Per Month,May 2022,1401
Activated Per Month,Jun 2022,1237
Activated Per Month,Jul 2022,1189
Activated Per Month,Aug 2022,1510
Activated Per Month,Sep 2022,1338
Activated Per Month,Oct 2022,1279
Activated Per Month,Nov 2022,1146
Activated Per Month,Dec 2022,1151
Activated Per Month,Jan 2023,1352
Activated Per Month,Feb 2023,1376
Activated Per Month,Mar 2023,1521
Activated Per Month,Apr 2023,1545
Activated Per Month,May 2023,1359
Activated Per Month,Jun 2023,1399
Activated Per Month,Jul 2023,1216
Activated Per Month,Aug 2023,1503
Activated Per Month,Sep 2023,1194
Activated Per Month,Oct 2023,1374
Activated Per Month,Nov 2023,1253
Activated Per Month,Dec 2023,1128
Activated Per Month,Jan 2024,1323
Activated Per Month,Feb 2024,1238
Activated Per Month,Mar 2024,1384
Activated Per Month,Apr 2024,2078
Activated Per Month,May 2024,1563
Activated Per Month,Jun 2024,1594
Activated Per Month,Jul 2024,1464
Activated Per Month,Aug 2024,1707
Activated Per Month,Sep 2024,1451
Activated Per Month,Oct 2024,1909
Activated Per Month,Nov 2024,1689
Activated Per Month,Dec 2024,1384
Activated Per Month,Jan 2025,1665
Activated Per Month,Feb 2025,1579
Activated Per Month,Mar 2025,1481
Activated Per Month,Apr 2025,3011
Activated Per Month,May 2025,2480
Activated Per Month,Jun 2025,2578
Activated Per Month,Jul 2025,2462
Activated Per Month,Aug 2025,2488
Activated Per Month,Sep 2025,2285
Activated Per Month,Oct 2025,2583
Activated Per Month,Nov 2025,2884
Activated Per Month,Dec 2025,2684
Activated Per Month,Jan 2026,2645
Activated Per Month,Feb 2026,2935
Activated Per Month,Mar 2026,3219
Activations and Renewals per Month,Mar 2020,1485
Activations and Renewals per Month,Apr 2020,1543
Activations and Renewals per Month,May 2020,1250
Activations and Renewals per Month,Jun 2020,2907
