Small Area,Count
Alpine,189
American Fork,"1,404"
Ben Lomond,"2,812"
Blanding/Monticello,31
Bountiful,"1,773"
Box Elder County (Other) V2,429
Brigham City,"1,165"
Cache County (Other)/Rich County (All) V2,579
Carbon County,892
Cedar City,"1,771"
Centerville,493
Central (Other),350
Clearfield Area/Hooper,"2,676"
Cottonwood,"1,818"
Daggett and Uintah County,537
Daybreak,"1,566"
Delta/Fillmore,171
Draper,"1,483"
Duchesne County,278
Eagle Mountain/Cedar Valley,"1,470"
Emery County,204
Farmington,757
Grand County,172
Herriman,"1,759"
Holladay V2,"1,124"
Hurricane/La Verkin,812
Hyrum,298
Ivins/Santa Clara,478
Kaysville/Fruit Heights,935
Kearns V2,"1,392"
Layton/South Weber,"3,036"
Lehi,"2,408"
Logan V2,"1,784"
Magna,"1,084"
Mapleton,342
Midvale,"1,848"
Millcreek (East),847
Millcreek (South),866
Morgan County,266
Murray,"1,941"
Nephi/Mona,222
North Logan,651
North Salt Lake,799
Not assigned,NA
Ogden (Downtown),"2,184"
Orem (East),557
Orem (North) v2,974
Orem (West) v2,"1,144"
Park City,"1,011"
Payson,784
Pleasant Grove/Lindon,"1,400"
Provo (East City Center),578
Provo (West City Center),886
Provo/BYU,644
Richfield/Monroe/Salina,305
Riverdale,"1,130"
Riverton/Bluffdale,"1,930"
Roy/Hooper,"1,951"
Salem City,247
Salt Lake City (Avenues),"1,310"
Salt Lake City (Downtown) V2,"2,410"
Salt Lake City (Foothill/East Bench),648
Salt Lake City (Glendale) V2,930
Salt Lake City (Rose Park),"1,445"
Salt Lake City (Southeast Liberty),"1,191"
Salt Lake City (Sugar House),"1,849"
San Juan County (Other),23
Sandy (Center) V2,"1,221"
Sandy (Northeast),843
Sandy (Southeast),"1,043"
Sandy (West),"1,321"
Sanpete Valley,326
Saratoga Springs,961
Smithfield,434
South Jordan V2,"1,159"
South Ogden,"1,796"
South Salt Lake,"1,725"
Southwest LHD (Other),536
Spanish Fork,"1,333"
Springville,"1,133"
St. George,"2,898"
Summit County (East),414
Syracuse,863
Taylorsville (East)/Murray (West),"1,629"
Taylorsville (West),"1,403"
Tooele County (Other),409
Tooele Valley,"1,806"
Tremonton,599
Utah County (South) V2,458
Wasatch County,"1,075"
Washington City,935
Washington County (Other) V2,259
Weber County (East),"1,318"
West Jordan (Northeast) V2,"1,149"
West Jordan (Southeast),"1,332"
West Jordan (West)/Copperton,"1,721"
West Valley (Center),"1,527"
West Valley (East) V2,"1,634"
West Valley (West) V2,899
Woods Cross/West Bountiful,607
