Month,County,Order Total,Order Count
2020-05-01,Summit,200,0
2020-05-01,Tooele,200,0
2020-06-01,Salt Lake,100,0
2021-01-01,Davis,11000,80
2021-01-01,Salt Lake,17700,110
2021-01-01,Summit,100,0
2021-01-01,Tooele,0,0
2021-01-01,Uintah,100,0
2021-01-01,Utah,300,0
2021-01-01,Wasatch,900,0
2021-01-01,Washington,100,0
2021-01-01,Weber,3100,30
2021-02-01,Box Elder,5500,30
2021-02-01,Cache,8800,60
2021-02-01,Carbon,200,0
2021-02-01,Davis,39000,270
2021-02-01,Duchesne,500,0
2021-02-01,Morgan,900,0
2021-02-01,Rich,100,0
2021-02-01,Salt Lake,22400,130
2021-02-01,Summit,400,0
2021-02-01,Tooele,1700,10
2021-02-01,Uintah,200,0
2021-02-01,Utah,700,0
2021-02-01,Washington,300,0
2021-02-01,Weber,32900,270
2021-03-01,Box Elder,10600,60
2021-03-01,Cache,22400,140
2021-03-01,Davis,106100,670
2021-03-01,Duchesne,500,0
2021-03-01,Iron,600,0
2021-03-01,Morgan,4500,20
2021-03-01,Rich,100,0
2021-03-01,Salt Lake,61000,370
2021-03-01,Summit,1300,10
2021-03-01,Tooele,2400,20
2021-03-01,Uintah,400,0
2021-03-01,Utah,2700,20
2021-03-01,Washington,1000,10
2021-03-01,Weber,79600,580
2021-04-01,Box Elder,11800,70
2021-04-01,Cache,24700,150
2021-04-01,Carbon,400,0
2021-04-01,Davis,141900,940
2021-04-01,Duchesne,500,0
2021-04-01,Iron,300,0
2021-04-01,Morgan,2600,20
2021-04-01,Rich,300,0
2021-04-01,Salt Lake,83600,530
2021-04-01,Summit,2000,10
2021-04-01,Tooele,2900,20
2021-04-01,Uintah,100,0
2021-04-01,Utah,6000,40
2021-04-01,Wasatch,300,0
2021-04-01,Washington,1500,10
2021-04-01,Weber,92200,640
2021-05-01,Beaver,300,0
2021-05-01,Box Elder,7400,50
2021-05-01,Cache,20500,140
2021-05-01,Davis,149900,1050
2021-05-01,Duchesne,700,0
2021-05-01,Iron,600,0
2021-05-01,Morgan,2500,20
2021-05-01,Salt Lake,193800,1360
2021-05-01,Sanpete,400,0
2021-05-01,Sevier,100,0
2021-05-01,Summit,3100,20
2021-05-01,Tooele,14100,80
2021-05-01,Uintah,600,0
2021-05-01,Utah,9800,80
2021-05-01,Wasatch,1300,0
2021-05-01,Washington,3000,20
2021-05-01,Weber,78500,580
2021-06-01,Beaver,400,0
2021-06-01,Box Elder,6900,40
2021-06-01,Cache,15800,100
2021-06-01,Davis,141900,940
2021-06-01,Duchesne,1300,10
2021-06-01,Iron,700,0
2021-06-01,Millard,100,0
2021-06-01,Morgan,1900,10
2021-06-01,Salt Lake,119200,800
2021-06-01,Summit,2100,10
2021-06-01,Tooele,3300,20
2021-06-01,Uintah,100,0
2021-06-01,Utah,29900,200
2021-06-01,Wasatch,2700,0
2021-06-01,Washington,4500,30
2021-06-01,Weber,86000,620
2021-07-01,Beaver,400,0
2021-07-01,Box Elder,7100,40
2021-07-01,Cache,19900,140
2021-07-01,Carbon,100,0
2021-07-01,Davis,174300,1210
2021-07-01,Duchesne,1100,10
