Month,Order Total,Order Count
2020-05-01,400,0
2020-06-01,100,0
2021-01-01,34400,230
2021-02-01,118100,820
2021-03-01,305300,1980
2021-04-01,385800,2520
2021-05-01,525400,3700
2021-06-01,449700,3020
2021-07-01,598000,4230
2021-08-01,675500,4860
2021-09-01,599000,4360
2021-10-01,664000,4870
2021-11-01,846600,6070
2021-12-01,1027600,7330
2022-01-01,1274200,9310
2022-02-01,1274500,9440
2022-03-01,1408200,10670
2022-04-01,1525900,11500
2022-05-01,1485500,11740
2022-06-01,1449000,11400
2022-07-01,1320300,10640
2022-08-01,1478900,11780
2022-09-01,1526100,12460
2022-10-01,1542600,12990
2022-11-01,1498200,12610
2022-12-01,1588100,13220
2023-01-01,1471300,12530
2023-02-01,1436200,11860
2023-03-01,1556600,13060
2023-04-01,1563000,13310
2023-05-01,1555800,13680
2023-06-01,1716100,15300
2023-07-01,1848700,16690
2023-08-01,1664300,14920
2023-09-01,1614400,14400
2023-10-01,1614900,14560
2023-11-01,1894000,16640
2023-12-01,1989800,17590
2024-01-01,1994200,17960
2024-02-01,2050300,18560
2024-03-01,2146500,19380
2024-04-01,2264400,20020
2024-05-01,2143800,19710
2024-06-01,2179400,20110
2024-07-01,2225200,20930
2024-08-01,2298300,21780
2024-09-01,2075900,19970
2024-10-01,2137300,20410
2024-11-01,2249200,21660
2024-12-01,2350400,22190
2025-01-01,2233200,21290
2025-02-01,2092800,19540
2025-03-01,2068000,19080
2025-04-01,2004800,18330
2025-05-01,1990600,18840
2025-06-01,1886600,17740
2025-07-01,1874400,18370
2025-08-01,1927800,19290
2025-09-01,1845800,18540
2025-10-01,2045200,20270
2025-11-01,2056000,20380
2025-12-01,2114900,20980
2026-01-01,2095800,20580
2026-02-01,1917900,19070
2026-03-01,2023700,20140
