Month,Category,Inventory Quantity,Net Sales
2020-03-01,Cartridges / Pens,1800,95000
2020-04-01,Cartridges / Pens,5800,300000
2020-05-01,Cartridges / Pens,8600,490000
2020-06-01,Cartridges / Pens,5000,265000
2020-07-01,Cartridges / Pens,8500,454000
2020-08-01,Cartridges / Pens,10900,633000
2020-09-01,Cartridges / Pens,14500,837000
2020-10-01,Cartridges / Pens,19900,1081000
2020-11-01,Cartridges / Pens,21000,1106000
2020-12-01,Cartridges / Pens,24000,1385000
2021-01-01,Cartridges / Pens,21200,1233000
2021-02-01,Cartridges / Pens,20600,1239000
2021-03-01,Cartridges / Pens,28300,1732000
2021-04-01,Cartridges / Pens,30400,1887000
2021-05-01,Cartridges / Pens,29700,1940000
2021-06-01,Cartridges / Pens,32500,2092000
2021-07-01,Cartridges / Pens,37800,2329000
2021-08-01,Cartridges / Pens,43300,2491000
2021-09-01,Cartridges / Pens,45100,2525000
2021-10-01,Cartridges / Pens,46000,2735000
2021-11-01,Cartridges / Pens,46700,2916000
2021-12-01,Cartridges / Pens,50100,3144000
2022-01-01,Cartridges / Pens,46500,3023000
2022-02-01,Cartridges / Pens,51500,3183000
2022-03-01,Cartridges / Pens,62700,3711000
2022-04-01,Cartridges / Pens,70600,3949000
2022-05-01,Cartridges / Pens,69100,3857000
2022-06-01,Cartridges / Pens,70600,3924000
2022-07-01,Cartridges / Pens,73200,3981000
2022-08-01,Cartridges / Pens,78300,4175000
2022-09-01,Cartridges / Pens,78100,4122000
2022-10-01,Cartridges / Pens,84100,4282000
2022-11-01,Cartridges / Pens,91000,4485000
2022-12-01,Cartridges / Pens,102900,4868000
2023-01-01,Cartridges / Pens,96600,4545000
2023-02-01,Cartridges / Pens,92200,4493000
2023-03-01,Cartridges / Pens,103800,5175000
2023-04-01,Cartridges / Pens,105800,4936000
2023-05-01,Cartridges / Pens,104600,5057000
2023-06-01,Cartridges / Pens,106900,5061000
2023-07-01,Cartridges / Pens,108900,4994000
2023-08-01,Cartridges / Pens,115800,5266000
2023-09-01,Cartridges / Pens,116100,5226000
2023-10-01,Cartridges / Pens,117600,5258000
2023-11-01,Cartridges / Pens,120500,5487000
2023-12-01,Cartridges / Pens,125900,5894000
2024-01-01,Cartridges / Pens,114900,5622000
2024-02-01,Cartridges / Pens,119800,5701000
2024-03-01,Cartridges / Pens,124200,5996000
2024-04-01,Cartridges / Pens,128800,6183000
2024-05-01,Cartridges / Pens,129100,6252000
2024-06-01,Cartridges / Pens,120000,5826000
2024-07-01,Cartridges / Pens,123800,6095000
2024-08-01,Cartridges / Pens,129300,6322000
2024-09-01,Cartridges / Pens,120400,5940000
2024-10-01,Cartridges / Pens,132500,6320000
2024-11-01,Cartridges / Pens,136900,6468000
2024-12-01,Cartridges / Pens,138300,6633000
2025-01-01,Cartridges / Pens,135400,6609000
2025-02-01,Cartridges / Pens,130200,6369000
2025-03-01,Cartridges / Pens,142900,7027000
2025-04-01,Cartridges / Pens,147800,6934000
2025-05-01,Cartridges / Pens,141700,6991000
2025-06-01,Cartridges / Pens,136100,6608000
2025-07-01,Cartridges / Pens,143700,6946000
2025-08-01,Cartridges / Pens,150600,7073000
2025-09-01,Cartridges / Pens,138500,6762000
2025-10-01,Cartridges / Pens,157200,7541000
2025-11-01,Cartridges / Pens,158000,7376000
2025-12-01,Cartridges / Pens,166500,7682000
2026-01-01,Cartridges / Pens,156300,7637000
2026-02-01,Cartridges / Pens,150500,7240000
2026-03-01,Cartridges / Pens,163700,7955000
2020-08-01,Concentrate,100,7000
2020-09-01,Concentrate,0,0
2020-12-01,Concentrate,400,35000
2021-02-01,Concentrate,100,11000
2021-03-01,Concentrate,700,72000
2021-04-01,Concentrate,700,74000
2021-05-01,Concentrate,500,59000
2021-06-01,Concentrate,300,35000
2021-07-01,Concentrate,300,29000
2021-08-01,Concentrate,400,29000
2021-09-01,Concentrate,400,34000
2021-10-01,Concentrate,1000,83000
2021-11-01,Concentrate,800,62000
2021-12-01,Concentrate,900,70000
2022-01-01,Concentrate,1200,87000
2022-02-01,Concentrate,600,39000
2022-03-01,Concentrate,300,19000
2022-04-01,Concentrate,300,22000
2022-05-01,Concentrate,200,16000
2022-06-01,Concentrate,100,10000
2022-07-01,Concentrate,100,7000
2022-08-01,Concentrate,100,10000
2022-09-01,Concentrate,200,10000
2022-10-01,Concentrate,200,11000
2022-11-01,Concentrate,0,4000
2022-12-01,Concentrate,0,4000
2023-01-01,Concentrate,0,1000
2023-02-01,Concentrate,0,0
2023-03-01,Concentrate,0,0
2023-04-01,Concentrate,0,1000
2023-05-01,Concentrate,0,3000
2023-06-01,Concentrate,100,2000
2023-07-01,Concentrate,0,0
2023-08-01,Concentrate,0,0
2023-10-01,Concentrate,0,0
2023-11-01,Concentrate,100,4000
2023-12-01,Concentrate,200,11000
2024-01-01,Concentrate,0,3000
2024-03-01,Concentrate,0,0
2026-03-01,Concentrate,0,0
2020-03-01,Flower,1300,68000
2020-04-01,Flower,9800,473000
2020-05-01,Flower,6400,332000
2020-06-01,Flower,15400,643000
2020-07-01,Flower,22400,1093000
2020-08-01,Flower,22700,1012000
2020-09-01,Flower,30100,1357000
2020-10-01,Flower,29800,1343000
2020-11-01,Flower,30700,1320000
2020-12-01,Flower,35200,1603000
2021-01-01,Flower,30000,1457000
2021-02-01,Flower,31100,1530000
2021-03-01,Flower,37800,1898000
2021-04-01,Flower,38600,1927000
2021-05-01,Flower,35900,1889000
2021-06-01,Flower,43200,2018000
2021-07-01,Flower,55000,2358000
2021-08-01,Flower,54800,2431000
2021-09-01,Flower,60200,2641000
2021-10-01,Flower,64800,2768000
2021-11-01,Flower,68900,2922000
2021-12-01,Flower,76900,3146000
2022-01-01,Flower,67800,2939000
2022-02-01,Flower,65700,2903000
2022-03-01,Flower,73900,3238000
2022-04-01,Flower,75600,3232000
2022-05-01,Flower,72900,3134000
2022-06-01,Flower,76100,3201000
2022-07-01,Flower,77700,3206000
2022-08-01,Flower,80400,3408000
2022-09-01,Flower,79100,3351000
2022-10-01,Flower,80500,3452000
2022-11-01,Flower,76000,3499000
2022-12-01,Flower,83800,3663000
2023-01-01,Flower,74700,3501000
2023-02-01,Flower,74200,3570000
2023-03-01,Flower,82900,3954000
2023-04-01,Flower,88200,3711000
2023-05-01,Flower,84000,3749000
2023-06-01,Flower,82800,3903000
2023-07-01,Flower,78500,3833000
2023-08-01,Flower,80200,3938000
2023-09-01,Flower,80500,3923000
2023-10-01,Flower,84300,3992000
2023-11-01,Flower,82300,4033000
2023-12-01,Flower,85300,4315000
2024-01-01,Flower,81300,4188000
2024-02-01,Flower,79900,4096000
2024-03-01,Flower,82400,4351000
2024-04-01,Flower,79900,4347000
2024-05-01,Flower,80700,4384000
2024-06-01,Flower,76300,4142000
2024-07-01,Flower,80400,4325000
2024-08-01,Flower,84400,4574000
2024-09-01,Flower,76600,4266000
2024-10-01,Flower,82000,4576000
2024-11-01,Flower,84500,4698000
2024-12-01,Flower,81900,4648000
2025-01-01,Flower,81200,4722000
2025-02-01,Flower,74700,4444000
2025-03-01,Flower,85600,4839000
2025-04-01,Flower,86300,4754000
2025-05-01,Flower,83700,4797000
2025-06-01,Flower,79200,4530000
2025-07-01,Flower,83800,4838000
2025-08-01,Flower,89100,4845000
2025-09-01,Flower,83900,4775000
2025-10-01,Flower,90700,5149000
2025-11-01,Flower,93700,4937000
2025-12-01,Flower,97100,5172000
2026-01-01,Flower,94900,5214000
2026-02-01,Flower,90000,4844000
2026-03-01,Flower,95800,5189000
2020-03-01,Infused Edible,400,37000
2020-04-01,Infused Edible,3000,162000
2020-05-01,Infused Edible,4700,257000
2020-06-01,Infused Edible,6400,339000
2020-07-01,Infused Edible,7100,378000
2020-08-01,Infused Edible,11700,471000
2020-09-01,Infused Edible,16400,643000
2020-10-01,Infused Edible,19900,774000
2020-11-01,Infused Edible,21900,799000
2020-12-01,Infused Edible,27400,1076000
2021-01-01,Infused Edible,23900,933000
2021-02-01,Infused Edible,25400,950000
2021-03-01,Infused Edible,36000,1307000
2021-04-01,Infused Edible,37400,1336000
2021-05-01,Infused Edible,37000,1280000
2021-06-01,Infused Edible,38000,1343000
2021-07-01,Infused Edible,42000,1428000
2021-08-01,Infused Edible,45000,1506000
2021-09-01,Infused Edible,45800,1538000
2021-10-01,Infused Edible,47600,1690000
2021-11-01,Infused Edible,50400,1796000
2021-12-01,Infused Edible,55500,1995000
2022-01-01,Infused Edible,52800,1900000
2022-02-01,Infused Edible,50700,1842000
2022-03-01,Infused Edible,57800,2093000
2022-04-01,Infused Edible,64500,2168000
2022-05-01,Infused Edible,57400,2047000
2022-06-01,Infused Edible,58800,2103000
2022-07-01,Infused Edible,60200,2098000
2022-08-01,Infused Edible,63300,2154000
2022-09-01,Infused Edible,70000,2147000
2022-10-01,Infused Edible,77200,2217000
2022-11-01,Infused Edible,85400,2265000
2022-12-01,Infused Edible,72800,2539000
2023-01-01,Infused Edible,65600,2326000
2023-02-01,Infused Edible,66600,2310000
2023-03-01,Infused Edible,73500,2560000
2023-04-01,Infused Edible,77600,2572000
2023-05-01,Infused Edible,69100,2370000
2023-06-01,Infused Edible,71300,2394000
2023-07-01,Infused Edible,67400,2266000
2023-08-01,Infused Edible,71100,2375000
2023-09-01,Infused Edible,70300,2371000
2023-10-01,Infused Edible,69500,2322000
2023-11-01,Infused Edible,76700,2452000
2023-12-01,Infused Edible,78500,2630000
2024-01-01,Infused Edible,69400,2501000
2024-02-01,Infused Edible,70500,2489000
2024-03-01,Infused Edible,74400,2634000
2024-04-01,Infused Edible,82000,2696000
2024-05-01,Infused Edible,77800,2609000
2024-06-01,Infused Edible,71700,2428000
2024-07-01,Infused Edible,74700,2493000
2024-08-01,Infused Edible,77100,2546000
2024-09-01,Infused Edible,72600,2397000
2024-10-01,Infused Edible,79900,2553000
2024-11-01,Infused Edible,85900,2673000
2024-12-01,Infused Edible,85700,2731000
2025-01-01,Infused Edible,82700,2745000
2025-02-01,Infused Edible,77400,2529000
2025-03-01,Infused Edible,88200,2786000
2025-04-01,Infused Edible,90300,2803000
2025-05-01,Infused Edible,82400,2674000
2025-06-01,Infused Edible,79200,2498000
2025-07-01,Infused Edible,81500,2574000
2025-08-01,Infused Edible,86700,2653000
2025-09-01,Infused Edible,78600,2466000
2025-10-01,Infused Edible,88800,2714000
2025-11-01,Infused Edible,92900,2717000
2025-12-01,Infused Edible,96200,2885000
2026-01-01,Infused Edible,90600,2822000
2026-02-01,Infused Edible,88700,2702000
2026-03-01,Infused Edible,93000,2874000
2020-03-01,Infused Non-edible,0,3000
2020-04-01,Infused Non-edible,200,22000
2020-05-01,Infused Non-edible,300,31000
2020-06-01,Infused Non-edible,300,31000
2020-07-01,Infused Non-edible,400,36000
2020-08-01,Infused Non-edible,500,37000
2020-09-01,Infused Non-edible,300,28000
2020-10-01,Infused Non-edible,500,43000
2020-11-01,Infused Non-edible,400,37000
2020-12-01,Infused Non-edible,800,53000
2021-01-01,Infused Non-edible,1000,59000
2021-02-01,Infused Non-edible,900,55000
2021-03-01,Infused Non-edible,1300,75000
2021-04-01,Infused Non-edible,1500,84000
2021-05-01,Infused Non-edible,1600,91000
2021-06-01,Infused Non-edible,1500,88000
2021-07-01,Infused Non-edible,1600,94000
2021-08-01,Infused Non-edible,1800,100000
2021-09-01,Infused Non-edible,1600,90000
2021-10-01,Infused Non-edible,1800,103000
2021-11-01,Infused Non-edible,2600,124000
2021-12-01,Infused Non-edible,2900,135000
2022-01-01,Infused Non-edible,2300,114000
2022-02-01,Infused Non-edible,2400,125000
2022-03-01,Infused Non-edible,2200,134000
2022-04-01,Infused Non-edible,2300,130000
2022-05-01,Infused Non-edible,2000,112000
2022-06-01,Infused Non-edible,2000,118000
2022-07-01,Infused Non-edible,1900,120000
2022-08-01,Infused Non-edible,2100,126000
2022-09-01,Infused Non-edible,2500,126000
2022-10-01,Infused Non-edible,2300,120000
2022-11-01,Infused Non-edible,2000,108000
2022-12-01,Infused Non-edible,2600,114000
2023-01-01,Infused Non-edible,2400,110000
2023-02-01,Infused Non-edible,2300,107000
2023-03-01,Infused Non-edible,2700,116000
2023-04-01,Infused Non-edible,2800,114000
2023-05-01,Infused Non-edible,2600,109000
2023-06-01,Infused Non-edible,2500,99000
2023-07-01,Infused Non-edible,2300,89000
2023-08-01,Infused Non-edible,2500,94000
2023-09-01,Infused Non-edible,2200,89000
2023-10-01,Infused Non-edible,2100,82000
2023-11-01,Infused Non-edible,2300,85000
2023-12-01,Infused Non-edible,2400,90000
2024-01-01,Infused Non-edible,2300,96000
2024-02-01,Infused Non-edible,2200,91000
2024-03-01,Infused Non-edible,2300,95000
2024-04-01,Infused Non-edible,2700,107000
2024-05-01,Infused Non-edible,2700,110000
2024-06-01,Infused Non-edible,2500,98000
2024-07-01,Infused Non-edible,2300,95000
2024-08-01,Infused Non-edible,2300,101000
2024-09-01,Infused Non-edible,2500,103000
2024-10-01,Infused Non-edible,2800,108000
2024-11-01,Infused Non-edible,2800,106000
2024-12-01,Infused Non-edible,3100,117000
2025-01-01,Infused Non-edible,2800,109000
2025-02-01,Infused Non-edible,2600,96000
2025-03-01,Infused Non-edible,3100,116000
2025-04-01,Infused Non-edible,3500,123000
2025-05-01,Infused Non-edible,3100,119000
2025-06-01,Infused Non-edible,2700,105000
2025-07-01,Infused Non-edible,2900,107000
2025-08-01,Infused Non-edible,3200,116000
2025-09-01,Infused Non-edible,2900,111000
2025-10-01,Infused Non-edible,3100,111000
2025-11-01,Infused Non-edible,3400,113000
2025-12-01,Infused Non-edible,3800,123000
2026-01-01,Infused Non-edible,3100,112000
2026-02-01,Infused Non-edible,3200,111000
2026-03-01,Infused Non-edible,3400,116000
2020-03-01,Non Medicated,400,9000
2020-04-01,Non Medicated,1100,28000
2020-05-01,Non Medicated,1100,41000
2020-06-01,Non Medicated,1200,50000
