Month,Gross Sales,Total Discounts,Order Count,Net Sales
2020-03-01,217300,400,1430,216900
2020-04-01,1013800,9500,6640,1004200
2020-05-01,1195700,20700,8230,1175000
2020-06-01,1378600,18900,10800,1359700
2020-07-01,2091400,33300,14740,2058100
2020-08-01,2315300,46700,17060,2268600
2020-09-01,3128900,129300,23160,2999600
2020-10-01,3605300,224700,26560,3380700
2020-11-01,3647000,256000,26810,3391000
2020-12-01,4530800,232000,32350,4299400
2021-01-01,4051600,225600,29360,3826100
2021-02-01,4184400,244100,30750,3940400
2021-03-01,5627800,345100,39320,5282600
2021-04-01,6006700,492900,40150,5513800
2021-05-01,5941500,476900,41410,5464700
2021-06-01,6281700,492900,44860,5790400
2021-07-01,7133500,656800,51220,6485000
2021-08-01,7721000,920000,54130,6804600
2021-09-01,8290300,1207600,56410,7084300
2021-10-01,8538600,894800,60980,7644700
2021-11-01,9106200,999000,63480,8108100
2021-12-01,9931800,1110600,67660,8821600
2022-01-01,9231400,855700,64900,8375900
2022-02-01,9238400,840200,65100,8399000
2022-03-01,10684800,1131000,74830,9554600
2022-04-01,11449800,1584900,77440,9866800
2022-05-01,10761200,1218900,77660,9542300
2022-06-01,11059300,1314300,80040,9745200
2022-07-01,11157000,1355700,81990,9801800
2022-08-01,11772400,1479000,86800,10293900
2022-09-01,11653700,1484600,87530,10169600
2022-10-01,12047700,1549400,91830,10498900
2022-11-01,12580200,1790400,92640,10790100
2022-12-01,13720900,2051600,99470,11669500
2023-01-01,12615400,1682700,95990,10933100
2023-02-01,12525600,1594100,94260,10931700
2023-03-01,14098000,1798800,106940,12299300
2023-04-01,14175700,2364000,103920,11813000
2023-05-01,13529300,1778500,107600,11751100
2023-06-01,13744700,1808300,108890,11936600
2023-07-01,13443100,1787200,107480,11656200
2023-08-01,14079500,1928100,112940,12151600
2023-09-01,14291400,2230500,110780,12061200
2023-10-01,14519400,2426700,113530,12092900
2023-11-01,15200000,2691800,114050,12508600
2023-12-01,16146800,2734800,120140,13412300
2024-01-01,15219200,2366400,115940,12853200
2024-02-01,15290100,2456600,116460,12833600
2024-03-01,16073900,2528600,122370,13545700
2024-04-01,16753700,2943700,122370,13810500
2024-05-01,16611400,2779700,126140,13832000
2024-06-01,15573800,2628300,119270,12945800
2024-07-01,16163200,2691500,125520,13472200
2024-08-01,17121700,3101000,130080,14021000
2024-09-01,15934100,2787900,123060,13148200
2024-10-01,17405600,3367400,132450,14038200
2024-11-01,18140800,3713000,135280,14428000
2024-12-01,18297700,3684200,135760,14613400
2025-01-01,18083700,3407300,137070,14676400
2025-02-01,17274700,3375900,129180,13899100
2025-03-01,18973000,3704100,141290,15268900
2025-04-01,20169500,5075800,139290,15094000
2025-05-01,19045200,3971400,142690,15073900
2025-06-01,18058100,3862400,134730,14195800
2025-07-01,19038600,4274400,142960,14764400
2025-08-01,19979000,4987200,146320,14991800
2025-09-01,18573200,4165600,142870,14407800
2025-10-01,20920300,5083900,155160,15836400
2025-11-01,21534000,6078100,150650,15456100
2025-12-01,22488600,6307200,157870,16181500
2026-01-01,21190300,5082700,158680,16107700
2026-02-01,20245600,5030300,150020,15215500
2026-03-01,21791700,5326600,162600,16465500
