Month,County,Count
2020-3,Cache,17
2020-3,Davis,91
2020-3,Salt Lake,396
2020-3,Tooele,18
2020-3,Utah,86
2020-3,Weber,72
2020-4,Box Elder,25
2020-4,Cache,54
2020-4,Davis,140
2020-4,Other,12
2020-4,Salt Lake,613
2020-4,Tooele,36
2020-4,Utah,150
2020-4,Washington,13
2020-4,Weber,133
2020-5,Box Elder,20
2020-5,Cache,68
2020-5,Davis,122
2020-5,Other,13
2020-5,Salt Lake,591
2020-5,Tooele,24
2020-5,Utah,161
2020-5,Weber,79
2020-6,Box Elder,54
2020-6,Cache,131
2020-6,Davis,200
2020-6,Other,15
2020-6,Salt Lake,770
2020-6,Summit,13
2020-6,Tooele,26
2020-6,Utah,205
2020-6,Washington,12
2020-6,Weber,212
2020-7,Box Elder,97
2020-7,Cache,246
2020-7,Davis,363
2020-7,Other,17
2020-7,Salt Lake,999
2020-7,Summit,20
2020-7,Tooele,38
2020-7,Utah,264
2020-7,Wasatch,12
2020-7,Washington,19
2020-7,Weber,445
2020-8,Box Elder,117
2020-8,Cache,287
2020-8,Carbon,17
2020-8,Davis,481
2020-8,Other,25
2020-8,Salt Lake,1284
2020-8,Sanpete,14
2020-8,Summit,31
2020-8,Tooele,54
2020-8,Utah,353
2020-8,Wasatch,17
2020-8,Washington,21
2020-8,Weber,576
2020-9,Box Elder,136
2020-9,Cache,312
2020-9,Carbon,23
2020-9,Davis,651
2020-9,Morgan,16
2020-9,Other,30
2020-9,Salt Lake,1683
2020-9,Sanpete,21
2020-9,Summit,38
2020-9,Tooele,81
2020-9,Utah,753
2020-9,Wasatch,30
2020-9,Washington,29
2020-9,Weber,734
2020-10,Box Elder,157
2020-10,Cache,371
2020-10,Carbon,28
2020-10,Davis,840
2020-10,Morgan,20
2020-10,Other,39
2020-10,Salt Lake,2410
2020-10,Sanpete,28
2020-10,Summit,73
2020-10,Tooele,109
2020-10,Utah,1035
2020-10,Wasatch,41
2020-10,Washington,41
2020-10,Weber,868
2020-11,Box Elder,170
2020-11,Cache,423
2020-11,Carbon,47
2020-11,Davis,900
2020-11,Duchesne,22
2020-11,Juab,12
2020-11,Millard,13
2020-11,Morgan,20
2020-11,Other,49
2020-11,Salt Lake,2984
2020-11,Sanpete,27
2020-11,Sevier,17
2020-11,Summit,89
2020-11,Tooele,129
2020-11,Utah,1205
2020-11,Wasatch,55
2020-11,Washington,55
2020-11,Weber,955
2020-12,Box Elder,190
2020-12,Cache,475
2020-12,Carbon,44
2020-12,Davis,1093
2020-12,Duchesne,23
2020-12,Iron,12
