License_Number,Business_Name,License_Type,City,State,Expiration_Date
RTLR0001,"Mountain Girl Cannabis, Inc.",Retailer,Rutland,VT,"Saturday, September 19, 2026"
RTLR0002,Park Rec LLC d/b/a/ FLORA Cannabis,Retailer,MIDDLEBURY,VT,"Saturday, September 19, 2026"
RTLR0003,"Vermont Bud Barn, LLC - DBA VT Bud Barn - Brattleboro Weed Dispensary",Retailer,Brattleboro,VT,"Saturday, October 3, 2026"
RTLR0004,Apex Arboretum Inc. dba Upstate Elevator Dispensary; dba Upstate Elevator Operators,Retailer,Burlington,VT,"Monday, October 12, 2026"
RTLR0007,"Gram Central, LLC",Retailer,Montpelier,VT,"Sunday, October 18, 2026"
RTLR0008,"The Green Man, LLC",Retailer,Saint Johnsbury Center,VT,"Tuesday, October 20, 2026"
RTLR0009,"Native East, LLC DBA Winooski Organics",Retailer,Winooski,VT,"Tuesday, October 20, 2026"
RTLR0010,Capital Cannabis Company Inc.,Retailer,Montpelier,VT,"Wednesday, October 21, 2026"
RTLR0011,Kingdom Kind,Retailer,Barton,VT,"Sunday, October 25, 2026"
RTLR0012,Juniper Lane LLC dba Juniper Lane,Retailer,Bennington,VT,"Wednesday, October 28, 2026"
RTLR0013,Magic Mann Cannabis Inc. DBA Magic Mann,Retailer,Essex,VT,"Sunday, November 1, 2026"
RTLR0015,The High Country,Retailer,Derby,VT,"Monday, November 2, 2026"
RTLR0016,"Higher Elevation, LLC",Retailer,Morrisville,VT,"Monday, November 2, 2026"
RTLR0017,"Vermont Hemp Craft LLC, d.b.a. Green Leaf Central",Retailer,Burlington,VT,"Saturday, November 14, 2026"
RTLR0018,"Clover VT LLC, DBA Sunday Drive",Retailer,Woodstock,VT,"Sunday, November 15, 2026"
RTLR0020,Forbins Reserve Inc.,Retailer,Barre,VT,"Monday, November 16, 2026"
RTLR0021,Emeraldrose Retail LLC,Retailer,Bristol,VT,"Wednesday, November 18, 2026"
RTLR0022,Somewhere On The Mountain,Retailer,Rutland,VT,"Saturday, November 21, 2026"
RTLR0023,Northeast Kannabis LLC.,Retailer,Saint Johnsbury,VT,"Saturday, November 28, 2026"
RTLR0024,"Ratu's Cannabis Supply, LLC",Retailer,Wilmington,VT,"Sunday, November 29, 2026"
RTLR0026,Valley Meade Dispensary,Retailer,Waitsfield,VT,"Monday, November 30, 2026"
RTLR0027,Pine Grove Organics LLC,Retailer,Brandon,VT,"Monday, December 7, 2026"
RTLR0028,Cambridge Cannabis Company LLC,Retailer,Jeffersonville,VT,"Saturday, December 12, 2026"
RTLR0029,T.T.G LLC DBA Vermont Trap House,Retailer,Fair Haven,VT,"Saturday, December 12, 2026"
RTLR0030,Cannabis Caboose DBA De Pot Shop,Retailer,Windsor,VT,"Monday, December 14, 2026"
RTLR0031,"Stone Leaf Cannabis, LLC d/b/a/ Stone Leaf Dispensary",Retailer,Windsor,VT,"Tuesday, December 15, 2026"
RTLR0032,"Dalen Ltd.,  d.b.a. Blue Sage",Retailer,Waitsfield,VT,"Sunday, December 19, 2027"
RTLR0033,"The Tea House, LLC",Retailer,White River Junction,VT,"Monday, December 21, 2026"
RTLR0034,Theory Wellness of VT Retail LLC,Retailer,Brattleboro,VT,"Sunday, December 27, 2026"
RTLR0035,Green Union LLC d/b/a Green Union Dispensary,Retailer,Plymouth,VT,"Tuesday, December 29, 2026"
RTLR0036,"VherBio, LLC dba Polestar Cannabis",Retailer,Randolph,VT,"Tuesday, December 29, 2026"
RTLR0037,"Mary Jane Mountain, LLC",Retailer,Montgomery,VT,"Wednesday, December 30, 2026"
RTLR0038,"Big Intelligence Group, LLC  dba/ Wild Legacy Cannabis",Retailer,Morrisville,VT,"Saturday, February 6, 2027"
RTLR0039,"Bern Legacy Cannabis, LLC : dba Bern Gallery Dispensary",Retailer,Burlington,VT,"Saturday, February 6, 2027"
RTLR0040,"Cann Maxx, Inc.; Cann Maxx; Cannabis Maximus",Retailer,Brattleboro,VT,"Wednesday, February 10, 2027"
RTLR0041,"Matterhorn Apothecary, LLC",Retailer,Wilmington,VT,"Saturday, February 13, 2027"
RTLR0042,"Silver Therapeutics of Bennington, LLC",Retailer,Bennington,VT,"Sunday, February 28, 2027"
RTLR0044,Sharp Family Farms d/b/a The Gas Station,Retailer,Rutland,VT,"Wednesday, March 10, 2027"
RTLR0045,"New England Cannabis Partners, LLC, d/b/a MothaPlant",Retailer,St. Albans,VT,"Wednesday, March 10, 2027"
RTLR0046,BB CANN Inc. DBA Float On,Retailer,Burlington,VT,"Sunday, March 14, 2027"
RTLR0047,The Herb Closet LLC,Retailer,Burlington,VT,"Sunday, March 14, 2027"
RTLR0048,"GoodFire, LLP DBA Vermont GoodFire Cannabis",Retailer,Waterbury Center,VT,"Monday, March 29, 2027"
RTLR0049,802Apoth LLC d/b/a TRUE-802 Cannabis,Retailer,Burlington,VT,"Sunday, March 28, 2027"
RTLR0051,Cloud9 Cannabis LLC,Retailer,Fair Haven,VT,"Monday, April 12, 2027"
RTLR0052,Mary Jane Junction VT LLC,Retailer,St. Albans City,VT,"Tuesday, April 13, 2027"
RTLR0053,"Kingdom Boyz, LLC",Retailer,Derby,VT,"Monday, May 11, 2026"
