License #,Business Name,Location Type,License Type,Tier,City,Expiration Date
CLTV0014,"Family Tree, LLC",Mixed,Cultivator,Tier 3,Sheldon,"Saturday, June 20, 2026"
CLTV0022,Forest City Cannabis LLC,Indoor,Cultivator,Tier 3,Essex,"Tuesday, June 30, 2026"
CLTV0032,"Green Mountain Ganja Guys, LLC",Outdoor,Cultivator,Tier 4,Rutland,"Saturday, July 11, 2026"
CLTV0049,Rebel East VT LLC,Mixed,Cultivator,Tier 5,Craftsbury,"Saturday, July 25, 2026"
CLTV0054,Green Mountain Scientific,Outdoor,Cultivator,Tier 3,Saint Albans,"Saturday, August 8, 2026"
CLTV0056,"The Cannabis Collective LLC, The Cannabis Collective",Outdoor,Cultivator,Tier 3,Morristown,"Saturday, August 15, 2026"
CLTV0058,"Old Growth Organics, S Corp; DBA Old Growth Vermont",Outdoor,Cultivator,Tier 3,Danville,"Sunday, July 5, 2026"
CLTV0061,"Flower First, LLC",Outdoor,Cultivator,Tier 5,Topsham,"Tuesday, September 1, 2026"
CLTV0062,Stone Leaf Grow LLC,Mixed,Cultivator,Tier 2,Marshfield,"Tuesday, September 1, 2026"
CLTV0064,"BOREAS VENTURES LLC, dba LUKAS GREENE",Outdoor,Cultivator,Tier 3,Charlotte,"Monday, September 7, 2026"
CLTV0065,Mend Botanical LLC,Mixed,Cultivator,Tier 2,East Calais,"Saturday, September 12, 2026"
CLTV0067,Satori VT LLC,Indoor,Cultivator,Tier 5,MIDDLEBURY,"Monday, September 14, 2026"
CLTV0068,"DEMETERS DG, LLC; DEMETERS DG",Indoor,Cultivator,Tier 3,Brattleboro,"Saturday, September 19, 2026"
CLTV0070,Jeezum Crow Bud Company LLC,Outdoor,Cultivator,Tier 4,Bridport,"Sunday, September 20, 2026"
CLTV0076,Farmers Underground LLC,Mixed,Cultivator,Tier 4,West Glover,"Saturday, October 3, 2026"
CLTV0077,"Pinnacle Valley Farms, Inc.",Indoor,Cultivator,Tier 3,Randolph,"Tuesday, October 6, 2026"
CLTV0078,First Light Flowers LLC,Outdoor,Cultivator,Tier 2,Greensboro Bend,"Wednesday, October 7, 2026"
CLTV0079,"Faustini Farms, Faustini",Indoor,Cultivator,Tier 2,Rutland City,"Saturday, January 30, 2027"
CLTV0081,"Vermont Select, LLC",Mixed,Cultivator,Tier 2,Hyde Park,"Monday, October 12, 2026"
CLTV0083,Green Mountain Cannabis North,Indoor,Cultivator,Tier 2,St. Albans,"Sunday, October 18, 2026"
CLTV0084,Arden's Gardens LLP,Mixed,Cultivator,Tier 2,Wolcott,"Monday, October 19, 2026"
CLTV0086,Mr. Z Craft Cannabis Inc.,Indoor,Cultivator,Tier 3,MIDDLEBURY,"Wednesday, October 21, 2026"
CLTV0087,"ForbinsFinest,LLC",Indoor,Cultivator,Tier 3,Barre,"Sunday, October 25, 2026"
CLTV0088,Wolf Creek Farm LLC,Mixed,Cultivator,Tier 3,East Calais,"Saturday, November 14, 2026"
CLTV0089,"Bern Living Organics, LLC; Bern Living Organics",Indoor,Cultivator,Tier 2,Ferrisburgh,"Saturday, November 21, 2026"
CLTV0090,The Clean Cannabis Company,Indoor,Cultivator,Tier 3,Hardwick,"Saturday, November 21, 2026"
CLTV0091,Green Mountain Synergy FARM LLC,Mixed,Cultivator,Tier 3,Brandon,"Saturday, November 21, 2026"
CLTV0092,Four Clover Corp,Mixed,Cultivator,Tier 2,Eden,"Sunday, November 22, 2026"
CLTV0094,"First Branch Cannabis, LLC d/b/a First Branch Cannabis",Mixed,Cultivator,Tier 2,Chelsea,"Monday, November 30, 2026"
CLTV0099,Clovis LLC,Mixed,Cultivator,Tier 2,Hyde Park,"Sunday, March 14, 2027"
CLTV0100,"Horticultural Professionals 2 LLC, dba Erva",Outdoor,Cultivator,Tier 2,Fairfax,"Sunday, January 3, 2027"
CLTV0102,Rainbows End Cannabis LLC  DBA Tangleweed Farm,Mixed,Cultivator,Tier 2,Westminster,"Sunday, January 24, 2027"
CLTV0103,Birdseye Botanicals,Outdoor,Cultivator,Tier 2,Castleton,"Tuesday, February 2, 2027"
CLTV0105,"Medi Leaf Farms, LLC DBA Bushy Beard Cultivation",Indoor,Cultivator,Tier 3,Derby,"Saturday, March 6, 2027"
CLTV0107,"Burrington Hill Co., LLC",Mixed,Cultivator,Tier 2,Whitingham,"Saturday, March 20, 2027"
CLTV0108,TROMBLY HOUSE OF CANNABIS LLC,Mixed,Cultivator,Tier 3,Chelsea,"Saturday, August 8, 2026"
CLTV0109,The Flying Cactus LLC,Indoor,Cultivator,Tier 2,Fair Haven,"Sunday, March 28, 2027"
CLTV0233,Great Hill Growers LLC,Outdoor,Cultivator,Tier 3,Groton,"Saturday, April 10, 2027"
CLTV0235,"Birdland LLC, Birdland",Outdoor,Cultivator,Tier 2,Athens,"Monday, June 22, 2026"
CLTV0239,Superkind Farms LLC,Outdoor,Cultivator,Tier 2,Swanton,"Monday, July 13, 2026"
CLTV0242,Tao Labs LTD CO.,Indoor,Cultivator,Tier 2,Brattleboro,"Sunday, May 24, 2026"
CLTV0245,Sunkissed Farm Inc.,Outdoor,Cultivator,Tier 5,Windsor,"Monday, June 1, 2026"
CLTV0247,Sunset Lake Cannabis LLC,Outdoor,Cultivator,Tier 5,South Hero,"Saturday, June 6, 2026"
CLTV0249,Treetop Alliance,Outdoor,Cultivator,Tier 2,Elmore,"Sunday, June 14, 2026"
CLTV0250,"Full Circle Farm, LLC",Outdoor,Cultivator,Tier 3,Underhill,"Tuesday, June 16, 2026"
CLTV0252,Pilin’ It Higher Farms LLC,Outdoor,Cultivator,Tier 2,Duxbury,"Sunday, June 21, 2026"
CLTV0254,"Urban Herbn, LLC",Outdoor,Cultivator,Tier 3,West Charleston,"Monday, June 29, 2026"
CLTV0256,River Ridge Cannabis LLC,Outdoor,Cultivator,Tier 2,Waterville,"Sunday, July 5, 2026"
CLTV0257,Little River Farms,Outdoor,Cultivator,Tier 2,Johnson,"Monday, July 6, 2026"
CLTV0259,"Next Level Mountain Gardens, LLC",Outdoor,Cultivator,Tier 2,Elmore,"Sunday, July 12, 2026"
CLTV0261,Shindig & G's Craft Cannabis LLC,Outdoor,Cultivator,Tier 3,Irasburg,"Monday, July 13, 2026"
CLTV0262,Meadow Lark Farm,Outdoor,Cultivator,Tier 2,Monkton,"Monday, July 20, 2026"
CLTV0265,"Dalen Ltd., dba Blue Sage",Mixed,Cultivator,Tier 3,Starksboro,"Saturday, November 28, 2026"
CLTV0291,Midnight Farm,Mixed,Cultivator,Tier 3,St Johnsbury,"Monday, September 14, 2026"
CLTV0293,"Bernis Dobis, LLC DBA The Hashstead",Mixed,Cultivator,Tier 2,Waterbury,"Tuesday, August 4, 2026"
CLTV0294,Cann Able Farms LLC,Indoor,Cultivator,Tier 2,Alburgh,"Monday, September 28, 2026"
CLTV0297,"New England Cannabis Partners, LLC  d/b/a MothaPlant",Outdoor,Cultivator,Tier 2,Johnson,"Monday, August 24, 2026"
CLTV0299,Horseshoe Farms Limited Liability Company DBA Rambler Cannabis Supply,Outdoor,Cultivator,Tier 2,Pownal,"Saturday, October 3, 2026"
CLTV0305,Vermont Kind Cultivation,Mixed,Cultivator,Tier 3,Barton,"Saturday, November 28, 2026"
CLTV0309,"Kingdom Boyz, LLC",Indoor,Cultivator,Tier 2,West Charleston,"Wednesday, February 24, 2027"
CLTV0310,High Brix Cannabis Vermont,Mixed,Cultivator,Tier 2,Hyde Park,"Sunday, February 28, 2027"
CLTV0354,Permaganix LLC d/b/a Permaganix,Indoor,Cultivator,Tier 2,Mount Holly,"Saturday, March 27, 2027"
CLTV0356,"Strange Kloudz, LLC",Indoor,Cultivator,Tier 3,Bradford,"Friday, April 16, 2027"
CLTV0357,Vermont Label LLC,Indoor,Cultivator,Tier 4,West Pawlet,"Wednesday, April 22, 2026"
CLTV0358,Apollo Legacy LLC,Outdoor,Cultivator,Tier 2,Berlin,"Sunday, April 26, 2026"
CLTV0359,Blondie's Bud Company,Outdoor,Cultivator,Tier 3,Brandon,"Thursday, May 7, 2026"
CLTV0360,Last Minute Farm,Outdoor,Cultivator,Tier 2,Weybridge,"Saturday, July 25, 2026"
CLTV0361,Vermont Greenery LLC,Outdoor,Cultivator,Tier 2,Fairfax,"Saturday, August 1, 2026"
CLTV0362,Up & Up Farm LLC,Outdoor,Cultivator,Tier 2,North Ferrisburgh,"Friday, May 22, 2026"
CLTV0363,"1958, LLC",Outdoor,Cultivator,Tier 2,Windsor,"Wednesday, July 29, 2026"
CLTV0364,MR TREE LLC,Indoor,Cultivator,Tier 2,South Burlington,"Wednesday, September 30, 2026"
CLTV0365,Sun Valley Herbcraft,Outdoor,Cultivator,Tier 2,Brandon,"Saturday, June 20, 2026"
CLTV0366,Test - CLTV0366,Indoor,Cultivator,Tier 2,Montpelier,"Wednesday, July 29, 2026"
CLTV0367,"Magic Mann Cultivation & Processing, LLC",Indoor,Cultivator,Tier 2,Essex Junction,"Friday, August 7, 2026"
CLTV0368,Monty Vermont LLC,Indoor,Cultivator,Tier 2,West haven,"Sunday, September 13, 2026"
CLTV0370,"Ticino Bardwell Enterprise, LLC; DBA, Grateful Grow",Indoor,Cultivator,Tier 2,West Dover,"Friday, October 2, 2026"
CLTV0371,Big House Cultivation,Indoor,Cultivator,Tier 2,Randolph,"Sunday, November 8, 2026"
CLTV0372,Batchworth LLC  DBA Depot Cultivators,Indoor,Cultivator,Tier 2,Windsor,"Saturday, November 14, 2026"
CLTV0373,Natures gift,Indoor,Cultivator,Tier 2,Hyde Park,"Wednesday, November 18, 2026"
CLTV0374,"HVA Farms, LLC",Indoor,Cultivator,Tier 2,Bennington,"Wednesday, November 18, 2026"
CLTV0376,"Green Mountain Boys, LLC",Outdoor,Cultivator,Tier 2,North Westminster,"Sunday, October 11, 2026"
CLTV0377,Armetra Wilcox LLC DBA Boujee Bones,Outdoor,Cultivator,Tier 2,Whitingham,"Friday, June 12, 2026"
CLTV0378,"Green Mountain Sativa, LLC",Outdoor,Cultivator,Tier 2,Stockbridge,"Saturday, April 10, 2027"
CLTV0379,"Mountain Girl Cannabis, Inc.",Mixed,Cultivator,Tier 2,West Rutland,"Thursday, February 4, 2027"
CLTV0380,Haldeman Farm LLC,Outdoor,Cultivator,Tier 2,Danville,"Saturday, March 13, 2027"
CLTV0381,Rusted Roots LLC,Mixed,Cultivator,Tier 2,Charlotte,"Sunday, March 28, 2027"
