License_Number,UBI,Trade_Name,Licensee,Privilege_Status,Privilege_Type,Street,Suite,City,State,ZIP,County,Phone,Expiration_Date,Mailing_Address,SE_Retailer
430562,6033581390010004,#HASHTAG,,ACTIVE (ISSUED),CANNABIS RETAILER,224 NICKERSON ST,,SEATTLE,WA,981091622,KING,5042315918,,,
423413,6033491670010006,112TH STREET CANNABIS,,ACTIVE (ISSUED),CANNABIS RETAILER,5809 112TH ST E BLDG B,,PUYALLUP,WA,98373,PIERCE,2067926857,,,
355469,6043490200010002,2020 CANNABIS SOLUTIONS MT BAKER HIGHWAY,,ACTIVE (ISSUED),CANNABIS RETAILER,1706 MT BAKER HWY,,BELLINGHAM,WA,98226,WHATCOM,3607342020,,,
422239,6035723460010001,2020 SOLUTIONS EPHRATA,,ACTIVE (ISSUED),CANNABIS RETAILER,1615 BASIN ST SW,,EPHRATA,WA,988232134,GRANT,3609154944,,,
415470,6043490150010001,2020 SOLUTIONS IRON STREET,,ACTIVE (ISSUED),CANNABIS RETAILER,2018 IRON ST STE A,,BELLINGHAM,WA,98226,WHATCOM,2068180966,,,
420908,6043490230010001,2020 SOLUTIONS PACIFIC HIGHWAY,,ACTIVE (ISSUED),CANNABIS RETAILER,4770 PACIFIC HWY STE A,,BELLINGHAM,WA,98226,WHATCOM,3607342020,,,
364709,6033492700010006,20AFTER4,,ACTIVE (ISSUED),CANNABIS RETAILER,1511 N GOERIG ST,,WOODLAND,WA,98674,COWLITZ,3605629420,,,
428654,6031183740010004,28 GRAHAMS CANNABIS,,ACTIVE (ISSUED),CANNABIS RETAILER,10315 200TH ST E,,GRAHAM,WA,98338,PIERCE,2537405648,,,
422099,6041520640010001,365 RECREATIONAL CANNABIS,,ACTIVE (ISSUED),CANNABIS RETAILER,36711 U.S. HIGHWAY 12,,DAYTON,WA,98328,COLUMBIA,4259194183,,,
423784,6034296550010002,365 RECREATIONAL CANNABIS,,ACTIVE (ISSUED),CANNABIS RETAILER,17517 15TH AVE NE #B,,SHORELINE,WA,98155,KING,4259194183,,,
430369,6042834300010002,395 HERB,,ACTIVE (ISSUED),CANNABIS RETAILER,3948B 3RD AVE UNIT 2,,LOON LAKE,WA,99148,STEVENS,5096440420,,,
