License_Number,UBI,Trade_Name,Licensee,Privilege_Status,Privilege_Type,Street,Suite,City,State,ZIP,County,Phone,Expiration_Date,Mailing_Address,SE_Retailer
414884,6033581390010001,#HASHTAG,,CLOSED (PERMANENT),CANNABIS RETAILER,3540 STONE WAY N,,SEATTLE,WA,981038924,KING,3608184000,,,
430562,6033581390010004,#HASHTAG,,ACTIVE (ISSUED),CANNABIS RETAILER,224 NICKERSON ST,,SEATTLE,WA,981091622,KING,5042315918,,,
423413,6033491670010006,112TH STREET CANNABIS,,ACTIVE (ISSUED),CANNABIS RETAILER,5809 112TH ST E BLDG B,,PUYALLUP,WA,98373,PIERCE,2067926857,,,
355469,6043490200010002,2020 CANNABIS SOLUTIONS MT BAKER HIGHWAY,,ACTIVE (ISSUED),CANNABIS RETAILER,1706 MT BAKER HWY,,BELLINGHAM,WA,98226,WHATCOM,3607342020,,,
415470,6029975740010001,2020 SOLUTIONS,,CLOSED (PERMANENT),CANNABIS RETAILER,2018 IRON ST STE A,,BELLINGHAM,WA,982264212,WHATCOM,3603938697,,,
420908,6035502700010002,2020 SOLUTIONS,,CLOSED (PERMANENT),CANNABIS RETAILER,4770 PACIFIC HWY STE A,,BELLINGHAM,WA,982260000,WHATCOM,2067908124,,,
422139,6033451150010005,2020 SOLUTIONS,,CLOSED (PERMANENT),CANNABIS RETAILER,4264 PACIFIC HWY,,BELLINGHAM,WA,982269042,WHATCOM,2063999999,,,
422239,6035723460010001,2020 SOLUTIONS EPHRATA,,ACTIVE (ISSUED),CANNABIS RETAILER,1615 BASIN ST SW,,EPHRATA,WA,988232134,GRANT,3609154944,,,
415470,6043490150010001,2020 SOLUTIONS IRON STREET,,ACTIVE (ISSUED),CANNABIS RETAILER,2018 IRON ST STE A,,BELLINGHAM,WA,98226,WHATCOM,2068180966,,,
413314,6034152650010001,2020 SOLUTIONS ON THE GUIDE,,CLOSED (PERMANENT),CANNABIS RETAILER,5655 GUIDE MERIDIAN STE A,,BELLINGHAM,WA,982269722,WHATCOM,3607342020,,,
413314,6043490200010001,2020 SOLUTIONS ON THE GUIDE,,CLOSED (PERMANENT),CANNABIS RETAILER,5655 GUIDE MERIDIAN STE A,,BELLINGHAM,WA,982269722,WHATCOM,2068180966,,,
420908,6043490230010001,2020 SOLUTIONS PACIFIC HIGHWAY,,ACTIVE (ISSUED),CANNABIS RETAILER,4770 PACIFIC HWY STE A,,BELLINGHAM,WA,98226,WHATCOM,3607342020,,,
422701,6036006740010001,2020 SOLUTIONS SPRAGUE,,CLOSED (PERMANENT),CANNABIS RETAILER,209 E 4TH ST STE B,,SPRAGUE,WA,990320000,LINCOLN,2534051918,,,
364709,6033492700010006,20AFTER4,,ACTIVE (ISSUED),CANNABIS RETAILER,1511 N GOERIG ST,,WOODLAND,WA,98674,COWLITZ,3605629420,,,
422632,6033492700010003,20AFTER4,,CLOSED (PERMANENT),CANNABIS RETAILER,2211 46TH AVE,,LONGVIEW,WA,986325013,COWLITZ,2068180966,,,
425128,6033492700010004,20AFTER4,,CLOSED (PERMANENT),CANNABIS RETAILER,302 HAZEL ST,,KELSO,WA,986261410,COWLITZ,2069293060,,,
422073,6035830060010001,21+ RECREATIONAL MARIJUANA,,CLOSED (PERMANENT),CANNABIS RETAILER,3598 BETHEL RD SE,,PORT ORCHARD,WA,983665605,KITSAP,2064278666,,,
084154,6033600740010001,25 TREES,,CLOSED (PERMANENT),CANNABIS RETAILER,3213 S 38TH STE C,,TACOMA,WA,984041094,PIERCE,2533768562,,,
428654,6031183740010004,28 GRAHAMS CANNABIS,,ACTIVE (ISSUED),CANNABIS RETAILER,10315 200TH ST E,,GRAHAM,WA,98338,PIERCE,2537405648,,,
413310,6034296550010001,365 RECREATIONAL CANNABIS,,CLOSED (PERMANENT),CANNABIS RETAILER,17517 15TH AVE NE STE 202,,SHORELINE,WA,981553801,KING,2065577778,,,
422099,6035976210010001,365 RECREATIONAL CANNABIS,,CLOSED (PERMANENT),CANNABIS RETAILER,36711 U.S. HIGHWAY 12,,DAYTON,WA,983288622,COLUMBIA,4259194183,,,
422099,6041520640010001,365 RECREATIONAL CANNABIS,,ACTIVE (ISSUED),CANNABIS RETAILER,36711 U.S. HIGHWAY 12,,DAYTON,WA,98328,COLUMBIA,4259194183,,,
423784,6034296550010002,365 RECREATIONAL CANNABIS,,ACTIVE (ISSUED),CANNABIS RETAILER,17517 15TH AVE NE #B,,SHORELINE,WA,98155,KING,4259194183,,,
430369,6042834300010002,395 HERB,,ACTIVE (ISSUED),CANNABIS RETAILER,3948B 3RD AVE UNIT 2,,LOON LAKE,WA,99148,STEVENS,5096440420,,,
413805,6024843170010006,395 HERB INC,,CLOSED (PERMANENT),CANNABIS RETAILER,3948 3RD AVE UNIT 1,,LOON LAKE,WA,981489683,STEVENS,5096844420,,,
413586,6033515760010001,4:20 FRIENDLY,,ACTIVE (ISSUED),CANNABIS RETAILER,1515 LEWIS ST,,SPOKANE,WA,99224,SPOKANE,5094990999,,,
414418,6033185960010004,418BAL ACCESS RETAIL,,CLOSED (PERMANENT),CANNABIS RETAILER,661 NESS' CORNER RD,,PORT HADLOCK,WA,983390000,JEFFERSON,3602977996,,,
424848,6035340690010002,420 CAPITOL,,ACTIVE (ISSUED),CANNABIS RETAILER,5980 CAPITOL BLVD SE,,TUMWATER,WA,98501,THURSTON,3604026368,,,
415083,6033585480010002,420 CARPENTER,,ACTIVE (ISSUED),CANNABIS RETAILER,422 CARPENTER RD STE 105,,LACEY,WA,985037906,THURSTON,3604026368,,,
421797,6035495920010004,420 DOWNTOWN,,CLOSED (PERMANENT),CANNABIS RETAILER,23694 HIGHWAY 3 STE A,,BELFAIR,WA,985280000,MASON,3605616972,,,
426678,6035792630010002,420 ELMA ON MAIN,,ACTIVE (ISSUED),CANNABIS RETAILER,306 W MAIN ST,,ELMA,WA,985410000,GRAYS HARBOR,2539061919,,,
427533,6033591250010002,420 EVERGREEN,,CLOSED (PERMANENT),CANNABIS RETAILER,25 NE 2ND ST STE B,,STEVENSON,WA,986484215,SKAMANIA,9715060696,,,
428560,6041829490010002,420 GRAND CENTRAL,,ACTIVE (ISSUED),CANNABIS RETAILER,19941 OLD HIGHWAY 99 SW,,ROCHESTER,WA,98579,THURSTON,3604026368,,,
415526,6033592380010001,420 HOLIDAY,,ACTIVE (ISSUED),CANNABIS RETAILER,2028 10TH AVE,,LONGVIEW,WA,986324007,COWLITZ,3607033103,,,
426677,6035495920010006,420 SHELTON,,CLOSED (PERMANENT),CANNABIS RETAILER,1065 SE STATE ROUTE 3,,SHELTON,WA,985849195,MASON,3605616972,,,
414550,6034051800010001,420 SPOT SHOP,,ACTIVE (ISSUED),CANNABIS RETAILER,1374 SE LUND AVE,SMP - 1,PORT ORCHARD,WA,98366,KITSAP,3603405966,,,
414733,6033585480010001,420 WEST,,ACTIVE (ISSUED),CANNABIS RETAILER,410 RONLEE LN NW A1,,OLYMPIA,WA,985029266,THURSTON,3604026368,,,
421759,6041829490010001,"420ME, LLC",,CLOSED (PERMANENT),CANNABIS RETAILER,430 CARPENTER RD SE,,LACEY,WA,985037930,THURSTON,3604026368,,,
422202,6024843170010012,49* NORTH CANNABIS,,ACTIVE (ISSUED),CANNABIS RETAILER,1380 MILL ST STE A,,ADDY,WA,991019677,STEVENS,5096844420,,,
414775,6034232020010001,4EVER HEALING,,CLOSED (PERMANENT),CANNABIS RETAILER,9925 214TH AVE E STE F,,BONNEY LAKE,WA,983910000,PIERCE,2532241442,,,
413700,6021379110010003,4US RETAIL,,CLOSED (PERMANENT),CANNABIS RETAILER,23251 HWY 20,,OKANOGAN,WA,988400000,OKANOGAN,5095579065,,,
421562,6033479560010004,8 BALL BARRISTER,,CLOSED (PERMANENT),CANNABIS RETAILER,3833 PACIFIC AVE STE 3-C,,TACOMA,WA,984187897,PIERCE,2533700736,,,
421757,6033479560010005,"8 BALL BARRISTER, LLC",,CLOSED (PERMANENT),CANNABIS RETAILER,113 HOWERTON AVE,STE B,ILWACO,WA,986249088,PACIFIC,2535721500,,,
413782,6033579130010002,A BUD & LEAF,,CLOSED (PERMANENT),CANNABIS RETAILER,3015 PACIFIC AVE SE,,OLYMPIA,WA,985012042,THURSTON,3608706000,,,
413821,6033579130010001,A BUD & LEAF,,CLOSED (PERMANENT),CANNABIS RETAILER,421 LILLY RD SE,,OLYMPIA,WA,985012108,THURSTON,3608706000,,,
413361,6032719560010001,A GREEN LIFE,,CLOSED (PERMANENT),CANNABIS RETAILER,15219 NE 90TH ST UNIT B,,REDMOND,WA,980523561,KING,2068537391,,,
421755,6032719560010002,A GREEN LIFE,,CLOSED (PERMANENT),CANNABIS RETAILER,9625 15TH AVE SW,,SEATTLE,WA,981062821,KING,2068537391,,,
421995,6032719560010003,A GREEN LIFE,,CLOSED (PERMANENT),CANNABIS RETAILER,9823 15TH AVE SW UNIT D2,UNIT D2,SEATTLE,WA,981062847,KING,2068537391,,,
425507,6032719560010005,A GREEN LIFE,,CLOSED (PERMANENT),CANNABIS RETAILER,16390 CLEVELAND ST,,REDMOND,WA,980524314,KING,2069159212,,,
414441,6034501390010005,A GREENER TODAY MARIJUANA,,ACTIVE (ISSUED),CANNABIS RETAILER,5209 MARTIN LUTHER KING JR.,WAY S,SEATTLE,WA,98118,KING,2068017756,,,
414814,6034501390010003,A GREENER TODAY MARIJUANA,,ACTIVE (ISSUED),CANNABIS RETAILER,16053 AURORA AVE N STE B,STE B,SHORELINE,WA,98133,KING,2068017756,,,
422044,6034501390010004,A GREENER TODAY MARIJUANA,,CLOSED (PERMANENT),CANNABIS RETAILER,19315 BOTHELL EVERETT HWY #1,UNIT 1,BOTHELL,WA,980127112,SNOHOMISH,2066877877,,,
422044,6041339060010001,A GREENER TODAY MARIJUANA,,ACTIVE (ISSUED),CANNABIS RETAILER,19315 BOTHELL EVERETT HWY #1,UNIT 1,BOTHELL,WA,98012,SNOHOMISH,4257736021,,,
