Tradename,License ,UBI,Street Address,Suite Rm,City,State,county,Zip Code,Priv Desc,Privilege Status,Day Phone
#HASHTAG                                     ,414884,6033581390010001,3540 STONE WAY N              ,                         ,SEATTLE                 ,WA,KING,981038924,CANNABIS RETAILER                  ,CLOSED (PERMANENT),3608184000
#HASHTAG                                     ,430562,6033581390010004,224 NICKERSON ST              ,                         ,SEATTLE                 ,WA,KING,981091622,CANNABIS RETAILER                  ,ACTIVE (ISSUED),5042315918
112TH STREET CANNABIS                        ,423413,6033491670010006,5809 112TH ST E BLDG B        ,                         ,PUYALLUP                ,WA,PIERCE,98373    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),2067926857
2020 CANNABIS SOLUTIONS MT BAKER HIGHWAY     ,355469,6043490200010002,1706 MT BAKER HWY             ,                         ,BELLINGHAM              ,WA,WHATCOM,98226    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),3607342020
2020 SOLUTIONS,415470,6029975740010001,2018 IRON ST STE A,,BELLINGHAM,WA,WHATCOM,982264212,CANNABIS RETAILER                  ,CLOSED (PERMANENT),3603938697
2020 SOLUTIONS,420908,6035502700010002,4770 PACIFIC HWY STE A,,BELLINGHAM,WA,WHATCOM,982260000,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2067908124
2020 SOLUTIONS,422139,6033451150010005,4264 PACIFIC HWY,,BELLINGHAM,WA,WHATCOM,982269042,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2063999999
2020 SOLUTIONS EPHRATA                       ,422239,6035723460010001,1615 BASIN ST SW              ,                         ,EPHRATA                 ,WA,GRANT,988232134,CANNABIS RETAILER                  ,ACTIVE (ISSUED),3609154944
2020 SOLUTIONS IRON STREET                   ,415470,6043490150010001,2018 IRON ST STE A            ,                         ,BELLINGHAM              ,WA,WHATCOM,98226    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),2068180966
2020 SOLUTIONS ON THE GUIDE,413314,6034152650010001,5655 GUIDE MERIDIAN STE A,,BELLINGHAM,WA,WHATCOM,982269722,CANNABIS RETAILER                  ,CLOSED (PERMANENT),3607342020
2020 SOLUTIONS ON THE GUIDE                  ,413314,6043490200010001,5655 GUIDE MERIDIAN STE A     ,                         ,BELLINGHAM              ,WA,WHATCOM,982269722,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2068180966
2020 SOLUTIONS PACIFIC HIGHWAY               ,420908,6043490230010001,4770 PACIFIC HWY STE A        ,                         ,BELLINGHAM              ,WA,WHATCOM,98226    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),3607342020
2020 SOLUTIONS SPRAGUE,422701,6036006740010001,209 E 4TH ST STE B,,SPRAGUE,WA,LINCOLN,990320000,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2534051918
20AFTER4                                     ,364709,6033492700010006,1511 N GOERIG ST              ,                         ,WOODLAND                ,WA,COWLITZ,98674    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),3605629420
20AFTER4,422632,6033492700010003,2211 46TH AVE,,LONGVIEW,WA,COWLITZ,986325013,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2068180966
20AFTER4                                     ,425128,6033492700010004,302 HAZEL ST                  ,                         ,KELSO                   ,WA,COWLITZ,986261410,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2069293060
21+ RECREATIONAL MARIJUANA                   ,422073,6035830060010001,3598 BETHEL RD SE             ,                         ,PORT ORCHARD            ,WA,KITSAP,983665605,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2064278666
25 TREES,084154,6033600740010001,3213 S 38TH STE C,,TACOMA,WA,PIERCE,984041094,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2533768562
28 GRAHAMS CANNABIS                          ,428654,6031183740010004,10315 200TH ST E              ,                         ,GRAHAM                  ,WA,PIERCE,98338    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),2537405648
365 RECREATIONAL CANNABIS                    ,413310,6034296550010001,17517 15TH AVE NE STE 202     ,                         ,SHORELINE               ,WA,KING,981553801,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2065577778
365 RECREATIONAL CANNABIS,422099,6035976210010001,36711 U.S. HIGHWAY 12,,DAYTON,WA,COLUMBIA,983288622,CANNABIS RETAILER                  ,CLOSED (PERMANENT),4259194183
365 RECREATIONAL CANNABIS                    ,422099,6041520640010001,36711 U.S. HIGHWAY 12         ,                         ,DAYTON                  ,WA,COLUMBIA,98328    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),4259194183
365 RECREATIONAL CANNABIS                    ,423784,6034296550010002,17517 15TH AVE NE #B          ,                         ,SHORELINE               ,WA,KING,98155    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),4259194183
