ID,DBA,Legal_Name,Full_Address,Street,City,State,ZIP,Phone,County,Operational_Status
5,Trulieve WV,"Trulieve WV, Inc.","1397 EARL L CORE RD, MORGANTOWN, WV 26505",1397 EARL L CORE RD,Morgantown,WV,26505,304-381-6721,Monongalia,Operational with product
6,Zen Leaf Morgantown,Verano WV LLC,"205 VENTURE DR, MORGANTOWN, WV 26508",205 VENTURE DR,Morgantown,WV,26508,304-907-1898,Monongalia,Operational with product
7,TerraLeaf,WV Kindness LLC,"2018 3RD AVE, HUNTINGTON, WV 25703",2018 3RD AVE,Huntington,WV,25703,304-446-4600,Cabell,Operational with product
8,Cannabist,Columbia Care WV LLC,"300 GALLERIA PLZ #308, BECKLEY, WV 25801",300 GALLERIA PLZ #308,Beckley,WV,25801,304-362-0518,Raleigh,Operational with product
9,Cannabist,Columbia Care WV LLC,"603 3RD AVE, ST ALBANS, WV 25177",603 3RD AVE,St Albans,WV,25177,304-693-2705,Kanawha,Operational with product
10,Cannabist,Columbia Care WV LLC,"225 DON KNOTTS BLVD, MORGANTOWN, WV 26501",225 DON KNOTTS BLVD,Morgantown,WV,26501,304-244-5178,Monongalia,Operational with product
11,Greenlight,Logan Investment Partners LLC,"1747 JEFFERSON ST N, LEWISBURG, WV 24901",1747 JEFFERSON ST N,Lewisburg,WV,24901,304-520-4175,Greenbrier,Operational with product
12,Greenlight,Logan Investment Partners LLC,"112 EXPERT CIRCLE, PRINCETON, WV 24739",112 EXPERT CIRCLE,Princeton,WV,24739,304-250-3029,Mercer,Operational with product
13,Trulieve WV,"Trulieve WV, Inc.","4701 MACCORKLE AVE, SO CHARLESTON, WV 25309",4701 MACCORKLE AVE,So Charleston,WV,25309,304-407-2434,Kanawha,Operational with product
14,Zen Leaf Westover,Verano WV LLC,"871 FAIRMONT RD, WESTOVER, WV 26501",871 FAIRMONT RD,Westover,WV,26501,,Monongalia,Operational with product
15,Trulieve WV,"Trulieve WV, Inc.","152 PARK CENTER DR, PARKERSBURG, WV 26101",152 PARK CENTER DR,Parkersburg,WV,26101,304-470-4833,Wood,Operational with product
16,The Foundry,ECS Partners,"4075 MAIN ST, WEIRTON, WV 26062",4075 MAIN ST,Weirton,WV,26062,304-914-4090,Brooke,Operational with product
17,NewLeaf,"New Leaf WV, LLC","776 FOXCROFT AVE, MARTINSBURG, WV 25401",776 FOXCROFT AVE,Martinsburg,WV,25401,304-578-5255,Berkeley,Operational with product
18,The Next Level Wellness #3,"The Next Level Wellness, #1, Inc.","1633 BUCKHANNON PIKE, CLARKSBURG, WV 26301",1633 BUCKHANNON PIKE,Clarksburg,WV,26301,304-969-1633,Harrison,Operational with product
