name,slug
00 Seeds Bank,00seeds
0siris Genetics,0siris
2 Guns and a Guy Seed Company,2gunsandaguyseed
2Buds Genetics,2buds
3rd Coast Genetics,3rdcoast
3rd Shift Genetics,3rdshift
3thirteen Seeds,3thirteen
3x3me,3x3me
4:20 Seeds,420
4c_zen Genetics,4czen
4smashed20,4smashed20
5 Pack Genetics,5pack
7 East Genetics,7east
7th Green Skunk Genetics,7thgreenskunk
11s Genetics,11s
13 Hills,13hills
34 Street Seed Company,34streetseed
93orNothing,93ornothing
108Genetics,108
207 Genetics,207
207 Seeds,207
210Beans,210beans
303 Seeds,303
360grow420 Genetics,360grow420
420 Genetics,420
420 Seeds,420
517 Legend Seed Co,517legendseed
593 Genetics,593
707 Seed Bank,707seed
710 Genetics,710
802 Genetix,802
808 Genetics,808
1522 Genetics,1522
1904 Genetics,1904
A-B-Seeds,ab
A.B. Seed Company,abseed
A1 Genetics,a1
ABC Seeds,abc
ABF Genetics,abf
ACE Seeds,ace
AC Genetics,ac
ADKGrass,adkgrass
AK Bean Brains,akbeanbrains
ALTVM,altvm
AV3 Genetics,av3
Abraxas Seeds,abraxas
Absolute Cannabis Seeds,absolutecannabis
Accelerator Seeds,accelerator
Actual Seeds,actual
Acumen Genetics,acumen
Adhesive Genetics,adhesive
Advance Genetic,advancegenetic
Advanced Seeds,advanced
Aeque Genetics,aeque
Afghan Seeds Connection,afghanseedsconnection
Afghan Selection,afghanselection
Aficionado French Connection,aficionadofrenchconnection
Aficionado Seed Bank,aficionadoseed
Aficionado Seed Collection,aficionadoseedcollection
African Seeds,african
Afropips Seeds,afropips
Afterthought Autos,afterthoughtautos
Alabama Hemp Company,alabamahemp
Alamo Seed Company,alamoseed
Alaska Cannabis Cache,alaskacannabiscache
Alastorlabs,alastorlabs
Alchemutant,alchemutant
Alchemy Genetics,alchemy
Alex Acres,alexacres
Alex Beck,alexbeck
Alfemco,alfem
Alien Genetics,alien
AlienLabs,alienlabs
Alienblood Genetix,alienblood
Alight For Health / Alight Farms,alightforhealthalight
All-in Medicinal Seeds,allinmedicinal
All Star Genetics,allstar
All We Know Is Dank,allweknowisdank
AlleyCat Genetics,alleycat
Almighty Farms Genetics,almighty
Almighty Seeds,almighty
Aloha Embassy,alohaembassy
Aloha Island Genetics,alohaisland
Alpaca Bowl Ranch Seeds,alpacabowlranch
Alpha Genetics,alpha
Alphakronik Genes,alphakronikgenes
AlpinStash,alpinstash
Alpindica Seeds,alpindica
Alpine-Seeds,alpine
Altitude Genetics,altitude
Altitude Ranch Genetics,altituderanch
Amadeus Genetics,amadeus
Amaranta Seeds,amaranta
Ambitious Seeds,ambitious
Ambrosia,ambrosia
Amft13beans,amft13beans
Amish Warrior Seeds,amishwarrior
Amsterdam Finest Seeds,amsterdamfinest
Amsterdam Genetics,amsterdam
Ananda Seeds,ananda
Andalucía Seeds,andaluca
Andina Seeds,andina
Andromeda Strains,andromedastrains
Anesia Seeds,anesia
Anjaneya Mountain Medicine,anjaneyamountainmedicine
Annabelle's Garden,annabellesgarden
Annibale Genetics,annibale
Annunaki Genetics,annunaki
Anomaly Seeds,anomaly
Antenna Seeds,antenna
Anthony Renee Genetics,anthonyrenee
Anthos Seeds,anthos
AntiStressCrew,antistresscrew
Ape Genetics,ape
ApeOrigin,apeorigin
Apex Seeds,apex
Apex Solventless,apexsolventless
Apothecary Genetics,apothecary
Apotix,apotix
Appalachian Genetics,appalachian
Aqualung Gardens,aqualunggardens
Arcana Seed & Genetics Company,arcanaseedgenetics
Archie's seed Co.,archiesseed
Archive Seed Bank,archiveseed
Archive of Classic Seeds,archiveofclassic
Arctic Genetics,arctic
Aristode Seed Co,aristodeseed
Art Genetix,art
Artifact Genetics,artifact
Artizen Seeds,artizen
Asclepius Agriculture,asclepiusagriculture
Astrul,astrul
Asturjaya,asturjaya
Atao Genetics,atao
Atlas Seed,atlas
Aura Genetix,aura
Aurora Genetics,aurora
Aurora Winds Botanical Seeds,aurorawindsbotanical
Austrian Sunseeds,austriansun
Authentic Genetics,authentic
Author Seeds,author
AutoFem Seeds,autofem
Auto Seeds,auto
Automaris,automaris
Avalanche Genetics,avalanche
Avalon Garden,avalongarden
Awka Semillas,awkasemillas
AzMeds,azmeds
Azarius Seeds,azarius
Aztech Genetics,aztech
B-dub Genetics,bdub
B.C. Bud Depot,bcbuddepot
B.C. Grown,bcgrown
B.I.G. Seeds,big
B.O.G. Seeds,bog
B. Seeds Co.,bseeds
BAMA Seeds,bama
BC Growers Association,bcgrowersassociation
BCN Seeds,bcn
BJ Cannabis Co.,bjcannabis
BSB Genetics,bsb
BSF Seeds,bsf
BSV Genetics,bsv
Baby Zeus Genetics,babyzeus
Babylon Seeds Bank,babylonseeds
BackCountryResin,backcountryresin
Backcountry Farms,backcountry
Backyard Boogie,backyardboogie
Bad Dawg Freebies,baddawgfreebies
Bad Fish Genetics,badfish
Baked Beans Cannabis Seeds,bakedbeanscannabis
Baked Beanz,bakedbeanz
Baked Botany,bakedbotany
Bald Monkey Seeds,baldmonkey
Bald man Lala Seeds,baldmanlala
Banana Peel Genetics,bananapeel
Barba Seeds,barba
Bardi Green Voohoo Genetics,bardigreenvoohoo
Barneys Farm,barneys
Basement Chuckers,basementchuckers
Basic Seeds,basic
Basinaudo,basinaudo
Bask Triangle Farms,basktriangle
Basmati Gardens,basmatigardens
Bat Country Farms,batcountry
Batman,batman
Bay Exclusives Seeds & Clones,bayexclusivesseedsclones
Bay Seeds,bay
Bayou Boys Genetics,bayouboys
Bean Barn Seed Co,beanbarnseed
Bean Boyz Genetics,beanboyz
Bean Drop Genetics,beandrop
Bean Genie Autos,beangenieautos
Beanmill Genetics,beanmill
Beans2Trees,beans2trees
Beans By Wuzi,beansbywuzi
Bear Grows Genetics,beargrows
Bedrock Genetics,bedrock
Bee's Selection,beesselection
Bee Nerdy,beenerdy
Beebop Genetics,beebop
Beefcake Genetics,beefcake
Beegen's Beans,beegensbeans
Beleaf Cannabis,beleafcannabis
Best Coast Genetics,bestcoast
BestThingGrowing,bestthinggrowing
Beta Seeds,beta
Beuh-Chat Seeds Company,beuhchatseeds
Beyond Genetics,beyond
Beyond Hype Seed Co,beyondhypeseed
Beyond Top Shelf,beyondtopshelf
Bhang!Dog,bhangdog
BiPolarBear420,bipolarbear420
Big Buddha Seeds,bigbuddha
Big Buddy Seeds,bigbuddy
Big Chiefer Reefer,bigchieferreefer
Big Dans Genetix,bigdans
Big Dog Exotic Cannabis Seeds,bigdogexoticcannabis
Big Head Seeds,bighead
Big Muddy Genetics,bigmuddy
Big Nose Genetics,bignose
Big Sky Beans,bigskybeans
Big Tree Cultivars,bigtreecultivars
Bigdogs Seeds Collection,bigdogsseedscollection
Bigworm Genetics,bigworm
Billy Budd,billybudd
Billy Seeds Co,billyseeds
Binary Selections,binaryselections
Bio.dynamic Grown Cultivars,biodynamicgrowncultivars
Bio Bomb Selections,biobombselections
BioQueen Seeds,bioqueen
Bio Vortex,biovortex
Biohazard Seeds,biohazard
Bird Genes,birdgenes
Black Army Collection,blackarmycollection
Black Bear Cannabis Company,blackbearcannabis
Black Cat Seeds,blackcat
Black Diamond Genetics,blackdiamond
Black Farm Genetix,black
Black Flag Genetics,blackflag
Black Hand Seeds,blackhand
Black Label,blacklabel
Black Leaf,blackleaf
BlackLeaf Genetics,blackleaf
Black River Seed co,blackriverseed
Black Sheep Genetics,blacksheep
Black Skull Seeds,blackskull
Black Tuna,blacktuna
Blackbird Preservations,blackbirdpreservations
Blasted Genetics,blasted
Blazed Genetics,blazed
Blim Burn Seeds,blimburn
Blind Rooster Seeds,blindrooster
Blockhead Buds,blockheadbuds
Blood Diamond Seeds,blooddiamond
Bloom Seed Co,bloomseed
BloominBuds518,bloominbuds518
Bloomingdale Organic,bloomingdaleorganic
Blue Blood Genetics,blueblood
Blue Bloods Grow,bluebloodsgrow
Blue Dream King,bluedreamking
BlueHemp Switzerland,bluehempswitzerland
Blue Star Seed Co,bluestarseed
Blue Stone Sanctuary,bluestonesanctuary
Bluedog Genetics,bluedog
Bluegrass Greenthumb,bluegrassgreenthumb
Bluenose Seed Bank,bluenoseseed
Bluerecluse Genetics,bluerecluse
